N	3gram	Losev_Prob_1	Psycholo
1	в самом деле	2	18
2	на то что	8	12
3	в том что	5	11
4	и в самом	2	10
5	с точки зрения	3	9
6	то же самое	9	8
7	для того чтобы	8	8
8	в сущности говоря	1	7
9	заключается в том	1	6
10	до сих пор	3	5
11	и т п	1	5
12	с другой стороны	3	5
13	о которых мы	2	5
14	и т д	10	4
15	и в этом	2	3
16	и то что	2	3
17	указывает на то	3	3
18	о том что	5	3
19	то и другое	2	3
20	о том как	2	2
21	которых мы говорили	1	2
22	а вовсе не	1	2
23	на самом деле	4	2
24	и во всех	1	2
25	как мы увидим	2	2
26	только то что	4	2
27	то что в	3	2
28	и все прочие	1	2
29	вместе с тем	1	2
30	не то что	1	2
31	что в этой	1	2
32	одно и то	1	2
33	то время как	1	2
34	в данном случае	8	2
35	одного из них	1	2
36	и как бы	2	2
37	и то же	1	2
38	во всяком случае	3	2
39	то что он	3	2
40	мы увидим ниже	2	2
41	в то время	1	2
42	к тому что	1	2
43	как мы видели	1	2
44	и в другом	1	2
45	того о чем	1	1
46	ни о каких	1	1
47	а в известном	1	1
48	и до наших	1	1
49	а не к	1	1
50	таким образом что	1	1
51	и насколько она	1	1
52	но как мы	2	1
53	и в своей	3	1
54	мы говорили уже	1	1
55	это было бы	1	1
56	более или менее	3	1
57	и может быть	1	1
58	но это только	2	1
59	и если мы	3	1
60	это все равно	1	1
61	в том и	1	1
62	никак не может	1	1
63	внимание на то	1	1
64	того или иного	2	1
65	в свои права	1	1
66	не так уж	1	1
67	не имеют никакого	1	1
68	совсем другое и	1	1
69	никогда не можем	1	1
70	не было бы	1	1
71	в этом отношении	1	1
72	с тем что	2	1
73	чтобы указать на	1	1
74	обратить внимание на	1	1
75	можно было бы	2	1
76	это вовсе не	2	1
77	но если мы	2	1
78	в основе своей	1	1
79	может быть и	3	1
80	никакого отношения к	1	1
81	все это является	1	1
82	и что в	2	1
83	не потому что	2	1
84	чтобы иллюстрировать эту	1	1
85	и как мы	1	1
86	так как они	2	1
87	в которой они	1	1
88	если бы оно	1	1
89	и ничего не	1	1
90	в нас чувство	1	1
91	мы говорили выше	2	1
92	перед нами в	1	1
93	мы уже видели	1	1
94	мы никогда не	3	1
95	и о его	1	1
96	что все эти	1	1
97	мы уже указывали	1	1
98	а между тем	1	1
99	вступает в свои	1	1
100	здесь не только	2	1
101	имел в виду	2	1
102	в том чтобы	1	1
103	и ни о	1	1
104	понять что же	1	1
105	если бы мы	1	1
106	мы можем сказать	1	1
107	как это мы	2	1
108	не только не	3	1
109	или вернее сказать	2	1
110	в котором самое	1	1
111	она не только	1	1
112	можно сказать что	3	1
113	в нем то	1	1
114	имеют никакого отношения	1	1
115	чем перейти к	2	1
116	по этому поводу	3	1
117	том что такое	1	1
118	потому что она	1	1
119	как же быть?	1	1
120	не только то	1	1
121	вовсе не является	3	1
122	не может быть	2	1
123	в разговоре с	1	1
124	потому что эта	1	1
125	подобно тому как	2	1
126	к тому же	1	1
127	как раз в	1	1
