N	2gram	Tiupa_Disk_1	PoTuStor
1	может быть	17	17
2	и в	16	16
3	в этом	15	9
4	таким образом	3	9
5	мы можем	1	9
6	прежде всего	11	9
7	точки зрения	3	8
8	и его	2	8
9	не может	9	8
10	с его	4	7
11	не только	28	7
12	сказать что	3	7
13	самом деле	1	6
14	при этом	13	6
15	с точки	1	6
16	и это	1	6
17	для него	4	6
18	и к	4	6
19	еще не	14	5
20	в чем	1	5
21	отношение к	4	5
22	что такое	1	5
23	как бы	5	5
24	на самом	1	4
25	и ее	2	4
26	и на	5	4
27	отнюдь не	8	4
28	но в	8	4
29	в этой	2	4
30	в нем	9	4
31	и может	1	4
32	художественного творчества	1	4
33	мысли и	2	4
34	самого начала	1	4
35	как мы	2	4
36	с ее	2	4
37	с самого	1	4
38	так и	8	4
39	можно сказать	5	4
40	в его	7	4
41	а потому	1	4
42	с ними	1	4
43	только в	7	4
44	для всех	1	4
45	и их	1	4
46	и даже	3	4
47	но и	14	4
48	и не	11	4
49	и все	2	4
50	хотя бы	3	4
51	отношения к	2	3
52	едва ли	2	3
53	во всех	5	3
54	и есть	2	3
55	и как	6	3
56	и художественного	1	3
57	учение о	1	3
58	с их	1	3
59	и теперь	1	3
60	на этом	2	3
61	этом смысле	1	3
62	том что	19	3
63	во время	1	3
64	сих пор	1	3
65	в одном	2	3
66	по крайней	2	3
67	и притом	1	3
68	в основе	7	3
69	до сих	1	3
70	чем не	1	3
71	и оно	1	3
72	к себе	2	3
73	те же	1	3
74	в конечном	1	3
75	с другими	1	3
76	крайней мере	2	3
77	в том	23	3
78	в большинстве	1	3
79	только на	1	3
80	большинстве случаев	1	3
81	всяком случае	1	3
82	даже не	1	3
83	в области	1	3
84	и др	2	3
85	но оно	1	3
86	вместе с	1	3
87	и потому	3	3
88	как это	1	3
89	могут быть	4	3
90	в основном	1	3
91	что в	4	3
92	в этих	1	3
93	а в	5	3
94	то что	5	3
95	во всяком	2	3
96	нем нет	1	2
97	определить как	2	2
98	в самом	3	2
99	мы не	1	2
100	и о	4	2
101	говорить о	1	2
102	того же	3	2
103	на них	1	2
104	между собой	2	2
105	из этих	1	2
106	но как	2	2
107	конечном счете	1	2
108	нет и	1	2
109	за пределы	2	2
110	с этим	3	2
111	что это	1	2
112	он не	1	2
113	нашего времени	1	2
114	и по	2	2
115	то же	7	2
116	по своему	3	2
117	на ранних	2	2
118	на протяжении	2	2
119	и мы	1	2
120	было бы	1	2
121	в жизни	1	2
122	в них	4	2
123	как и	16	2
124	потому и	1	2
125	в своей	5	2
126	войти в	1	2
127	и вся	1	2
128	не менее	2	2
129	в науке	2	2
130	никогда не	2	2
131	сводится к	5	2
132	здесь же	1	2
133	что на	1	2
134	в каком	1	2
135	не могут	1	2
136	на границе	1	2
137	т.е в	1	2
138	не будет	1	2
139	как не	3	2
140	только то	1	2
141	в пределах	2	2
142	по аналогии	1	2
143	и вообще	2	2
144	о том	8	2
145	аналогии с	1	2
146	что и	3	2
147	один из	3	2
148	что он	4	2
149	и действительно	1	2
150	всех его	1	2
151	со всеми	1	2
152	есть в	2	2
