N	2gram	Vinokur_Ku_3	KFilosof
1	может быть	14	43
2	в его	11	39
3	не может	6	27
4	и не	10	26
5	по отношению	3	25
6	и в	23	22
7	в себе	1	21
8	в котором	2	21
9	отношению к	2	21
10	для меня	2	20
11	не есть	3	19
12	и его	1	17
13	в ее	4	17
14	а не	11	17
15	только в	6	16
16	в этом	16	13
17	точки зрения	23	13
18	но не	3	12
19	ни в	3	12
20	поскольку я	1	12
21	для него	1	12
22	все эти	7	11
23	в своей	4	11
24	не в	5	11
25	к нему	1	11
26	в своем	4	10
27	это не	3	10
28	с точки	16	10
29	все это	2	10
30	и есть	5	9
31	в их	6	9
32	в целом	4	9
33	для нее	1	9
34	но и	3	9
35	как бы	5	9
36	и для	1	9
37	лишь в	8	8
38	было бы	16	8
39	если бы	8	8
40	со стороны	1	8
41	не было	4	8
42	то что	4	7
43	во всем	1	7
44	на основе	1	7
45	и здесь	2	7
46	что и	6	7
47	конечно не	2	7
48	вовсе не	5	7
49	я не	5	6
50	менее всего	1	6
51	отношение к	3	6
52	отнюдь не	3	6
53	и я	2	6
54	он не	3	6
55	не значит	5	6
56	но лишь	1	6
57	смысл и	2	6
58	и только	3	6
59	смыслового содержания	1	6
60	и действительно	3	6
61	совершенно не	5	6
62	уже не	8	6
63	и их	1	6
64	отвлечении от	1	6
65	но это	5	6
66	в смысле	1	6
67	в том	22	6
68	в отвлечении	1	5
69	мы имеем	2	5
70	но как	3	5
71	все же	5	5
72	но в	2	5
73	не только	17	5
74	то же	6	5
75	но все	2	5
76	его в	2	5
77	как и	5	5
78	должно быть	7	5
79	что я	1	5
80	от его	1	5
81	не имеет	3	5
82	никогда не	1	5
83	и содержание	3	5
84	смысловое содержание	2	5
85	со всем	1	5
86	именно в	3	5
87	есть лишь	1	5
88	там где	3	5
89	в контексте	1	5
90	в основе	1	5
91	хотя бы	9	5
92	в моем	1	5
93	не знает	2	5
94	в действительной	1	4
95	быть в	2	4
96	в чем	5	4
97	при этом	6	4
98	не как	2	4
99	мне в	1	4
100	здесь мы	1	4
101	нем как	1	4
102	входит в	1	4
103	тем самым	4	4
104	не по	3	4
105	чем не	1	4
106	о нем	1	4
107	в каком	3	4
108	с ними	1	4
109	между тем	4	4
110	могло бы	3	4
111	в одном	2	4
112	том что	11	4
113	для нас	4	4
114	а в	5	4
115	только как	4	4
116	со мной	1	4
117	что в	13	4
118	самом деле	14	3
119	на самом	3	3
120	должна быть	3	3
121	для которого	2	3
122	мы не	3	3
123	что это	3	3
124	в ней	3	3
125	может дать	1	3
126	еще не	9	3
127	и на	1	3
128	тем как	1	3
129	нет и	1	3
130	независимо от	5	3
131	для которой	1	3
132	ее целом	1	3
133	бы и	3	3
134	бы не	3	3
135	всех этих	1	3
136	для того	12	3
137	в корне	2	3
138	в каждом	1	3
139	в другом	1	3
140	этом смысле	1	3
141	рядом с	1	3
142	когда я	1	3
143	не должно	1	3
144	не менее	12	3
145	тогда когда	4	3
146	меня не	1	3
147	на язык	1	3
148	ничего не	6	3
149	целом и	1	3
150	и делает	1	3
151	могут быть	6	3
152	здесь не	2	3
153	культуры и	1	3
154	ясно что	4	3
155	отсюда и	1	3
156	но здесь	1	3
157	в виду	8	3
158	о том	6	3
159	того или	3	3
160	того что	11	3
161	в современной	1	3
162	быть и	1	3
163	а лишь	3	3
164	и тем	6	3
165	я имею	2	3
166	не дает	2	3
167	был бы	3	3
168	тем что	5	3
169	от того	5	3
170	что не	4	3
171	и пр	3	3
172	по своему	2	3
173	котором он	1	3
174	от него	1	3
175	лишь как	1	3
176	не должен	1	3
177	только с	1	3
178	в свою	1	3
179	или иного	3	3
180	в то	3	3
181	на своем	1	3
182	чтобы не	2	2
183	эти различения	1	2
184	и то	1	2
185	я и	3	2
186	это и	3	2
187	вопрос о	11	2
188	не нужно	1	2
189	и конечно	1	2
190	в данном	7	2
191	или иное	2	2
192	один и	2	2
193	стал бы	1	2
194	же с	1	2
195	как в	4	2
196	этом его	1	2
197	как к	2	2
198	то или	2	2
199	и как	2	2
200	себе как	1	2
201	под ним	1	2
202	думать что	1	2
203	стороны ее	1	2
204	нами в	1	2
205	и тот	2	2
206	имеем в	1	2
207	как оно	1	2
208	в принципе	1	2
209	в виде	1	2
210	лишь с	4	2
211	так и	6	2
212	смысле в	1	2
213	то ни	1	2
214	не будет	1	2
215	конечно в	1	2
216	а по	1	2
217	ответственность за	4	2
218	и мы	1	2
219	с тем	6	2
220	и того	2	2
221	что значит	4	2
222	тем не	9	2
223	по себе	6	2
224	случае мы	1	2
225	тому что	4	2
226	раз и	2	2
227	что есть	2	2
228	дело не	2	2
229	в процессе	3	2
230	того чтобы	11	2
231	же время	1	2
232	для другого	1	2
233	в области	14	2
234	не потому	3	2
235	и именно	3	2
236	той или	5	2
237	отказаться от	1	2
238	можно и	1	2
239	говорить о	6	2
240	это только	1	2
241	постольку поскольку	1	2
242	с этого	1	2
243	другое дело	1	2
244	сводится к	1	2
245	может не	1	2
246	бы то	1	2
247	и просто	1	2
248	однако что	4	2
249	ее от	1	2
250	может иметь	3	2
251	в него	1	2
252	тот же	6	2
253	что он	6	2
254	а с	3	2
255	именно на	2	2
256	в качестве	2	2
257	мы получим	1	2
258	нее в	1	2
259	слова в	4	2
260	самого факта	1	2
261	не о	2	2
262	были бы	4	2
263	или иной	7	2
264	для этого	6	2
265	прежде всего	9	2
266	смысла и	1	2
267	он плох	1	2
268	своем месте	1	2
269	если не	1	2
270	для этой	1	2
271	и потому	1	2
272	подхода к	2	2
273	это есть	1	2
274	дело здесь	1	2
275	быть не	2	2
276	этого слова	4	2
277	но для	3	2
278	это уже	3	2
279	это можно	1	2
280	или иным	2	2
281	и факт	1	2
282	еще более	2	2
283	он имеет	2	2
284	потому что	12	2
285	отношении к	1	2
286	и эта	1	2
287	к этому	1	2
288	не зависит	1	1
289	нужно помнить	1	1
290	смысле слова	2	1
291	ту же	1	1
292	говоря о	1	1
293	также и	5	1
294	о каких	1	1
295	в движение	1	1
296	и через	2	1
297	в стороне	1	1
298	бы для	1	1
299	тем же	2	1
300	в чисто	1	1
301	что эти	2	1
302	не имеют	1	1
303	в зависимости	7	1
304	отношения к	1	1
305	той же	3	1
306	из всех	1	1
307	нуждаются в	1	1
308	принципиально иной	1	1
309	которую я	2	1
310	смысле можно	2	1
311	содержания в	2	1
312	бы что	1	1
