N	4gram	Voloshinov_1	SlovoVZh
1	бы то ни было	8	3
2	то же самое справедливо	2	2
3	же самое справедливо и	2	2
4	не может быть и	2	2
5	до сих пор не	1	1
6	в какой степени не	1	1
7	все более и более	1	1
8	до сих пор мы	1	1
9	находит свое выражение в	1	1
10	но в то же	2	1
11	одна и та же	1	1
12	самое справедливо и относительно	2	1
13	от каких бы то	2	1
14	и не может быть	4	1
15	на самом же деле	2	1
16	в процессе социального взаимодействия	1	1
17	так же как и	2	1
18	в то же время	3	1
19	каких бы то ни	3	1
20	один и тот же	3	1
21	справедливо и относительно всех	1	1
22	одним и тем же	1	1
23	следовательно только в процессе	1	1
24	ни в какой степени	1	1
25	какой бы то ни	1	1
