N	3gram	Berdyaev_M_2	EvropaiE
1	с точки зрения	1	16
2	в отношении к	2	12
3	в том что	2	6
4	так же как	3	5
5	для того чтобы	4	5
6	и в этом	3	4
7	той или иной	1	4
8	же как и	3	3
9	в этом отношении	1	3
10	между тем в	1	3
11	все другие народы	1	2
12	по сравнению с	1	2
13	не может быть	8	2
14	хотя бы в	1	2
15	есть не только	1	2
16	на то что	1	2
17	приводит нас к	1	2
18	с тем большей	1	1
19	а не к	1	1
20	в этом мире	1	1
21	плоти и кровь	1	1
22	но так как	1	1
23	также и в	2	1
24	он сам в	1	1
25	для того же	1	1
26	в мире как	2	1
27	в нем и	1	1
28	и не было	1	1
29	и во многих	1	1
30	во многих других	1	1
31	все еще в	1	1
32	а также в	1	1
33	но и в	1	1
34	и та же	2	1
35	мы увидим что	2	1
36	и кровь от	1	1
37	от плоти и	1	1
38	вопрос можно ли	1	1
39	не будет уже	1	1
40	может быть и	2	1
41	плоть от плоти	1	1
42	смысле этого слова	1	1
43	она никогда не	3	1
44	склонен думать что	1	1
45	в значительной степени	1	1
46	друг к другу	5	1
47	одна и та	2	1
48	в стороне от	1	1
49	кровь от крови	1	1
50	поскольку в ней	1	1
51	но также и	1	1
52	не означает что	1	1
53	та или иная	1	1
54	но с тем	1	1
55	все так же	1	1
56	только и можно	1	1
57	в русском народе	2	1
58	оно не может	1	1
59	именно потому что	1	1
60	другие народы мира	1	1
61	к тому что	3	1
62	только тогда когда	1	1
63	чтобы не только	1	1
