N	3gram	Losev_Dial_1	Sovremen
1	с точки зрения	12	5
2	не может быть	3	4
3	что же это	1	3
4	с самого начала	1	3
5	тем не менее	1	2
6	друг с другом	1	2
7	во всяком случае	2	2
8	же это за	1	2
9	может быть и	3	2
10	так как он	2	2
11	то же самое	1	2
12	и может быть	1	1
13	тем же путем	1	1
14	что иное как	1	1
15	и в этом	3	1
16	и есть то	1	1
17	одной стороны и	2	1
18	по крайней мере	4	1
19	уже знаем что	1	1
20	не в том	1	1
21	в связи с	1	1
22	ровно ничего не	3	1
23	дело в том	1	1
24	с ним или	1	1
25	одна и та	2	1
26	на самом деле	2	1
27	в новое время	1	1
28	в этом смысле	3	1
29	и той же	1	1
30	когда мы говорим	1	1
31	теперь мы должны	1	1
32	почти не знает	1	1
33	а не только	1	1
34	не было бы	2	1
35	и ни в	2	1
36	и еще более	1	1
37	до сих пор	2	1
38	вместе с ним	1	1
39	то же время	4	1
40	который как известно	1	1
41	и в то	2	1
42	сами по себе	1	1
43	со всеми ее	1	1
44	есть не что	1	1
45	и та же	2	1
46	прежде всего необходимо	2	1
47	это значит что	9	1
48	можно было бы	4	1
49	в самом деле	1	1
50	к одному и	1	1
51	той или иной	3	1
52	но если мы	1	1
53	но все же	1	1
54	и ничего не	1	1
55	все же это	1	1
56	и что она	1	1
57	своего развития наука	1	1
58	в то же	4	1
59	одной и той	1	1
60	те или иные	1	1
61	не что иное	1	1
62	но мы уже	1	1
63	и не стремится	1	1
64	мы уже знаем	1	1
65	в том что	7	1
66	она не может	1	1
67	или иной науки	1	1
68	своего предмета ни	1	1
69	ничто не может	1	1
70	с одной стороны	2	1
71	ничего общего не	1	1
72	на их основании	1	1
73	совершенно не приходится	1	1
