N	3gram	Propp_Isto_7	Hudozhes
1	о том что	5	9
2	и т п	1	8
3	по отношению к	1	8
4	в том что	4	6
5	в самом деле	1	4
6	можно было бы	1	4
7	в этой связи	1	4
8	к тому что	1	4
9	с точки зрения	1	3
10	в связи с	1	3
11	тем не менее	4	3
12	как и в	2	3
13	в предыдущей главе	1	3
14	и т д	16	3
15	только потому что	1	2
16	о том как	1	2
17	мы уже знаем	3	2
18	только в том	1	2
19	что он не	1	2
20	до сих пор	2	2
21	то и другое	1	2
22	ту или иную	1	2
23	не согласиться с	1	2
24	не только в	5	2
25	что у него	4	2
26	не может быть	3	2
27	во второй половине	1	2
28	на то чтобы	2	2
29	и в конце	1	1
30	на том что	1	1
31	уже знаем что	2	1
32	он вспоминает о	1	1
33	в чистом виде	1	1
34	все дело в	1	1
35	состоит в том	1	1
36	в плену у	1	1
37	здесь прежде всего	1	1
38	то же самое	1	1
39	же как и	1	1
40	в одной из	2	1
41	и то и	1	1
42	в иных случаях	1	1
43	ответить на вопрос	1	1
44	более или менее	1	1
45	и та же	1	1
46	с этой точки	3	1
47	к себе и	2	1
48	тогда как в	1	1
49	не хотелось бы	1	1
50	и что в	1	1
51	не в его	1	1
52	в противоречие с	1	1
53	в первый раз	1	1
54	так и в	2	1
55	и потому что	1	1
56	одна и та	1	1
57	не только на	1	1
58	на вопрос что	1	1
59	этом а в	1	1
60	а в том	2	1
61	в данном случае	3	1
62	в этом а	1	1
63	по своим результатам	1	1
64	и она не	1	1
65	с того что	3	1
66	этой точки зрения	3	1
67	но все же	2	1
68	все же не	1	1
69	с одной стороны	4	1
70	в ответ на	3	1
71	она не может	1	1
72	на первый взгляд	4	1
73	не в этом	1	1
74	от солнца и	1	1
