N	2gram	Losev_Vlad_1	Mirosoze
1	может быть	6	30
2	не только	24	29
3	и в	31	28
4	не может	6	28
5	но и	19	25
6	а не	1	25
7	он не	10	24
8	о человеке	1	23
9	человеческой природы	1	20
10	в этом	14	20
11	не было	5	18
12	у него	15	17
13	не в	5	16
14	потому что	11	16
15	в ней	1	15
16	в своей	4	15
17	и есть	1	14
18	он был	14	14
19	никогда не	9	14
20	до конца	1	14
21	человека в	1	13
22	в нем	4	13
23	и он	3	12
24	и это	2	12
25	в самом	2	11
26	для него	7	11
27	и не	17	11
28	во имя	1	10
29	в своем	4	10
30	было бы	2	10
31	бога и	2	10
32	что в	14	10
33	прежде всего	1	10
34	что он	12	10
35	и потому	6	10
36	и все	4	10
37	с тем	2	9
38	но он	5	9
39	и его	7	9
40	не есть	1	9
41	в его	12	9
42	его духа	1	8
43	человеке и	1	8
44	в котором	6	8
45	но не	3	8
46	не был	5	7
47	менее всего	1	7
48	но в	12	7
49	в себе	4	7
50	в конце	9	7
51	любви к	1	7
52	к нему	4	7
53	того что	2	7
54	и на	3	6
55	он сам	2	6
56	в которой	4	6
57	лишь в	2	6
58	в этой	4	6
59	свобода и	1	6
60	все в	1	6
61	только в	9	6
62	он уже	4	6
63	вместе с	3	6
64	все это	5	6
65	человек и	1	6
66	в том	11	6
67	нет и	2	5
68	если он	1	5
69	от нее	2	5
70	это не	1	5
71	в самую	1	5
72	как и	4	5
73	у нас	6	5
74	не могут	1	5
75	то что	18	5
76	и человека	1	5
77	и я	2	5
78	отношения к	1	4
79	это и	2	4
80	есть не	1	4
81	отношение к	3	4
82	за пределы	3	4
83	веру в	1	4
84	чем у	1	4
85	не к	1	4
86	не как	1	4
87	и по	8	4
88	в них	2	4
89	в этих	1	4
90	точки зрения	2	4
91	в их	1	4
92	к концу	2	4
93	к ней	4	4
94	она не	1	4
95	человека он	1	4
96	что и	5	4
97	один из	4	4
98	уже не	3	4
99	уже в	7	4
100	ни с	4	4
101	а в	9	4
102	тем что	2	4
103	и вместе	1	4
104	был в	3	4
105	всю жизнь	3	4
106	не знал	1	4
107	с этой	1	4
108	на пути	1	4
109	которых он	2	4
110	от него	2	4
111	с его	11	3
112	к богу	1	3
113	когда он	5	3
114	когда человек	1	3
115	вера в	2	3
116	и еще	2	3
117	и вот	3	3
118	на этом	2	3
119	и с	14	3
120	то есть	3	3
121	его личности	1	3
122	в жизни	3	3
123	только одно	1	3
124	для них	1	3
125	духовной жизни	1	3
126	не мог	3	3
127	том что	14	3
128	но если	1	3
129	ничего не	3	3
130	в момент	2	3
131	к тому	3	3
132	особенно в	1	3
133	учение о	2	3
134	толстой и	2	3
135	себя в	4	3
136	конечно не	2	3
137	одно из	1	3
138	так как	8	3
139	не хотел	1	3
140	что человек	1	3
141	человека а	1	3
142	себя и	1	3
143	я хочу	1	3
144	для нас	4	3
145	интерес к	1	3
146	хотя бы	2	3
147	мы увидим	3	3
148	одним из	2	2
149	также и	10	2
150	в этот	4	2
151	не хочет	1	2
152	вопрос о	1	2
153	который был	2	2
154	время как	1	2
155	литературы и	1	2
156	и много	1	2
157	истории в	1	2
158	по отношению	1	2
159	себе и	1	2
160	человек может	1	2
161	относится к	1	2
162	в истории	4	2
163	как в	3	2
164	все же	3	2
165	и как	4	2
166	и к	6	2
167	и у	4	2
168	греческой философии	1	2
169	он в	3	2
170	все эти	3	2
171	самого себя	1	2
172	как он	4	2
173	если бы	1	2
174	с ней	1	2
175	в россии	4	2
176	на протяжении	1	2
177	который и	1	2
178	с самим	1	2
179	и мы	2	2
180	истории и	1	2
181	был очень	2	2
182	чем в	1	2
183	которую он	2	2
184	место в	2	2
185	мысли и	4	2
186	от его	1	2
187	был не	2	2
188	в духовной	1	2
189	любовь к	1	2
190	мирового процесса	1	2
191	с которой	1	2
192	в то	8	2
193	того чтобы	2	2
194	по своей	4	2
195	и сама	1	2
196	в каком	2	2
197	личности в	1	2
198	есть только	1	2
199	он никогда	1	2
200	смысле в	1	2
201	он мог	1	2
202	и от	5	2
203	то время	2	2
204	и что	6	2
205	рассудка и	1	2
206	и когда	1	2
207	еще в	4	2
208	разного рода	6	2
209	с ним	5	2
210	и нужно	1	2
211	о нем	7	2
212	о том	11	2
213	с того	2	2
214	и во	1	2
215	и те	1	2
216	и бог	1	2
217	которой все	1	2
218	человека как	3	2
219	о своих	1	2
220	и мир	1	2
221	философии но	2	2
222	жизни и	5	2
223	человека с	1	2
224	не стал	2	2
225	нет никаких	1	2
226	даже и	9	2
227	для того	2	2
228	в свой	2	2
229	во власти	1	2
230	в высшей	1	2
231	мы еще	1	2
232	на этот	6	2
233	человеческой жизни	1	2
234	его как	1	2
235	о чем	1	2
236	он и	6	2
237	бог есть	1	2
238	тогда только	1	2
239	по своему	3	2
240	человека то	1	2
241	быть не	1	2
242	него не	3	2
243	в начале	3	2
244	в более	1	2
