N	3gram	Tiupa_Hudo_2	Problemy
1	то же время	4	10
2	в то же	4	10
3	с самого начала	1	8
4	с самим собою	1	7
5	с самим собой	1	7
6	по отношению к	7	6
7	в пределах одного	1	5
8	той или иной	1	4
9	а между тем	3	3
10	и в самом	1	3
11	бы то ни	1	3
12	с другой стороны	1	3
13	не может быть	3	3
14	к тому же	2	3
15	то что я	1	2
16	сводится к тому	1	2
17	как раз и	1	2
18	с точки зрения	2	2
19	и в то	2	2
20	можно было бы	2	2
21	ни одного слова	2	2
22	и в этом	2	2
23	именно тем что	1	2
24	ибо в нем	1	2
25	подобно тому как	4	2
26	но все же	1	2
27	в том что	11	2
28	как мы знаем	1	2
29	именно потому что	1	2
30	все более и	1	1
31	на чужое слово	1	1
32	одних и тех	1	1
33	точно такое же	1	1
34	обойтись без другого	1	1
35	самим собою в	1	1
36	раз в жизни	1	1
37	отношению к чужому	1	1
38	дело в том	1	1
39	в самом деле	3	1
40	так и не	4	1
41	в этом случае	1	1
42	самом деле не	1	1
43	до сих пор	2	1
44	но тотчас же	1	1
45	и в других	1	1
46	тому как он	1	1
47	что он не	1	1
48	потому что сознание	1	1
49	в этом произведении	1	1
50	самим по себе	1	1
51	в другом и	1	1
52	одного слова и	1	1
53	а в другой	1	1
54	и то что	1	1
55	и тех же	1	1
56	к тому что	4	1
57	о том как	2	1
58	в значительной степени	1	1
59	то время как	1	1
60	он знает и	2	1
61	в данном случае	2	1
62	тем что он	1	1
63	и все его	1	1
64	как будто бы	2	1
65	было бы так	1	1
66	не только для	1	1
67	и в рассказе	1	1
68	отношению к другому	1	1
69	особенно в его	1	1
70	что я не	1	1
71	к той же	1	1
72	на жизнь и	1	1
73	я не могу	1	1
74	и в том	1	1
75	зачем же я	1	1
76	что же такое	1	1
77	в то время	1	1
78	но тем не	2	1
79	как и в	3	1
80	является непосредственным продолжением	1	1
81	о том что	7	1
82	они и в	2	1
83	но и для	1	1
84	не только не	2	1
85	о себе с	1	1
86	более и более	1	1
87	смысле можно сказать	1	1
88	можно сказать что	1	1
89	друг от друга	1	1
90	тем не менее	3	1
91	как бы в	1	1
92	чужому слову я	1	1
93	для того чтобы	3	1
94	что и от	1	1
95	ни на грош	1	1
96	никогда и не	1	1
97	а не в	2	1
98	что и в	1	1
99	то же самое	2	1
100	не вступает в	1	1
101	в этом отношении	1	1
