N	2gram	Propp_Isto_4	Myslijsy
1	потому что	6	46
2	в том	3	32
3	и в	26	30
4	может быть	14	28
5	то же	8	23
6	не только	15	21
7	только в	3	21
8	для нас	3	20
9	но и	12	19
10	того что	2	18
11	том что	3	18
12	то что	16	18
13	не есть	2	17
14	что в	14	17
15	в себе	2	16
16	по себе	2	16
17	и не	9	15
18	не в	5	15
19	а не	6	15
20	таким образом	10	14
21	что и	9	13
22	так как	9	13
23	если бы	2	12
24	вместе с	6	12
25	а в	8	12
26	точно так	5	12
27	так и	10	11
28	этого слова	2	11
29	как в	7	10
30	в этом	7	10
31	как и	7	10
32	в то	1	10
33	и что	5	10
34	мы не	1	9
35	только тогда	3	9
36	из этих	3	9
37	в нем	2	9
38	было бы	2	9
39	тогда когда	1	9
40	и то	6	8
41	в ней	1	8
42	от того	2	8
43	что не	1	8
44	что мы	3	8
45	только что	3	8
46	есть не	1	7
47	но не	5	7
48	с тем	2	7
49	тем самым	1	7
50	тем что	5	7
51	как мы	5	7
52	так что	2	7
53	в языке	2	7
54	вовсе не	4	7
55	с другой	4	7
56	смысле этого	2	7
57	к тому	1	7
58	например в	3	6
59	то это	5	6
60	с этим	2	6
61	с ним	1	6
62	не имеет	3	6
63	указывает на	4	6
64	те же	3	6
65	что он	10	6
66	уже не	5	6
67	то и	1	6
68	из них	2	6
69	зависит от	1	6
70	не может	6	6
71	что только	1	6
72	но это	3	6
73	и т	27	5
74	еще не	6	5
75	независимо от	1	5
76	в своем	2	5
77	и как	5	5
78	думать что	1	5
79	не следует	1	5
80	одно и	1	5
81	и тем	2	5
82	в них	1	5
83	что я	2	5
84	к ней	1	5
85	как на	1	5
86	не могут	2	5
87	сравнительно с	1	5
88	не менее	2	5
89	уже в	2	5
90	одно из	1	5
91	только по	1	5
92	очевидно что	1	5
93	есть только	3	5
94	тому как	1	5
95	сказать что	2	5
96	только как	1	5
97	говоря о	1	4
98	или же	3	4
99	не все	1	4
100	относится к	3	4
101	что именно	1	4
102	не было	1	4
103	что это	2	4
104	он не	7	4
105	перестает быть	1	4
106	не к	2	4
107	но вместе	1	4
108	и по	5	4
109	и наоборот	2	4
110	мы видели	6	4
111	и при	3	4
112	в котором	1	4
113	есть нечто	1	4
114	того как	4	4
115	это слово	1	4
116	и его	10	4
117	до того	1	4
118	по поводу	1	4
119	на это	2	4
120	и это	1	4
121	то время	1	4
122	по мере	1	4
123	можно бы	1	4
