N	3gram	Losev_Vlad_3	Analitik
1	о том что	8	6
2	в том что	10	6
3	в данном случае	2	5
4	с одной стороны	3	4
5	и в этом	5	4
6	в этом случае	1	4
7	к тому же	5	4
8	на себя внимание	2	3
9	в этом отношении	2	3
10	содержит в себе	4	3
11	обращает на себя	2	3
12	той или иной	1	3
13	тем не менее	9	3
14	в этом смысле	3	2
15	с точки зрения	6	2
16	в результате чего	1	2
17	в таком случае	2	2
18	в то же	3	2
19	можно было бы	1	2
20	о свободе воли	2	2
21	и то что	4	2
22	а не только	2	2
23	не только в	1	2
24	в отличие от	3	2
25	с другой стороны	2	2
26	то же время	2	2
27	не только не	1	2
28	на то что	2	2
29	в сторону и	1	2
30	но в результате	1	1
31	что иное как	1	1
32	не столько о	1	1
33	уже содержит в	1	1
34	сказать что в	1	1
35	между прочим и	1	1
36	более или менее	5	1
37	внимание на то	1	1
38	свидетельствует о том	2	1
39	те же самые	1	1
40	то что с	1	1
41	как раз и	5	1
42	как это было	1	1
43	хотя бы и	3	1
44	выходит далеко за	1	1
45	нельзя сказать что	2	1
46	ко всему этому	1	1
47	далеко за пределы	2	1
48	так что все	1	1
49	одна из них	1	1
50	и даже в	1	1
51	которой он в	1	1
52	в противном случае	1	1
53	значении этого слова	1	1
54	с этой точки	1	1
55	то и другое	1	1
56	то есть на	1	1
57	как и вся	1	1
58	но и его	1	1
59	на этот раз	1	1
60	в действительности является	1	1
61	и то же	1	1
62	в известном смысле	1	1
63	нам представляется что	1	1
64	так или иначе	2	1
65	в связи с	2	1
66	то что все	1	1
67	одно и то	1	1
68	не говорит о	2	1
69	не так уж	2	1
70	а то что	1	1
71	в первую очередь	1	1
72	этой точки зрения	1	1
73	только то что	1	1
74	все того же	1	1
75	не может быть	6	1
76	отнюдь не является	1	1
77	заключается в том	1	1
78	сказать и о	1	1
79	бы это было	1	1
80	не только на	1	1
81	не что иное	1	1
82	в самом деле	1	1
83	ничего не говорит	4	1
84	но и не	1	1
85	именно в нем	1	1
86	могут и должны	1	1
87	и должны быть	1	1
88	в том смысле	1	1
89	к тому что	2	1
90	сама по себе	1	1
91	он не только	1	1
92	точно так же	4	1
93	в себе не	1	1
94	то же самое	1	1
95	на наш взгляд	1	1
