N	2gram	Propp_Morf_1	Vvedenie
1	и т	41	42
2	т д	39	36
3	т е	21	35
4	и в	13	32
5	в том	6	31
6	в этом	14	30
7	том что	4	26
8	может быть	52	26
9	не только	4	22
10	для того	2	21
11	того чтобы	3	20
12	таким образом	21	19
13	также и	4	18
14	то что	8	16
15	потому что	3	15
16	так как	16	15
17	не может	14	14
18	о том	2	13
19	со стороны	3	13
20	представляет собой	17	12
21	в его	1	12
22	того что	3	12
23	только в	2	12
24	и не	12	12
25	как на	1	12
26	как мы	6	11
27	ясно что	5	11
28	в данном	1	11
29	что такое	3	11
30	что в	8	10
31	то же	7	9
32	и как	5	9
33	но в	2	9
34	между тем	5	9
35	в той	1	9
36	это не	6	8
37	не в	3	8
38	тем не	5	8
39	не менее	5	8
40	с другой	8	8
41	самом деле	4	7
42	вопрос о	7	7
43	но не	4	7
44	все же	7	7
45	было бы	3	7
46	точки зрения	2	7
47	можно было	2	7
48	дело с	1	7
49	как нечто	1	7
50	прежде всего	9	7
51	о котором	1	7
52	смысле слова	4	6
53	из этих	1	6
54	его в	2	6
55	с тем	2	6
56	как и	3	6
57	к истории	1	6
58	вовсе не	4	6
59	в то	3	6
60	в качестве	5	6
61	тем что	4	6
62	не могут	4	6
63	один из	5	6
64	этот вопрос	2	6
65	и его	1	6
66	в руки	3	6
67	и даже	1	6
68	до сих	1	6
69	но и	4	6
70	а именно	1	6
71	сих пор	1	6
72	хотя бы	4	6
73	одним из	1	5
74	в целом	3	5
75	или вообще	1	5
76	приходим к	2	5
77	так например	3	5
78	об этом	4	5
79	и тем	2	5
80	данном случае	1	5
81	в них	1	5
82	но если	7	5
83	в которых	2	5
84	сказать что	2	5
85	могут быть	16	5
86	д но	4	5
87	как например	2	5
88	так что	1	5
89	не есть	1	5
90	представляют собой	11	5
91	что не	1	5
92	на этот	1	5
93	а не	11	5
94	по своему	2	5
95	она есть	1	5
96	в течение	1	5
97	как бы	3	5
98	в г	1	5
99	другой стороны	4	5
100	есть и	4	5
101	в какой	3	5
102	связана с	3	4
103	и то	1	4
104	как это	3	4
105	в первом	3	4
106	мы имеем	9	4
107	по отношению	4	4
108	независимо от	3	4
109	как уже	2	4
110	уже не	2	4
111	в себе	1	4
112	но ведь	1	4
113	в своей	1	4
114	не имеет	2	4
115	в каждом	1	4
116	здесь нет	1	4
117	на вопрос	2	4
118	и что	2	4
119	еще не	3	4
120	что он	4	4
121	и ее	3	4
122	с одной	1	4
123	в виде	2	4
124	одно из	1	4
125	всяком случае	2	4
126	как раз	1	4
127	этом отношении	1	4
128	в особенности	1	4
129	одной стороны	1	4
130	еще и	1	4
131	быть названо	3	4
132	о чем	1	4
133	видит в	1	4
134	с этой	1	4
135	этом случае	8	4
136	и для	2	4
137	только что	2	4
138	а в	7	4
139	отношению к	4	4
140	во всяком	2	4
141	и есть	2	3
142	собственном смысле	3	3
143	в сущности	3	3
144	так чтобы	1	3
145	говорить о	3	3
146	не вполне	1	3
147	то это	3	3
148	в виду	1	3
149	и на	1	3
150	он сам	1	3
151	в различных	2	3
152	в чем	1	3
153	совсем не	3	3
154	ответ на	1	3
155	хотя и	3	3
156	и к	4	3
157	что это	1	3
158	все эти	2	3
159	в этой	2	3
160	что она	2	3
161	при этом	1	3
162	если бы	2	3
163	вообще не	1	3
164	на этом	3	3
165	в свое	2	3
166	чем в	1	3
167	нисколько не	1	3
168	в этих	13	3
169	и вот	1	3
170	однако в	2	3
171	дело в	1	3
172	дело не	2	3
173	связи с	10	3
174	как будто	2	3
175	в области	1	3
176	в каком	2	3
177	но все	3	3
178	в в	2	3
179	в собственном	3	3
180	можно сказать	2	3
181	а также	4	3
182	что с	1	3
183	или как	1	3
184	к нему	3	3
185	раньше чем	3	3
186	одной из	1	3
187	что даже	1	3
188	в начале	3	3
189	при помощи	9	3
190	из них	3	3
191	в одном	1	3
192	что и	7	3
193	отношение к	1	3
194	в очень	1	3
195	а потому	1	3
196	на основании	1	3
197	из наиболее	1	3
198	так называемой	1	3
199	так называемых	2	3
200	так же	3	3
201	что же	2	3
202	но с	1	3
203	к тому	4	3
204	в результате	7	3
205	наука о	2	3
206	к этому	3	3
207	в частности	2	3
208	вряд ли	2	2
209	наших дней	2	2
210	это делает	1	2
211	и до	1	2
212	из его	2	2
213	должна быть	1	2
214	что мы	2	2
215	мы уже	1	2
216	мы не	8	2
217	в основу	2	2
218	и со	1	2
219	которое в	1	2
220	и был	1	2
221	значение и	1	2
222	тогда как	2	2
223	надо было	1	2
224	чем же	1	2
225	в этот	1	2
226	учение о	3	2
227	ни одна	4	2
228	что каждая	1	2
229	и совершенно	1	2
230	в силу	1	2
231	д все	2	2
232	подобно тому	6	2
233	и наоборот	4	2
234	наука не	1	2
235	общий вопрос	1	2
236	же касается	1	2
237	в другом	2	2
238	и с	1	2
239	них не	1	2
240	входит в	2	2
241	о которых	1	2
242	этого не	2	2
243	во внимание	1	2
244	несмотря на	4	2
245	должно быть	1	2
246	и тогда	1	2
247	момента в	1	2
248	и при	1	2
249	с точки	2	2
250	состоит в	2	2
251	не столько	1	2
252	стоит в	1	2
253	тому что	4	2
254	с теми	4	2
255	на котором	3	2
256	того как	2	2
257	одна из	4	2
258	это еще	1	2
259	ничего не	4	2
260	его можно	1	2
261	от того	3	2
262	у нас	2	2
263	к таким	1	2
264	к отдельным	2	2
265	когда мы	1	2
266	если же	5	2
267	то она	1	2
268	из двух	2	2
269	так и	6	2
270	не с	2	2
271	собой в	2	2
272	мог бы	1	2
273	же самое	1	2
274	и здесь	5	2
275	по их	3	2
276	во всех	4	2
277	во втором	3	2
278	в форме	6	2
279	если это	3	2
280	быть и	2	2
281	здесь не	2	2
282	для нее	1	2
283	до наших	2	2
284	что следовательно	1	2
285	только на	1	2
286	чем они	1	2
287	от других	2	2
288	исторического изучения	1	2
289	к разным	1	2
290	мы можем	2	2
291	могло бы	1	2
292	само собой	1	2
293	по его	1	2
294	и др	10	2
295	иначе но	1	2
296	что несмотря	1	2
297	в связи	9	2
298	с помощью	1	2
299	все более	1	2
300	д в	2	2
301	из которых	3	2
302	с этим	11	2
303	этих случаях	11	2
304	а если	4	2
305	тому как	5	2
306	по существу	12	2
307	с изучением	1	2
308	еще раз	1	2
309	но это	6	2
310	и развития	1	2
311	это уже	3	2
312	и сама	1	2
313	не существует	3	2
314	между ними	1	2
315	или нет	2	2
316	мы должны	3	2
317	ни к	2	2
318	в интересах	2	2
319	идет об	1	2
320	точно так	1	2
321	и другие	6	2
322	вопрос мы	1	1
323	чем продолжать	1	1
324	например в	2	1
325	до него	1	1
326	не свободен	1	1
327	на самом	4	1
328	это и	2	1
329	как такового	1	1
330	сразу и	2	1
331	который можно	1	1
332	проявляются в	1	1
333	можно говорить	1	1
334	что эти	2	1
335	быть применено	1	1
336	ведь и	1	1
337	и за	2	1
338	действительно представляют	1	1
339	то для	1	1
340	очень далеко	1	1
341	что изучение	2	1
342	предметом его	1	1
343	та же	2	1
344	таком случае	1	1
345	приводят к	1	1
346	есть нечто	3	1
347	большей частью	4	1
348	которые он	1	1
349	он был	1	1
350	качестве примера	1	1
351	к целому	2	1
352	что его	2	1
353	то мы	4	1
354	одна за	1	1
355	это бывает	1	1
356	но как	2	1
357	дело обстоит	1	1
358	также часто	1	1
359	а и	3	1
360	как в	3	1
361	г он	7	1
362	отличие от	1	1
363	или иное	1	1
364	что они	2	1
365	идут в	1	1
366	дает нам	1	1
367	что действительно	2	1
368	которой ее	1	1
