N	3gram	Propp_Isto_2	Poddanst
1	не только в	4	4
2	в том что	5	4
3	с одной стороны	3	3
4	и не только	1	2
5	но и в	2	2
6	том что в	1	1
7	в ней и	1	1
8	в том мире	1	1
9	мы видим в	1	1
10	выражается в том	1	1
11	в себя воздух	1	1
12	но и другие	1	1
13	мы не будем	2	1
14	в отличие от	1	1
15	жизни она всегда	1	1
16	за то что	1	1
17	вместе с тем	5	1
18	и пр в	1	1
19	так же как	4	1
20	но в отличие	1	1
21	если мы не	1	1
22	с другой стороны	2	1
23	не может быть	2	1
24	вопрос о смысле	2	1
25	то что происходит	1	1
26	мы знаем что	10	1
27	как одна из	1	1
28	друг с другом	1	1
29	для них и	1	1
30	и т д	18	1
31	в отдельности и	1	1
