N	3gram	Berdyaev_M_2	Vvedenie
1	для того чтобы	4	20
2	в том что	2	12
3	о том что	2	12
4	но также и	1	9
5	не может быть	8	8
6	до сих пор	3	6
7	в той мере	1	5
8	той мере в	1	5
9	мере в какой	1	5
10	что иное как	3	4
11	по отношению к	2	4
12	в этом отношении	1	4
13	т е в	2	4
14	и в этом	3	4
15	по сравнению с	1	4
16	может быть названо	1	4
17	не что иное	3	4
18	также и в	2	3
19	сама по себе	1	3
20	потому что он	2	2
21	и той же	2	2
22	подобно тому как	2	2
23	по своему значению	1	2
24	с точки зрения	1	2
25	в центре внимания	1	2
26	может быть и	2	2
27	в конце концов	1	2
28	смысле этого слова	1	2
29	не до конца	2	2
30	есть не что	3	2
31	одной и той	2	2
32	той или иной	1	2
33	не имеет своего	1	1
34	а между тем	1	1
35	потому что в	1	1
36	себе путь к	1	1
37	на самом деле	1	1
38	может быть назван	2	1
39	в ней есть	2	1
40	сам по себе	1	1
41	но и в	1	1
42	не сам по	1	1
43	деле то что	1	1
44	не осталось ни	1	1
45	каких и не	1	1
46	человека в его	1	1
47	и тогда когда	1	1
48	бы и не	1	1
49	на эту тему	1	1
50	так же как	3	1
51	а не только	1	1
52	о чем они	1	1
53	не есть еще	1	1
54	ни к какому	1	1
55	в этом опыте	1	1
56	превратить его в	1	1
57	потому что она	3	1
58	как момент в	1	1
59	того чтобы сделать	1	1
60	т е своего	1	1
61	на этом пути	2	1
62	но на них	1	1
63	в нем есть	6	1
64	от того что	3	1
65	не потому что	1	1
66	его отношение к	4	1
67	та или иная	1	1
68	и никогда не	2	1
69	в этом втором	1	1
70	именно потому что	1	1
71	в его собственной	1	1
72	только тогда когда	1	1
73	было бы назвать	1	1
74	после того как	2	1
75	к тому что	3	1
76	только в этом	1	1
77	вопрос о природе	1	1
78	быть у него	1	1
79	во всех его	1	1
80	друг для друга	2	1
81	человека к человеку	3	1
