N	3gram	Bakhtin_Pr_1	Istorich
1	и т д	1	18
2	до сих пор	2	6
3	точно так же	1	6
4	в том что	6	5
5	в этом случае	1	5
6	мы имеем в	1	5
7	так же как	1	4
8	не только в	2	4
9	но все же	2	4
10	подобно тому как	3	3
11	по отношению к	8	3
12	можно было бы	2	3
13	о том что	1	2
14	на самом деле	4	2
15	в другом месте	1	2
16	с самого начала	1	2
17	с другой стороны	3	2
18	не может быть	4	2
19	так как в	1	2
20	потому что он	1	2
21	так и к	1	1
22	это и есть	1	1
23	т е представляет	1	1
24	вот он и	1	1
25	как одна из	1	1
26	по себе а	1	1
27	и так сказать	1	1
28	тем что в	1	1
29	духа т е	1	1
30	не только не	1	1
31	в себе в	1	1
32	в одно время	1	1
33	мы видим и	1	1
34	т е в	2	1
35	он все же	1	1
36	говорит об этом	1	1
37	друг друга но	1	1
38	как один из	1	1
39	я ничего не	1	1
40	но это не	2	1
41	героя с его	1	1
42	и в нем	1	1
43	что она не	3	1
44	и не могут	1	1
45	но все эти	1	1
46	то что было	3	1
47	она все еще	1	1
48	он должен быть	1	1
49	почти никогда не	1	1
50	все же остается	1	1
51	и есть то	1	1
52	друг с другом	1	1
53	в зависимости от	5	1
54	в высшей степени	1	1
55	том что он	4	1
56	и нисколько не	1	1
57	о нем думают	1	1
