N	2gram	Savitsky_P_1	Hudozhes
1	в мире	2	23
2	в качестве	9	19
3	и не	12	16
4	не только	17	15
5	и в	14	15
6	в том	9	15
7	может быть	5	13
8	в частности	2	13
9	а в	4	12
10	но не	3	11
11	в этом	10	11
12	в себе	3	11
13	то же	9	10
14	представляет собой	1	10
15	как бы	4	10
16	а не	2	10
17	но и	6	10
18	точки зрения	3	9
19	в его	2	9
20	в рамках	1	8
21	сводится к	3	8
22	себя в	1	8
23	в душе	1	8
24	я и	3	7
25	отличие от	1	7
26	но в	9	7
27	в отличие	1	7
28	в то	7	7
29	или иной	1	7
30	с другой	5	7
31	с его	1	6
32	том что	4	6
33	не в	5	6
34	же время	7	6
35	в ее	2	6
36	не может	4	6
37	что в	4	6
38	более или	1	5
39	в самом	1	5
40	то что	4	5
41	тем самым	3	5
42	могут быть	3	5
43	с ее	1	5
44	внутреннего зрения	1	5
45	а также	4	5
46	того что	2	5
47	только в	7	5
48	другой стороны	1	5
49	или менее	1	5
50	в нем	3	5
51	отношения к	2	4
52	и то	1	4
53	место в	1	4
54	говорить о	2	4
55	еще не	1	4
56	как к	1	4
57	хотя и	3	4
58	и как	3	4
59	и тем	2	4
60	в этих	1	4
61	в ходе	1	4
62	не столько	2	4
63	между тем	3	4
64	во времени	1	4
65	со стороны	2	4
66	прежде всего	3	4
67	например в	2	4
68	и ее	1	3
69	и к	4	3
70	в которой	1	3
71	одно и	1	3
72	его в	1	3
73	это не	3	3
74	этом смысле	1	3
75	как и	1	3
76	с точки	3	3
77	в отношении	10	3
78	не менее	2	3
79	в русской	4	3
80	как раз	2	3
81	потому что	3	3
82	в пределах	8	3
83	если бы	4	3
84	и что	1	3
85	во всей	2	3
86	человека с	1	3
87	оказывается в	1	3
88	или иным	1	3
89	в области	11	3
90	далеко не	1	3
91	в данном	1	3
92	и это	2	2
93	по преимуществу	1	2
94	не вполне	1	2
95	и на	1	2
96	но как	1	2
97	и весьма	2	2
98	не все	1	2
99	человеческого бытия	1	2
100	в своем	4	2
101	в себя	1	2
102	в этой	1	2
103	но на	1	2
104	не как	1	2
105	в силу	2	2
106	наших глазах	1	2
107	этом мире	1	2
108	полноте и	1	2
109	по себе	4	2
110	в них	2	2
111	ведет к	1	2
112	хх века	2	2
113	и более	1	2
114	одна из	2	2
115	и притом	1	2
116	этих двух	1	2
117	числе и	1	2
118	и о	5	2
119	того чтобы	1	2
120	к жизни	1	2
121	в порядке	3	2
122	в значительной	2	2
123	именно в	2	2
124	может оказаться	1	2
125	ни к	1	2
126	тот или	1	2
127	с одной	3	2
128	есть в	2	2
129	одно из	1	2
130	для того	3	2
131	а с	1	2
132	одной стороны	3	2
133	существующее в	1	2
134	так же	1	2
135	и особенно	1	2
136	и потому	4	2
137	было и	1	2
138	и по	1	2
139	во всех	2	2
140	тем более	2	2
141	отношении к	5	2
142	поскольку не	1	2
143	в иной	1	2
144	культуры в	2	2
145	том числе	2	2
146	также и	1	1
147	в сфере	2	1
148	же как	1	1
149	и через	1	1
150	и есть	2	1
151	мире можно	1	1
152	можно говорить	1	1
153	есть не	2	1
154	русской культуре	1	1
155	в полной	2	1
156	но чтобы	1	1
157	никогда не	1	1
158	которое в	2	1
159	при сохранении	1	1
160	так называемые	2	1
161	столь же	3	1
162	время в	2	1
163	что его	1	1
164	в различных	1	1
165	как преодоление	1	1
166	более как	1	1
167	в е	2	1
168	на основе	1	1
169	отнюдь не	2	1
170	и я	1	1
171	в истории	1	1
172	более чем	2	1
173	не входят	1	1
174	такова же	1	1
175	что по	1	1
176	тем же	1	1
177	над собой	1	1
178	могли бы	1	1
179	только то	1	1
180	к чему	2	1
181	бы и	1	1
182	что это	1	1
183	окружающей их	1	1
184	из этих	1	1
185	в известном	1	1
186	во многих	1	1
187	на то	1	1
188	не могла	1	1
189	в мир	1	1
190	в статье	2	1
191	к миру	1	1
192	все это	2	1
193	в реальной	1	1
194	тем и	1	1
195	при виде	1	1
196	ни были	1	1
197	чтобы в	1	1
198	ему на	1	1
199	заключает в	2	1
200	многих других	1	1
201	и ясный	1	1
202	а затем	1	1
203	что все	1	1
204	тем в	1	1
205	полной мере	2	1
206	не с	1	1
207	и внутренне	1	1
208	и иных	1	1
209	было бы	6	1
210	и где	1	1
211	например с	1	1
212	весь мир	1	1
213	в жизни	2	1
214	это сфера	1	1
215	и достоевского	2	1
216	являются наиболее	1	1
217	это ощущение	1	1
218	и без	3	1
219	в котором	4	1
220	что от	1	1
221	к предмету	1	1
222	на каждом	1	1
223	в условиях	1	1
224	любовь и	1	1
225	на каждого	1	1
226	друг другу	2	1
227	в прошлом	1	1
228	и наоборот	1	1
229	в историческом	1	1
230	xviii века	1	1
231	с которой	1	1
232	исторического бытия	1	1
233	но для	1	1
234	не имеет	1	1
235	мнения о	1	1
236	каждый из	1	1
237	казалось бы	1	1
238	иными словами	1	1
239	и теперь	1	1
240	входят в	1	1
241	в каком	1	1
242	только мы	1	1
243	и здесь	1	1
244	в момент	1	1
245	и страсти	1	1
246	сравнении с	3	1
247	ли не	1	1
248	единства в	1	1
249	всего что	1	1
250	но два	1	1
251	в каждом	1	1
252	в настоящее	1	1
253	должен быть	1	1
254	та или	1	1
255	что составляет	1	1
256	в собственном	1	1
257	мысль о	2	1
258	на нее	1	1
259	те же	1	1
260	живет в	1	1
261	в сочетании	2	1
262	для этого	1	1
263	мире в	1	1
264	к деградации	1	1
265	именно потому	1	1
266	не означает	1	1
267	настоящее время	1	1
268	мира а	1	1
269	и который	1	1
270	может не	1	1
271	вопросу о	1	1
272	восходит к	1	1
273	в которую	2	1
