N	4gram	Propp_Morf_1	Istorich
1	может быть поставлен вопрос	1	2
2	в связи с изучением	1	2
3	состоит в том что	2	2
4	в то время как	3	2
5	сказка в целом не	1	2
6	до сих пор не	1	1
7	мы видим что в	1	1
8	в этом случае не	2	1
9	же можно сказать о	1	1
10	то же можно сказать	1	1
11	в иное царство и	1	1
12	и т д в	2	1
13	живой и мертвой водой	1	1
14	может быть разрешен только	1	1
15	но это еще не	1	1
16	прибывает домой или в	1	1
17	образом мы видим что	3	1
18	и т д здесь	1	1
19	это еще не все	1	1
20	как мы увидим ниже	3	1
21	таким образом мы видим	3	1
22	и т д как	3	1
23	в самых разнообразных сказках	1	1
24	если это так то	1	1
25	в немецкой сказке мы	1	1
26	в тех случаях когда	2	1
