N	2gram	Bakhtin_Fr_2	PoTuStor
1	может быть	5	17
2	и в	49	16
3	в этом	15	9
4	таким образом	7	9
5	мы можем	2	9
6	прежде всего	19	9
7	и с	6	8
8	точки зрения	6	8
9	и его	17	8
10	не может	7	8
11	совершенно не	2	8
12	с его	5	7
13	не только	17	7
14	сказать что	6	7
15	самом деле	1	6
16	конечно не	1	6
17	при этом	5	6
18	с точки	5	6
19	и это	3	6
20	для него	9	6
21	и к	4	6
22	еще не	2	5
23	в чем	1	5
24	отношение к	8	5
25	все эти	7	5
26	сознание и	1	5
27	ни в	3	5
28	нуждается в	2	5
29	в него	2	5
30	как бы	11	5
31	на самом	2	4
32	и ее	1	4
33	и на	17	4
34	и наконец	1	4
35	но в	4	4
36	в этой	10	4
37	в нем	9	4
38	его в	1	4
39	в один	1	4
40	художественного творчества	1	4
41	все это	9	4
42	как мы	7	4
43	с ее	3	4
44	с самого	1	4
45	так и	6	4
46	можно сказать	2	4
47	в его	18	4
48	с ними	1	4
49	только в	13	4
50	и их	1	4
51	так как	6	4
52	и даже	2	4
53	но и	13	4
54	и не	15	4
55	и все	3	4
56	хотя бы	1	4
57	все что	2	4
58	отношения к	4	3
59	тех же	2	3
60	и значение	2	3
61	во всех	6	3
62	в общем	1	3
63	и есть	1	3
64	и как	1	3
65	учение о	2	3
66	с их	6	3
67	и теперь	1	3
68	и вот	3	3
69	их в	3	3
70	на этом	1	3
71	на этой	2	3
72	том что	4	3
73	во время	12	3
74	сих пор	4	3
75	в одном	3	3
76	до сих	4	3
77	к себе	1	3
78	по сравнению	2	3
79	на язык	1	3
80	и она	1	3
81	в том	3	3
82	в большинстве	1	3
83	только на	1	3
84	большинстве случаев	1	3
85	мы знаем	1	3
86	всяком случае	2	3
87	в области	4	3
88	и др	9	3
89	но оно	1	3
90	вместе с	2	3
91	и потому	5	3
92	сравнению с	2	3
93	могут быть	2	3
94	в основном	5	3
95	что в	2	3
96	в этих	4	3
97	а в	4	3
98	то что	6	3
99	только как	1	3
100	жизни и	7	3
101	во всяком	2	3
102	в самом	3	2
103	и этот	1	2
104	мы уже	6	2
105	и о	4	2
106	того же	1	2
107	на них	1	2
108	из этих	5	2
109	за пределы	2	2
110	него только	1	2
111	шутки и	1	2
112	т.е не	1	2
113	в переводе	1	2
114	он не	1	2
115	и по	1	2
116	то же	7	2
117	по своему	1	2
118	связанные с	2	2
119	связанных с	3	2
120	на ранних	1	2
121	на протяжении	7	2
122	было бы	3	2
123	в жизни	4	2
124	кажется что	1	2
125	в них	13	2
126	как и	11	2
127	в своей	5	2
128	почти не	1	2
129	знаем что	1	2
130	рождение и	1	2
131	можем сказать	1	2
132	и вся	1	2
133	не менее	1	2
134	его целом	3	2
135	не нуждается	1	2
136	всей их	1	2
137	чрезвычайно характерно	1	2
138	никогда не	5	2
139	таким путем	1	2
140	сущность его	1	2
141	здесь же	2	2
142	так называемый	1	2
143	не могут	1	2
144	существует только	1	2
145	как не	1	2
146	на основе	2	2
147	только то	2	2
148	в пределах	2	2
149	для этого	1	2
150	и вообще	3	2
151	с ним	4	2
152	не существовало	1	2
153	о том	3	2
154	другими словами	3	2
155	рождения и	1	2
156	для нас	1	2
157	что и	1	2
158	во всей	1	2
159	один из	7	2
160	образов и	3	2
161	мы видим	1	2
162	что он	3	2
163	субъективного сознания	1	2
164	и действительно	1	2
165	поэтому и	1	2
166	всех его	1	2
167	со всеми	2	2
168	есть в	2	2
169	с нею	1	2
170	в итоге	1	2
171	в начале	5	2
172	за счет	2	2
173	и других	3	2
174	к ним	1	2
175	у него	2	2
176	и т.п	11	2
177	оно не	1	2
178	себя и	1	2
179	что не	1	2
180	не на	1	2
181	в развитии	1	2
182	с помощью	1	2
183	в частности	1	2
184	так же	2	2
185	с этой	1	2
186	в свое	4	2
187	с историей	1	2
188	своей жизни	1	2
189	но это	2	2
190	и для	1	2
191	и образы	2	2
192	не существует	1	2
193	сознания и	2	2
194	не есть	1	2
195	все остальные	1	2
196	всех других	2	2
197	есть и	1	2
198	ее в	2	2
199	к этому	1	2
200	говоря о	1	1
201	человека и	3	1
202	мы здесь	2	1
203	и то	1	1
204	он может	1	1
205	это и	2	1
206	что эти	1	1
207	случае нельзя	1	1
208	в году	13	1
209	допускать даже	1	1
210	для достижения	1	1
211	мы имеем	1	1
212	и момент	1	1
213	выходит из	1	1
214	его современников	2	1
215	но исключительно	1	1
216	почти исключительно	1	1
217	я не	1	1
218	как я	1	1
219	биологический и	1	1
220	но даже	2	1
221	конечно и	1	1
222	о роли	1	1
223	всех сторон	1	1
224	в ней	2	1
225	и самого	1	1
226	от серьезности	1	1
227	изжить себя	1	1
228	он был	2	1
229	не был	3	1
230	совершенно определенных	1	1
231	здесь имеем	1	1
232	в материнское	1	1
233	но не	5	1
234	коем случае	1	1
235	с самой	1	1
236	не входит	1	1
237	значение и	1	1
238	менее всего	3	1
239	вступают в	1	1
240	иногда и	1	1
241	что они	2	1
242	в течение	3	1
243	в центре	1	1
244	же с	2	1
245	него существует	1	1
246	дает нам	2	1
247	пути в	1	1
248	все же	7	1
249	однако не	1	1
250	оценок но	1	1
251	хотя и	2	1
252	что по	1	1
253	но несмотря	2	1
254	это просто	1	1
255	всего как	1	1
256	от этого	1	1
257	к чему	1	1
258	та же	2	1
259	точку зрения	2	1
260	в нашем	2	1
261	или во	1	1
262	то я	1	1
263	всего к	1	1
264	было связано	2	1
265	имеем в	2	1
266	на его	2	1
267	главным образом	1	1
268	их а	1	1
269	было с	1	1
270	но именно	3	1
271	врача и	1	1
272	они служат	1	1
273	именно и	1	1
274	образом и	1	1
275	в корне	1	1
276	свое время	3	1
277	из него	1	1
278	подобно тому	2	1
279	мы говорили	1	1
280	существенным моментом	1	1
281	основные черты	1	1
282	как какой-то	1	1
283	в мире	2	1
284	той же	1	1
285	момент и	1	1
286	на все	3	1
287	лишь в	4	1
288	образ не	2	1
289	входит в	1	1
290	мы сказали	2	1
291	для них	2	1
292	были в	2	1
293	в самую	1	1
294	с тем	1	1
295	одна и	1	1
296	несмотря на	3	1
297	уже у	1	1
298	все моменты	1	1
299	действительно не	1	1
300	смысл и	2	1
301	их на	1	1
302	лучше всего	1	1
303	и еще	2	1
