N	2gram	Voloshinov_1	Istorich
1	и в	3	26
2	и на	1	12
3	может быть	1	11
4	не только	1	10
5	и не	1	10
6	но и	1	9
7	не может	4	6
8	то же	1	5
9	в ней	1	5
10	в то	1	5
11	в его	1	5
12	мы видим	1	5
13	из этих	1	4
14	если бы	1	3
15	один из	2	3
16	и больше	1	2
17	к тому	1	2
18	а не	1	2
19	при анализе	1	1
20	так называемая	1	1
21	ни один	1	1
22	он в	1	1
23	точки зрения	1	1
24	на месте	1	1
25	не менее	1	1
26	что изменилось	1	1
27	сравнении с	1	1
28	тех же	1	1
29	тому что	1	1
30	и можно	1	1
31	для него	1	1
32	в особенности	1	1
33	на примере	1	1
34	несмотря на	1	1
35	бы в	1	1
36	может и	1	1
