N	4gram	Vinokur_Ku_2	Stilisti
1	в то же время	3	7
2	не что иное как	1	2
3	в зависимости от того	1	2
4	но для того чтобы	1	2
5	одной и той же	1	2
6	в связи с этим	1	2
7	есть не что иное	1	2
8	если бы нам удалось	1	1
9	же и здесь мы	1	1
10	в таких словах как	1	1
11	иметь в виду что	1	1
12	само по себе не	1	1
13	еще не слова в	1	1
14	можно было бы говорить	1	1
15	и в голову не	1	1
16	все же и здесь	1	1
17	одном и том же	1	1
18	в самом широком смысле	1	1
19	которое не было бы	1	1
20	в одном и том	1	1
21	в самом ли деле	1	1
