N	2gram	Savitsky_E_1	slovoVRo
1	и в	37	41
2	в нем	1	30
3	и т	1	28
4	то есть	6	26
5	могут быть	2	19
6	во всех	6	17
7	не только	18	16
8	и не	14	16
9	точки зрения	23	16
10	но и	14	16
11	а не	2	15
12	то же	15	14
13	и на	6	14
14	в то	16	14
15	и его	1	14
16	в пределах	25	14
17	может быть	6	14
18	не может	9	14
19	слова и	1	13
20	в его	2	13
21	в этом	12	12
22	же время	14	12
23	как бы	6	12
24	так и	10	11
25	язык и	1	10
26	в большинстве	2	10
27	в той	5	10
28	все эти	1	9
29	таким образом	2	9
30	той или	4	9
31	иной степени	1	9
32	или иной	4	9
33	точка зрения	2	8
34	как в	3	8
35	но в	14	8
36	на его	1	8
37	с точки	17	8
38	как мы	5	8
39	или в	2	8
40	может не	1	8
41	прежде всего	9	8
42	все же	1	7
43	в своей	8	7
44	не в	5	7
45	вовсе не	6	7
46	с ним	1	7
47	и следовательно	1	7
48	они могут	1	7
49	во всяком	3	7
50	того же	3	6
51	при этом	1	6
52	в них	3	6
53	в отношении	32	6
54	оно не	1	6
55	только в	9	6
56	большинстве случаев	3	6
57	и даже	6	6
58	по своим	3	6
59	а в	2	6
60	отношении к	15	6
61	и к	3	5
62	в самом	4	5
63	он в	1	5
64	т д	1	5
65	с другими	2	5
66	далеко не	2	5
67	всяком случае	3	5
68	в основе	1	5
69	со своим	1	5
70	не на	4	5
71	к нему	2	5
72	как его	1	5
73	с другой	7	5
74	еще более	2	5
75	на своем	3	5
76	ту же	1	4
77	по преимуществу	2	4
78	поэзии и	1	4
79	в ней	4	4
80	меньшей степени	2	4
81	с его	1	4
82	за пределы	1	4
83	и наконец	2	4
84	входя в	1	4
85	но именно	2	4
86	всех этих	1	4
87	не как	1	4
88	и с	2	4
89	лишь в	1	4
90	входит в	1	4
91	как и	7	4
92	в их	11	4
93	том же	1	4
94	в процессе	4	4
95	и для	3	4
96	с ее	1	4
97	оценок и	1	4
98	большей или	1	4
99	один из	1	4
100	ли он	1	4
101	с одной	8	4
102	рядом с	1	4
103	или меньшей	1	4
104	одной стороны	8	4
105	и все	2	4
106	там где	3	4
107	и потому	5	4
108	мы сказали	1	4
109	и от	3	4
110	в смысле	9	4
111	кроме того	1	4
112	известной степени	3	4
113	быть и	1	4
114	другой стороны	2	4
115	также и	7	3
116	или к	1	3
117	данном случае	2	3
118	в своем	14	3
119	более или	1	3
120	бы и	3	3
121	в себе	9	3
122	вообще не	3	3
123	и сам	1	3
124	как оно	2	3
125	было бы	8	3
126	лишь на	1	3
127	он не	2	3
128	или менее	1	3
129	и ее	1	3
130	которые в	1	3
131	она не	2	3
132	никогда не	3	3
133	в разных	1	3
134	не могут	2	3
135	в других	2	3
