N	3gram	Tiupa_Lite_3	Tragedij
1	то же время	7	5
2	в то же	7	5
3	в отличие от	5	2
4	и в частности	2	2
5	в данном случае	4	2
6	о том что	4	2
7	и в самом	2	2
8	в том что	4	2
9	все же являются	1	1
10	между отцом и	1	1
11	не только по	1	1
12	одно из самых	1	1
13	что он с	1	1
14	хотя бы и	1	1
15	и то что	1	1
16	и т п	1	1
17	одном из своих	1	1
18	это как бы	1	1
19	может быть не	1	1
20	вместе с ними	1	1
21	в этой связи	1	1
22	чем он сам	1	1
23	но при этом	1	1
24	и при этом	1	1
25	тем не менее	1	1
26	в xix веке	1	1
27	в связи с	1	1
28	в жизнь и	1	1
29	не может быть	3	1
30	не за себя	1	1
31	прежде всего отметим	1	1
32	и вместе с	2	1
33	это и есть	1	1
34	еще в году	1	1
35	в одном из	2	1
36	с того что	1	1
37	не только не	1	1
38	в самом деле	2	1
39	всего отметим что	1	1
40	на суде что	1	1
41	к тому что	1	1
42	в какой-то мере	1	1
43	может быть в	1	1
