N	3gram	Propp_Isto_3	SlovoVZh
1	по отношению к	2	11
2	не может быть	1	7
3	можно сказать что	1	5
4	как если бы	1	4
5	в том что	5	4
6	тем не менее	5	3
7	может быть и	1	3
8	этой точки зрения	1	3
9	до сих пор	5	3
10	в такой же	1	2
11	на самом деле	1	2
12	с другой стороны	7	2
13	с точки зрения	1	2
14	но тем не	2	2
15	в данном случае	3	2
16	в жизни и	1	2
17	с одной стороны	2	2
18	но прежде всего	1	1
19	том что в	2	1
20	но все же	2	1
21	имеем дело с	1	1
22	все же не	1	1
23	мы имеем дело	1	1
24	то время как	2	1
25	во всяком случае	2	1
26	так как в	1	1
27	не отражает в	1	1
28	еще не вполне	2	1
29	самом же деле	1	1
30	но если бы	1	1
31	не находят себе	1	1
32	в то время	2	1
33	сих пор не	1	1
34	она находит в	1	1
35	равно как и	1	1
36	сами по себе	1	1
37	таким образом мы	2	1
38	свою связь с	1	1
39	в свою очередь	1	1
40	но и в	1	1
41	в них и	1	1
42	берет на себя	1	1
43	на самом же	1	1
44	о том что	2	1
45	только то что	1	1
46	ничего общего с	1	1
47	с самого начала	1	1
48	и пр здесь	1	1
49	и прежде всего	1	1
50	можно было бы	1	1
51	в пределах этого	1	1
52	подобно тому как	1	1
53	и здесь мы	2	1
54	мы имеем в	2	1
55	случае мы имеем	1	1
56	так же как	1	1
57	она не может	1	1
58	как и в	2	1
59	к тому же	2	1
