N	3gram	Kanaev_Sov_1	Problema
1	по отношению к	1	19
2	не может быть	4	11
3	но отнюдь не	1	7
4	с точки зрения	5	6
5	в отличие от	2	5
6	и прежде всего	1	5
7	в данном случае	1	4
8	в конечном счете	1	4
9	на самом деле	1	3
10	в самом деле	1	3
11	в этом смысле	1	3
12	бы то ни	1	3
13	можно было бы	1	3
14	может быть только	1	3
15	с одной стороны	1	3
16	то же время	1	3
17	должны ли мы	1	3
18	в том что	1	3
19	в то же	1	3
20	тем не менее	2	3
21	то же самое	2	2
22	совершенно независимо от	1	2
23	и во всех	1	2
24	и не может	1	2
25	лишь там где	1	2
26	и в то	1	2
27	то ни было	1	2
28	не могут быть	1	2
29	могут быть поняты	1	2
30	той или иной	1	2
31	именно в том	1	1
32	и может быть	1	1
33	что иное как	1	1
34	мы в дальнейшем	1	1
35	в дальнейшем и	1	1
36	не дает нам	1	1
37	в свою очередь	2	1
38	в настоящее время	2	1
39	одной стороны и	1	1
40	до сих пор	1	1
41	сами по себе	1	1
42	может иметь место	1	1
43	и именно в	1	1
44	не было бы	1	1
45	по аналогии с	1	1
46	поняты с точки	1	1
47	но никогда не	1	1
48	может быть и	2	1
49	что дело идет	1	1
50	не может но	1	1
51	со всеми его	1	1
52	не что иное	1	1
53	никакому сомнению что	1	1
54	быть поняты с	1	1
55	ни в один	1	1
56	точки зрения с	1	1
57	как мы это	1	1
58	и в этом	1	1
59	и ничего не	1	1
60	не в том	1	1
61	в связи с	1	1
62	в этом направлении	1	1
63	в том как	1	1
64	в свое время	1	1
65	есть не что	1	1
66	принципиально не может	1	1
67	раз и навсегда	1	1
68	равно как и	1	1
69	существенно отличается от	1	1
70	дело идет о	1	1
71	оно может быть	1	1
72	не более как	1	1
73	а о значении	1	1
74	это как бы	1	1
75	который как бы	1	1
76	мы можем назвать	2	1
77	она не может	1	1
78	не является исключением	1	1
79	на этот вопрос	1	1
80	ничто не может	1	1
81	дело в том	1	1
82	и наконец все	1	1
83	что все они	1	1
84	готовом виде и	1	1
