N	2gram	Savitsky_P_1	SlovoVZh
1	не может	4	16
2	может быть	5	14
3	точки зрения	3	14
4	как бы	4	13
5	и в	14	12
6	и не	12	10
7	если бы	4	9
8	прежде всего	3	8
9	для нас	2	7
10	в ней	6	6
11	в том	9	6
12	только в	7	6
13	в нем	3	6
14	должна быть	1	5
15	то же	9	5
16	отнюдь не	2	5
17	но в	9	5
18	в жизни	2	5
19	а не	2	5
20	как и	1	5
21	что мы	3	5
22	том что	4	5
23	к предмету	1	5
24	никогда не	1	5
25	хотя бы	8	5
26	то что	4	5
27	мы все	1	4
28	литературы и	1	4
29	в этом	10	4
30	все же	1	4
31	в самом	1	4
32	не только	17	4
33	с другой	5	4
34	что не	1	4
35	не в	5	4
36	его в	1	4
37	и к	4	4
38	и на	1	4
39	в котором	4	3
40	в пределах	8	3
41	ясно что	1	3
42	еще не	1	3
43	мы не	3	3
44	но и	6	3
45	между тем	3	3
46	того что	2	3
47	и ее	1	3
48	только на	1	3
49	в себе	3	3
50	да и	2	3
51	в творчестве	1	3
52	не к	2	3
53	и по	1	3
54	и с	2	3
55	точек зрения	2	3
56	и пр	5	3
57	в них	2	3
58	и уже	1	3
59	так же	1	3
60	как к	1	3
61	и более	1	3
62	по себе	4	3
63	с окружающей	1	3
64	не менее	2	3
65	все это	2	3
66	но для	1	3
67	бы мы	1	3
68	сколько бы	2	3
69	отношении к	5	3
70	в каком	1	3
71	от этой	1	2
72	и то	1	2
73	в себя	1	2
74	те же	1	2
75	по природе	1	2
76	почти исключительно	1	2
77	и здесь	1	2
78	настоящее время	1	2
79	с его	1	2
80	и что	1	2
81	в данном	1	2
82	в его	2	2
83	что и	1	2
84	подчеркнуть что	1	2
85	поскольку они	1	2
86	в своем	4	2
87	в формах	1	2
88	в какой	1	2
89	и потому	4	2
90	в настоящее	1	2
91	с одной	3	2
92	уже в	1	2
93	в душе	1	2
94	к ним	1	2
95	мы можем	1	2
96	одно и	1	2
97	это не	3	2
98	одной стороны	3	2
99	соприкасается с	1	2
100	другой стороны	1	2
101	там где	1	2
102	в момент	1	2
103	нет ничего	1	2
104	ни на	1	2
105	вместе с	1	2
106	в отношении	10	2
107	но не	3	2
108	место в	1	2
109	она не	1	2
110	с точки	3	2
111	в условиях	1	2
112	в основном	1	2
