N	3gram	Nazirov_Tr_1	formyVre
1	то же время	5	9
2	и т п	1	8
3	в то же	5	6
4	в связи с	1	5
5	прежде всего необходимо	1	3
6	романа прежде всего	1	3
7	не может быть	1	3
8	между этими двумя	2	3
9	но все же	2	2
10	в этом мире	1	2
11	понятно что в	1	2
12	и до конца	1	2
13	в отличие от	2	2
14	что в таком	1	2
15	и в частности	2	2
16	по сравнению с	1	2
17	по природе своей	1	2
18	с самого начала	1	2
19	всего необходимо отметить	1	2
20	в этом романе	1	2
21	в том что	2	2
22	как и в	1	2
23	во всех видах	1	1
24	в романе играет	1	1
25	в самом деле	1	1
26	связан и с	1	1
27	же время он	1	1
28	в той же	1	1
29	и в дальнейшем	2	1
30	с тем и	1	1
31	у него нет	1	1
32	вместе с ними	1	1
33	это очень важно	2	1
34	в данном случае	2	1
35	этим объясняется и	1	1
36	но в то	2	1
37	смысле этого слова	1	1
38	романа и в	1	1
39	полностью сохраняет свое	1	1
40	так и в	3	1
41	и в этом	1	1
42	не могут быть	1	1
43	и как бы	2	1
44	и в быту	1	1
45	из родного дома	1	1
46	во всяком случае	1	1
47	бросается в глаза	2	1
48	и все же	1	1
49	в этом случае	1	1
50	о том что	2	1
51	но и на	1	1
52	и в самом	2	1
53	как своего рода	1	1
54	роль в романе	1	1
55	в высшей степени	1	1
