N	2gram	Berdyaev_M_2	Dialekti
1	т е	4	46
2	не есть	13	40
3	и не	18	30
4	это –	22	25
5	и есть	8	19
6	а не	13	18
7	ничего не	2	17
8	может быть	21	17
9	то что	5	16
10	стало быть	1	15
11	и в	46	15
12	– в	2	15
13	как бы	8	14
14	точки зрения	2	14
15	не имеет	4	14
16	так как	8	14
17	что это	6	13
18	по себе	2	13
19	это есть	2	13
20	того что	6	13
21	это не	5	12
22	в этом	20	11
23	и вот	5	11
24	говорить о	1	11
25	в том	3	11
26	прежде всего	12	11
27	не может	15	11
28	и все	5	11
29	том что	4	10
30	в основе	2	10
31	потому что	12	10
32	личности и	2	10
33	она есть	2	10
34	это и	3	9
35	то же	5	9
36	мы не	1	9
37	было бы	1	9
38	с точки	1	9
39	и что	2	9
40	есть ни	1	9
41	уже не	4	9
42	все это	1	9
43	что иное	3	8
44	в чем	3	8
45	не в	9	8
46	в себе	10	8
47	не только	18	8
48	ни в	3	8
49	и это	5	8
50	и ее	1	8
51	иное как	3	8
52	не что	3	8
53	должна быть	1	7
54	он есть	1	7
55	как и	13	7
56	и его	5	7
57	только в	3	7
58	что он	7	7
59	что в	4	7
60	хотя и	2	6
61	и тем	1	6
62	если бы	3	6
63	что и	4	6
64	так что	2	6
65	нет ничего	3	6
66	сказать что	3	6
67	ни на	1	6
68	в сфере	2	5
69	той же	3	5
70	в сущности	2	5
71	и на	3	5
72	быть в	1	5
73	с его	4	5
74	только тогда	1	5
75	сама по	1	5
76	в своем	8	5
77	то в	2	5
78	на то	1	5
79	что она	5	5
80	в нем	22	5
81	в вечности	1	5
82	есть не	5	5
83	в жизни	4	5
84	что такое	1	5
85	в ней	11	5
86	но что	1	5
87	того чтобы	4	5
88	тогда когда	2	5
89	я не	5	5
90	о том	3	5
91	так и	4	5
92	личности на	1	5
93	и можно	3	5
94	и чисто	1	5
95	для того	5	5
96	личности в	2	5
97	– не	3	5
98	в меру	1	5
99	– это	2	5
100	и для	7	5
101	но если	1	5
102	есть то	1	5
103	также и	4	4
104	есть религия	4	4
105	хотя бы	7	4
106	что они	3	4
107	в этой	7	4
108	и как	1	4
109	к религии	1	4
110	бы только	1	4
111	идеи и	3	4
112	подобно тому	2	4
113	и с	3	4
114	с тем	1	4
115	и уже	1	4
116	бытия и	1	4
117	мир и	2	4
118	она не	8	4
119	она хочет	1	4
120	той или	1	4
121	что все	5	4
122	– и	1	4
123	она всегда	1	4
124	в его	5	4
125	мы должны	1	4
126	мы видим	2	4
127	есть в	3	4
128	не о	2	4
129	и отношение	1	4
130	так же	6	4
131	тому как	2	4
132	но это	8	4
133	один из	5	4
134	лишь как	3	4
135	бы в	2	4
136	жизни и	6	4
137	но и	15	4
138	должны быть	4	4
139	отношения к	2	3
140	и то	1	3
141	только потому	1	3
142	что если	1	3
143	личности с	1	3
144	же что	2	3
145	как в	7	3
146	с этим	1	3
147	и нет	3	3
148	когда он	1	3
149	но в	10	3
150	от этого	2	3
151	идея и	3	3
152	та же	10	3
153	бы и	5	3
154	все эти	1	3
155	и если	2	3
156	одной и	2	3
157	на этом	2	3
158	об этом	1	3
159	– то	2	3
160	не всегда	2	3
161	в своей	5	3
162	она в	1	3
163	и той	2	3
164	есть всегда	1	3
165	иной раз	1	3
166	есть прежде	5	3
167	свободы и	4	3
168	та или	1	3
169	нет ни	2	3
170	лежит в	1	3
171	думает что	1	3
172	и религии	1	3
173	сознания и	2	3
174	в словах	1	3
175	вот почему	2	3
176	и та	2	3
177	и об	1	3
178	быть и	2	3
179	тотчас же	1	3
180	уже нет	1	3
181	это будет	1	3
182	за пределы	1	3
183	в природе	1	3
184	себя и	3	3
185	что не	2	3
186	у нас	11	3
187	и потому	7	3
188	личности как	1	3
189	же есть	3	3
190	– все	2	3
191	с ним	3	3
192	в свою	4	3
193	есть и	3	3
194	к этому	1	3
195	одних и	1	2
196	нем нет	2	2
197	человека и	7	2
198	и без	1	2
199	ведь и	1	2
200	тут в	2	2
201	и абсолютное	1	2
202	вопрос о	6	2
203	науки и	2	2
204	бы ни	1	2
205	сам по	2	2
206	во всех	2	2
207	бы не	2	2
208	есть по	2	2
209	себе и	2	2
210	нет и	1	2
211	личности а	1	2
212	в самом	5	2
213	в которой	2	2
214	ни один	1	2
215	думать что	4	2
216	тут не	2	2
217	с этой	1	2
218	но все	1	2
219	не будет	3	2
220	в глубине	3	2
221	на все	3	2
222	лишь в	2	2
223	есть также	2	2
224	в них	3	2
225	все равно	3	2
226	должно быть	2	2
227	в котором	1	2
228	по сравнению	1	2
229	если есть	3	2
230	что было	3	2
231	есть еще	2	2
232	не могли	1	2
233	что есть	2	2
234	в отношении	5	2
235	но они	1	2
236	как о	1	2
237	того как	3	2
238	и именно	1	2
239	– идея	2	2
240	никогда не	18	2
241	всякой иной	1	2
242	или иная	1	2
243	она должна	1	2
244	во всем	5	2
245	как не	1	2
246	не по	1	2
247	как будто	2	2
248	что на	1	2
249	не могут	1	2
250	по характеру	1	2
251	всегда есть	2	2
252	можно и	1	2
253	и тогда	3	2
254	в ее	1	2
255	вещи и	1	2
256	мог бы	1	2
257	жизнь и	4	2
258	на что	1	2
259	для этого	4	2
260	в разных	2	2
261	находится в	1	2
262	никогда и	1	2
263	и возможно	2	2
264	ее в	2	2
265	и во	3	2
266	есть диалектика	1	2
267	– вот	2	2
268	и только	1	2
269	интеллигенции и	1	2
270	себя в	4	2
271	же и	2	2
272	есть своя	1	2
273	не дает	1	2
274	был бы	1	2
275	никто не	1	2
276	тем что	3	2
277	в совершенстве	1	2
278	от того	3	2
279	не было	11	2
280	что человек	2	2
281	же о	1	2
282	идеи в	1	2
283	е в	2	2
284	– значит	1	2
285	вместе с	2	2
286	что личность	2	2
287	в человеке	2	2
288	к своему	2	2
289	сравнению с	1	2
290	что же	2	2
291	да и	2	2
292	мы еще	2	2
293	для личности	1	2
294	под собой	1	2
295	но для	2	2
296	не мог	3	2
297	за его	1	2
298	и часто	1	2
299	что кроме	1	2
300	тот кто	5	2
301	у достоевского	34	2
302	только что	1	2
303	отношении к	3	2
304	это все	2	2
305	оно не	2	2
306	в свое	1	2
307	сила и	1	2
308	видим в	1	2
309	которая не	1	2
310	все что	4	2
311	а между	1	1
312	смысле слова	3	1
313	– может	1	1
314	бесконечную даль	1	1
315	же как	3	1
316	же человек	1	1
317	чтобы не	3	1
318	на самом	1	1
319	он может	1	1
320	с идеей	1	1
321	к другому	3	1
322	все те	1	1
323	когда это	1	1
324	его не	2	1
325	их и	1	1
326	идеей и	2	1
327	будто что-то	1	1
328	от всякой	1	1
329	только это	2	1
330	но она	2	1
331	что существует	1	1
332	жизни это	4	1
333	и он	11	1
334	с личностью	2	1
335	и этого	1	1
336	в религии	1	1
337	может не	1	1
338	на них	1	1
339	он сам	6	1
340	и нигде	1	1
341	или во	1	1
342	все будет	1	1
343	на высоте	1	1
344	и религия	3	1
345	не то	1	1
346	и все-таки	1	1
347	и всякий	1	1
348	к богу	2	1
349	значение и	1	1
350	с отцом	1	1
351	в новом	1	1
352	отношение к	8	1
353	иначе не	1	1
354	друга и	1	1
355	искупление и	1	1
356	его я	1	1
357	под этой	1	1
358	как к	2	1
359	что нет	3	1
360	целый ряд	1	1
361	тот же	2	1
362	истины и	1	1
363	говорят о	1	1
364	жизни эта	1	1
365	как то	2	1
366	в нашем	7	1
367	в час	1	1
368	достоевского в	2	1
369	о других	1	1
370	и тот	2	1
371	ничего и	1	1
372	роль в	1	1
373	только один	1	1
374	если он	2	1
375	дальше и	2	1
376	пусть это	1	1
377	может уже	2	1
378	как он	3	1
379	образ его	1	1
380	он падает	1	1
381	к миру	1	1
382	она становится	1	1
383	человек не	7	1
384	он не	10	1
385	эта формула	1	1
386	из сферы	1	1
387	этого вопроса	2	1
388	что нужно	1	1
389	– на	1	1
390	все идет	1	1
391	человек –	6	1
392	и более	1	1
393	людей и	3	1
394	в нее	1	1
395	не бывает	3	1
396	идеи о	1	1
397	же не	1	1
398	в тисках	1	1
399	если нет	8	1
400	они должны	1	1
401	сознание и	1	1
402	его в	3	1
403	входит в	1	1
404	которая ничего	1	1
405	отца и	1	1
406	не встречает	1	1
407	диалектику и	1	1
408	что совершенно	1	1
409	окончательное и	1	1
410	всю жизнь	3	1
411	личность может	1	1
412	первые два	1	1
413	одна и	3	1
414	есть явление	2	1
415	для чего	3	1
416	тысячу лет	1	1
417	ведет к	13	1
418	потому и	1	1
419	же я	1	1
420	и становится	1	1
421	но я	1	1
422	бы на	1	1
423	соприкосновение с	1	1
424	можно найти	1	1
425	этого необходимо	3	1
426	как все	1	1
427	– чисто	1	1
428	он должен	1	1
429	в которые	2	1
430	в который	2	1
431	место в	2	1
432	себе а	1	1
433	в которых	1	1
434	нашли в	1	1
435	не от	2	1
436	и жалки	1	1
437	которые в	2	1
438	но он	11	1
439	их в	1	1
440	свобода и	2	1
441	жизни а	2	1
442	и формах	1	1
443	бытие есть	1	1
444	личность в	1	1
445	в землю	1	1
446	сам он	2	1
447	же такое	1	1
448	и потом	1	1
449	одна сторона	1	1
450	существует для	1	1
451	душе и	1	1
452	на самый	1	1
453	можно ли	3	1
454	во всякой	1	1
455	следовательно и	1	1
456	и всегда	3	1
457	но надо	1	1
458	исчезла бы	1	1
459	и весь	1	1
460	или как	1	1
461	природы в	2	1
462	и вечность	1	1
463	всех своих	1	1
464	один путь	1	1
465	это так	1	1
