N	3gram	Losev_Dial_3	EvropaiC
1	в том что	3	16
2	до сих пор	1	12
3	с точки зрения	14	8
4	на самом деле	1	7
5	более или менее	1	7
6	на то что	3	7
7	в самом деле	5	5
8	то ясно что	3	4
9	к тому же	2	4
10	с другой стороны	2	4
11	не может быть	6	4
12	о том что	5	4
13	тот факт что	1	4
14	тем не менее	10	4
15	так же как	2	3
16	в данном случае	1	3
17	так или иначе	2	3
18	в связи с	1	3
19	но так как	1	2
20	они должны быть	1	2
21	как и все	2	2
22	в таком же	1	2
23	бы то ни	1	2
24	он не может	2	2
25	то же время	1	2
26	то ни было	1	2
27	с одной стороны	3	2
28	во всяком случае	2	2
29	как и в	3	2
30	не более как	1	2
31	том что все	1	2
32	в то же	1	2
33	в вопросе о	2	2
34	и в том	1	2
35	а следовательно и	1	1
36	есть не более	1	1
37	в чистом виде	1	1
38	хотя и не	2	1
39	в других областях	1	1
40	и то же	2	1
41	иметь в виду	2	1
42	то время как	4	1
43	это было бы	2	1
44	мы уже сказали	1	1
45	не говоря уже	2	1
46	отнюдь не тем	1	1
47	так что в	1	1
48	он есть всегда	2	1
49	то же самое	1	1
50	не отличается от	4	1
51	и не может	1	1
52	в лучшем случае	1	1
53	говоря уже о	2	1
54	в зависимости от	2	1
55	друг на друга	1	1
56	в основе их	1	1
57	лишь тогда когда	1	1
58	из того что	2	1
59	наконец и сама	1	1
60	одна на другую	1	1
61	точно так же	2	1
62	в одинаковой мере	2	1
63	по крайней мере	5	1
64	так что и	1	1
65	одно и то	2	1
66	так как все	2	1
67	мы можем увидеть	1	1
68	не забудем что	1	1
69	так и к	1	1
70	уже о том	1	1
71	это может быть	1	1
72	самое что и	1	1
73	каждый из них	1	1
74	вот тут-то и	1	1
75	и с этой	2	1
76	не в том	1	1
77	не тем что	1	1
78	исходит из того	1	1
79	не может мыслить	1	1
80	так и от	1	1
81	и все прочие	1	1
82	во всем этом	1	1
83	что у него	1	1
84	и так как	1	1
85	я не могу	1	1
86	это есть не	1	1
87	и той же	1	1
88	из отдельных частей	1	1
89	иной чем у	1	1
90	а так как	1	1
91	и таким образом	1	1
92	если она не	1	1
93	не есть нечто	3	1
94	самом деле есть	1	1
95	но и помимо	1	1
96	на наших глазах	1	1
97	в то время	4	1
98	на точку зрения	1	1
99	и все это	1	1
100	мы и не	1	1
101	не только не	7	1
102	мало того что	1	1
103	своих частей и	1	1
104	что это есть	2	1
105	не менее в	1	1
106	уже сказали что	1	1
107	это есть продукт	1	1
108	говорят что это	1	1
109	к тому что	2	1
110	одной и той	1	1
111	самом деле если	1	1
112	по существу совершенно	1	1
113	только тогда когда	3	1
114	тот или иной	2	1
