N	3gram	Berdyaev_M_1	Komedia
1	в том что	1	9
2	и т п	1	5
3	в то время	2	5
4	то время как	2	4
5	в конце концов	2	4
6	по отношению к	2	3
7	о том что	1	3
8	но и в	4	2
9	до сих пор	2	2
10	во всяком случае	1	2
11	на протяжении всего	1	2
12	между людьми и	1	1
13	он был очень	1	1
14	что иное как	1	1
15	одной из сторон	1	1
16	точки зрения у	1	1
17	ставит нас перед	1	1
18	в зависимости от	1	1
19	вместе с тем	5	1
20	как будто бы	2	1
21	у него не	1	1
22	можно было бы	1	1
23	и еще в	1	1
24	еще в одном	1	1
25	и у других	1	1
26	и у него	1	1
27	и в конце	2	1
28	в значительной степени	1	1
29	не только в	2	1
30	в высшей степени	2	1
31	в отличие от	1	1
32	дело доходит до	1	1
33	любовь к человеку	1	1
34	и в том	1	1
35	бросается в глаза	1	1
36	не мог бы	1	1
37	из самых замечательных	1	1
38	что он не	2	1
39	но он не	2	1
40	до конца и	1	1
41	в нескольких статьях	1	1
42	не что иное	1	1
43	был одним из	1	1
44	в отношении к	1	1
45	свое завершение в	1	1
46	для того чтобы	2	1
