N	2gram	Kanaev_Sov_1	FransuaR
1	и в	7	41
2	и т.п	1	19
3	мы уже	1	18
4	во всех	1	17
5	таким образом	11	17
6	в нем	3	16
7	и его	1	13
8	в этом	7	12
9	как мы	2	12
10	все эти	5	11
11	все это	3	11
12	в самом	2	10
13	не только	4	10
14	так как	4	10
15	прежде всего	5	10
16	кроме того	1	9
17	о том	1	9
18	здесь в	1	9
19	и все	3	9
20	здесь и	1	8
21	но в	3	8
22	в этой	3	8
23	никогда не	1	8
24	и до	1	7
25	как и	6	7
26	том что	1	7
27	в его	2	7
28	вовсе не	1	7
29	у него	2	7
30	на части	1	7
31	как бы	4	7
32	что в	2	7
33	в то	1	6
34	один из	1	6
35	мы видим	2	6
36	с помощью	4	6
37	вместе с	4	6
38	или в	1	6
39	сказать что	1	6
40	подчеркнуть что	1	5
41	с его	1	5
42	в своем	1	5
43	что это	2	5
44	в себе	3	5
45	то же	3	5
46	той же	2	5
47	рядом с	1	5
48	еще в	1	5
49	и что	2	5
50	же время	1	5
51	из них	4	5
52	в одном	3	5
53	там где	1	5
54	так же	1	5
55	рот и	2	5
56	того же	1	4
57	самом деле	2	4
58	в ней	1	4
59	и наконец	5	4
60	та же	1	4
61	а затем	1	4
62	в другом	1	4
63	не в	3	4
64	но они	1	4
65	все же	3	4
66	у нас	3	4
67	роль в	2	4
68	и вообще	1	4
69	с ним	1	4
70	все время	1	4
71	тот же	2	4
72	с одной	2	4
73	уже в	3	4
74	в большинстве	1	4
75	в результате	6	4
76	и даже	2	4
77	с другой	1	4
78	именно в	1	4
79	одной стороны	1	4
80	и от	1	4
81	а в	4	4
82	не может	17	4
83	все что	1	4
84	он сам	1	3
85	как у	1	3
86	мы будем	1	3
87	с этим	2	3
88	в первом	3	3
89	при этом	3	3
90	было бы	3	3
91	весь мир	1	3
92	и их	1	3
93	в духе	1	3
94	те же	1	3
95	до сих	1	3
96	к нему	1	3
97	во втором	1	3
98	одной из	1	3
99	только в	1	3
100	конечно не	1	3
101	в начале	1	3
102	и особенно	1	3
103	в данном	1	3
104	и не	6	3
105	сих пор	1	3
106	но это	1	3
107	и для	1	3
108	в третьем	2	3
109	между ними	1	3
110	жизни и	4	3
111	они не	1	3
112	как известно	2	2
113	это и	1	2
114	с точки	5	2
115	мы не	9	2
116	не будем	2	2
117	говорить о	2	2
118	но уже	1	2
119	природы и	1	2
120	но конечно	1	2
121	но не	1	2
122	то он	1	2
123	точки зрения	12	2
124	дает нам	2	2
125	стороны и	1	2
126	хотя и	1	2
127	он в	3	2
128	и тот	1	2
129	и те	1	2
130	помощью которых	2	2
131	как он	3	2
132	так сказать	2	2
133	на его	2	2
134	он не	1	2
135	в корне	1	2
136	на этом	2	2
137	что все	2	2
138	значение в	2	2
139	и само	1	2
140	мы видели	4	2
141	в развитии	4	2
142	из этих	2	2
143	но если	1	2
144	представление о	1	2
145	но эта	1	2
146	их в	4	2
147	связи с	1	2
148	это уже	1	2
149	не могут	2	2
150	в области	3	2
151	предыдущей главе	1	2
152	должен быть	1	2
153	через все	1	2
154	данном случае	1	2
155	в дальнейшем	4	2
156	всех трех	1	2
157	конечно в	2	2
158	времени и	2	2
159	что дело	1	2
160	и во	2	2
161	на которой	1	2
162	со всеми	2	2
163	всего мы	1	2
164	да еще	1	2
165	всеми его	1	2
166	себе в	1	2
167	ведь это	3	2
168	и прежде	1	2
169	в конце	3	2
170	как его	1	2
171	может быть	12	2
172	человека и	1	2
173	а на	2	2
174	если мы	4	2
175	нужно сказать	1	2
176	а не	3	2
177	громадную роль	1	2
178	и потому	3	2
179	в предыдущей	1	2
180	несколько слов	1	2
181	для нас	3	2
182	в эту	1	2
183	еще более	2	2
184	для его	2	2
185	в том	4	2
186	все они	1	2
187	и у	1	2
188	состоит из	3	2
189	отметить что	1	2
190	из четырех	2	2
191	жизнь человека	1	1
192	потом и	1	1
193	с жизнью	1	1
194	наших дней	1	1
195	ли оно	2	1
196	роль играет	1	1
197	на самом	1	1
198	он может	3	1
199	тем же	2	1
200	между двумя	1	1
201	он уже	1	1
202	в зависимости	4	1
203	для своего	1	1
204	это совершенно	1	1
205	что уже	1	1
206	жизни как	1	1
207	зависимости от	4	1
208	еще не	3	1
209	на них	1	1
210	между собой	3	1
211	на их	2	1
212	что его	1	1
213	его здесь	1	1
214	живых существ	1	1
215	видели что	3	1
216	какая-нибудь одна	1	1
217	и внутренний	1	1
218	по отношению	1	1
219	нет и	4	1
220	и речи	1	1
221	один и	1	1
222	мы снова	1	1
223	чем же	1	1
224	и нет	1	1
225	и к	3	1
226	в действительности	1	1
227	следующим образом	3	1
228	в этот	1	1
229	более недопустимо	1	1
230	в которой	2	1
231	точку зрения	4	1
232	в целом	4	1
233	в нашем	2	1
234	нас на	1	1
235	этот процесс	1	1
236	и если	1	1
237	в первых	1	1
238	по самому	1	1
239	что сказать	1	1
240	три четверти	1	1
241	он должен	2	1
242	никакому сомнению	1	1
243	необходимо для	1	1
244	через несколько	1	1
245	прошлого века	1	1
246	и по	2	1
247	т.е от	1	1
248	но все	2	1
249	это конечно	1	1
250	чем при	1	1
251	в каждом	8	1
252	их и	1	1
253	его в	1	1
254	обоих случаях	1	1
255	форму и	1	1
256	должен был	1	1
257	ведь в	1	1
258	здесь нет	1	1
259	но затем	1	1
