N	2gram	Vinokur_Vv_1	FransuaR
1	и в	27	40
2	и его	5	17
3	прежде всего	8	16
4	в этом	34	15
5	мы уже	1	13
6	не только	21	13
7	в его	10	13
8	и не	13	13
9	вовсе не	6	12
10	что в	11	12
11	как и	5	11
12	но и	5	11
13	таким образом	19	10
14	как мы	9	10
15	и т.п	1	10
16	в сущности	3	9
17	в них	4	9
18	может быть	24	9
19	и все	1	9
20	и до	2	8
21	той же	4	8
22	и на	3	8
23	отношение к	3	8
24	все эти	3	8
25	и с	2	8
26	во время	1	8
27	в эпоху	1	8
28	в том	31	8
29	у него	1	8
30	но в	10	8
31	то же	8	7
32	в своем	3	7
33	культуры и	1	7
34	он и	2	7
35	в виду	4	7
36	до нас	3	7
37	в одном	4	7
38	и др	2	7
39	в духе	1	7
40	этот образ	1	7
41	во всех	2	6
42	в самом	12	6
43	в этих	3	6
44	в то	5	6
45	же время	5	6
46	связи с	3	6
47	и других	3	6
48	до конца	3	6
49	в той	7	6
50	в своей	4	6
51	к этому	3	6
52	в нем	13	5
53	так сказать	1	5
54	и для	4	5
55	в особенности	4	5
56	в литературе	1	5
57	мы видим	1	5
58	для него	1	5
59	то что	17	5
60	не было	1	5
61	а не	3	5
62	в связи	2	5
63	как раз	4	5
64	в своих	2	5
65	смысле слова	7	4
66	также и	16	4
67	жизни и	2	4
68	в ней	3	4
69	в истории	9	4
70	было бы	5	4
71	том что	26	4
72	в эту	1	4
73	в их	11	4
74	того чтобы	21	4
75	в области	4	4
76	у нас	2	4
77	о том	15	4
78	и о	1	4
79	а также	3	4
80	один из	6	4
81	только на	3	4
82	из них	3	4
83	так как	13	4
84	и даже	5	4
85	до сих	5	4
86	здесь в	1	4
87	не видит	1	4
88	в данном	11	4
89	сих пор	5	4
90	все это	6	4
91	в культуре	1	4
92	еще более	1	4
93	самом деле	6	3
94	на самом	1	3
95	и есть	3	3
96	он был	1	3
97	по отношению	4	3
98	отличие от	3	3
99	в этой	3	3
100	кроме того	1	3
101	и как	9	3
102	и к	1	3
103	в себе	4	3
104	но ведь	4	3
105	в свет	1	3
106	при этом	3	3
107	большей или	2	3
108	заявляет что	2	3
109	но дело	3	3
110	об этом	5	3
