N	3gram	Savitsky_E_1	StatiiOP
1	и т д	1	21
2	в том что	6	17
3	для того чтобы	5	10
4	с точки зрения	16	8
5	можно было бы	3	8
6	в этом отношении	3	7
7	в данном случае	2	6
8	с другой стороны	2	6
9	во всяком случае	3	6
10	не может быть	2	5
11	дело в том	1	4
12	то же время	14	4
13	не только в	4	4
14	но также и	1	4
15	так и в	2	4
16	того или иного	4	4
17	на то что	2	4
18	в то же	15	4
19	сказать что в	2	3
20	что же касается	1	3
21	только в том	2	3
22	то или иное	1	3
23	в применении к	3	3
24	так же как	5	3
25	и в этом	4	3
26	что в области	1	3
27	заключается в том	2	3
28	и только в	2	3
29	в том числе	1	2
30	во многих случаях	1	2
31	каждого из них	1	2
32	хотя бы и	3	2
33	но и в	1	2
34	том числе и	1	2
35	может быть и	1	2
36	к сожалению не	1	2
37	но в то	2	2
38	с одной стороны	8	2
39	в то время	1	2
40	чуть ли не	1	2
41	а также и	1	2
42	то что в	2	2
43	вовсе не в	1	2
44	на этот раз	1	2
45	речь идет о	1	2
46	в том смысле	1	2
47	в каком же	1	1
48	в той области	1	1
49	не может не	1	1
50	смысле что оно	1	1
51	в одном из	2	1
52	в той или	3	1
53	той или иной	4	1
54	не говоря уже	2	1
55	также и в	1	1
56	в этом смысле	3	1
57	и та и	1	1
58	в соответствии с	1	1
59	в том же	1	1
60	же как и	3	1
61	в одной из	1	1
62	в лучшем случае	1	1
63	говоря уже о	1	1
64	это можно утверждать	1	1
65	бы то ни	4	1
66	же время не	1	1
67	как будто к	1	1
68	случае она не	1	1
69	не быть в	1	1
70	с другой и	1	1
71	на этот вопрос	1	1
72	и всякая иная	1	1
73	было бы совершенно	1	1
74	в том случае	1	1
75	и в этих	1	1
76	самое простое и	1	1
77	ту или иную	3	1
78	это может быть	1	1
79	то время как	1	1
80	представление о том	1	1
81	плоть от плоти	1	1
82	и в то	8	1
83	говорить о том	1	1
84	и в отношении	1	1
85	и не было	1	1
86	во всех этих	1	1
87	что в таком	1	1
88	но как бы	1	1
89	уже и сейчас	1	1
90	и далее в	1	1
91	одной стороны в	1	1
92	могут быть установлены	1	1
93	и не имеет	2	1
94	и притом в	2	1
95	во всех случаях	3	1
96	том смысле что	1	1
97	смысле этого слова	1	1
98	хотя бы в	2	1
99	как бы ни	3	1
100	в ошибках и	1	1
101	т е не	1	1
102	друг от друга	2	1
103	та и другая	1	1
104	xviii и xix	2	1
105	к тому что	1	1
106	при прочих равных	1	1
107	во многих отношениях	1	1
108	и не в	1	1
109	отметить что в	1	1
110	как и всякая	1	1
