N	3gram	Bakhtin_KF_1	Hudozhes
1	в том что	2	11
2	по отношению к	22	7
3	то же время	2	4
4	в то же	2	4
5	к тому что	1	4
6	не может быть	11	3
7	в конечном счете	1	3
8	для того чтобы	1	3
9	тем не менее	2	3
10	в соответствии с	2	3
11	а не в	2	2
12	и в этом	3	2
13	с точки зрения	9	2
14	рядом с собой	1	2
15	только в том	1	2
16	и в то	1	2
17	хотя бы и	1	2
18	в ее жизни	1	2
19	же самое что	1	2
20	то же самое	1	2
21	того или иного	3	2
22	это уже не	1	1
23	на том что	1	1
24	такова же и	1	1
25	нет и не	1	1
26	то что я	2	1
27	себя в другом	1	1
28	той или иной	2	1
29	дело в том	1	1
30	в котором он	3	1
31	в настоящее время	1	1
32	мы ничего не	1	1
33	сама нуждается в	1	1
34	и все же	1	1
35	смысл в себе	1	1
36	и рядом с	1	1
37	в том случае	1	1
38	бы то ни	2	1
39	между тем как	3	1
40	и его но	1	1
41	то или иное	2	1
42	и просто с	1	1
43	и то что	1	1
44	именно в ее	1	1
45	в значительной степени	1	1
46	найти себя в	1	1
47	в противоречие с	1	1
48	для себя а	1	1
49	бытия только через	1	1
50	жизни и смерти	1	1
51	а не как	1	1
52	в жизни в	1	1
53	всю свою жизнь	1	1
54	дело здесь не	2	1
55	за собой и	1	1
56	к той же	1	1
57	как одно из	1	1
58	я не могу	1	1
59	на этом пути	1	1
60	бы не было	1	1
61	но не по	1	1
62	она могла бы	2	1
63	в первом случае	1	1
64	но сама она	1	1
65	это отнюдь не	1	1
66	не было ни	1	1
67	лежит в основе	1	1
68	если бы не	1	1
69	если бы оно	1	1
70	здесь не в	1	1
71	что и в	1	1
72	не вступает в	1	1
