N	3gram	Potebnia_M_2	Mirosoze
1	не может быть	2	8
2	есть прежде всего	2	5
3	друг к другу	1	5
4	для того чтобы	2	4
5	что и в	1	4
6	до сих пор	4	3
7	от того что	4	3
8	и в этом	1	3
9	и той же	1	2
10	подобно тому как	4	2
11	и тот кто	1	2
12	и для него	1	2
13	но это не	1	2
14	в каждом человеке	1	2
15	о том что	1	2
16	одной и той	1	2
17	как и в	1	2
18	что это не	1	2
19	после того как	2	2
20	в том что	7	2
21	как и во	2	2
22	слова для него	1	1
23	а между тем	4	1
24	а от того	1	1
25	не понятно для	1	1
26	в ней все	1	1
27	потому что в	1	1
28	и в нашем	1	1
29	мыслей и чувств	1	1
30	в нем самом	1	1
31	том что он	1	1
32	только тогда когда	2	1
33	не приводит в	1	1
34	и во многих	1	1
35	во многих других	1	1
36	не от того	1	1
37	было для него	2	1
38	сам по себе	4	1
39	друг на друга	1	1
40	и быть может	1	1
41	между тем как	2	1
42	тому как в	1	1
43	в той мере	1	1
44	на то что	3	1
45	того что человек	1	1
46	и тогда когда	2	1
47	не потому что	1	1
48	не было в	1	1
49	никогда не достигает	1	1
50	той мере в	1	1
51	смысле этого слова	3	1
52	по сравнению с	1	1
53	человеческой природы вообще	1	1
54	во втором случае	1	1
55	есть не только	1	1
56	не для того	1	1
57	может быть названо	2	1
58	втором случае человек	1	1
59	что у него	1	1
60	мере в какой	1	1
61	но так как	1	1
62	себя и для	1	1
63	они не имеют	1	1
64	должны быть признаны	1	1
65	такой степени как	1	1
66	того чтобы сделать	1	1
67	между тем в	1	1
68	если бы не	1	1
69	нельзя себе представить	1	1
70	сама по себе	2	1
71	на самом деле	2	1
72	искать в них	1	1
73	себя и других	1	1
