N	3gram	Vinokur_Vv_1	Narrotol
1	в том что	12	8
2	с одной стороны	4	7
3	о том что	12	6
4	по отношению к	4	6
5	в отличие от	3	5
6	не может быть	8	5
7	и не в	1	4
8	в данном случае	4	4
9	с другой стороны	5	4
10	той или иной	1	4
11	но все же	3	4
12	можно сказать что	3	4
13	состоит в том	2	3
14	бы то ни	1	3
15	в этом отношении	3	3
16	то ни было	1	3
17	тем не менее	8	3
18	то же время	5	3
19	в свою очередь	1	3
20	в то же	5	3
21	что иное как	4	2
22	мы имеем дело	1	2
23	в том или	1	2
24	не только о	1	2
25	подобно тому как	1	2
26	с точки зрения	2	2
27	как будет по	1	2
28	можно было бы	3	2
29	точно так же	2	2
30	то или иное	1	2
31	ту или иную	1	2
32	не то что	1	2
33	в значительной степени	1	2
34	так же как	1	2
35	не что иное	4	2
36	в первом случае	2	2
37	не только в	4	2
38	в известном смысле	3	2
39	в связи с	2	2
40	этой точки зрения	1	2
41	того или иного	1	2
42	том или ином	1	2
43	так или иначе	4	2
44	том что в	1	1
45	и того же	2	1
46	что в этом	2	1
47	речь идет об	1	1
48	только потому что	1	1
49	обнаруживают за собой	1	1
50	не могло не	1	1
51	нами не как	1	1
52	какой бы то	1	1
53	прежде всего в	1	1
54	дело в том	2	1
55	на самом деле	1	1
56	одной из этих	1	1
57	в самом деле	5	1
58	и в особенности	4	1
59	в этом смысле	10	1
60	дело с текстами	1	1
61	что несмотря на	2	1
62	то же самое	2	1
63	в том же	1	1
64	нельзя признать вполне	1	1
65	по крайней мере	4	1
66	до сих пор	5	1
67	сам по себе	1	1
68	бытии но в	1	1
69	отношению к нему	1	1
70	только то что	1	1
71	что не только	1	1
72	и то что	2	1
73	как это было	1	1
74	в той мере	4	1
75	одна за другой	1	1
76	и др в	1	1
77	до наших дней	1	1
78	но от этого	1	1
79	в этом качестве	1	1
80	собой не что	1	1
81	с этой точки	1	1
82	может быть и	2	1
83	же время в	1	1
84	а не только	1	1
85	было бы именовать	1	1
86	дело не с	1	1
87	и т.д в	1	1
88	а также и	2	1
89	большую или меньшую	1	1
90	имеем дело с	1	1
91	из которых первые	1	1
92	нередко встречается в	1	1
93	в нем не	1	1
94	составляет один из	1	1
95	мере в какой	4	1
96	все то что	1	1
97	в свое время	2	1
98	и до наших	1	1
99	по себе не	1	1
100	но не может	1	1
101	есть не что	2	1
102	но уже в	1	1
103	которая не могла	1	1
104	в новейшее время	1	1
105	в том чтобы	5	1
106	само по себе	3	1
107	прежде всего к	1	1
108	то что могло	2	1
109	во всех его	1	1
110	и прежде всего	1	1
111	в этой системе	1	1
112	как своего рода	1	1
113	одного и того	2	1
114	на историю и	1	1
115	как мы уже	1	1
116	из этих двух	1	1
117	в тексте не	1	1
118	тех или иных	3	1
119	особое отношение к	1	1
120	в соответствии с	2	1
121	той мере в	4	1
122	обратим внимание на	1	1
123	как мы видели	2	1
