N	3gram	Savitsky_E_1	formyVre
1	то же время	14	9
2	в то же	15	6
3	и того же	1	5
4	одного и того	1	5
5	и в то	8	5
6	в связи с	1	5
7	для того чтобы	5	5
8	в том числе	1	4
9	в этом отношении	3	3
10	не может быть	2	3
11	в то время	1	3
12	в каком же	1	2
13	в этом мире	1	2
14	дело в том	1	2
15	также и в	1	2
16	в соответствии с	1	2
17	одной стороны и	6	2
18	же как и	3	2
19	и все другие	2	2
20	с точки зрения	16	2
21	и не только	1	2
22	в отличие от	1	2
23	но и в	1	2
24	том числе и	1	2
25	что в таком	1	2
26	и в частности	2	2
27	то время как	1	2
28	так же как	5	2
29	не только в	4	2
30	с одной стороны	8	2
31	может быть и	1	2
32	по сравнению с	2	2
33	друг к другу	1	2
34	а также и	1	2
35	связи с этим	1	2
36	и прежде всего	3	2
37	той или иной	4	2
38	в том что	6	2
39	к тому же	1	2
40	в стороне от	1	1
41	или хотя бы	2	1
42	в той или	3	1
43	прежде всего в	2	1
44	на берегу моря	1	1
45	наше внимание на	1	1
46	в том же	1	1
47	то есть к	1	1
48	тех случаях когда	1	1
49	мы говорили в	1	1
50	начале xx века	1	1
51	с тем что	1	1
52	и для того	1	1
53	и человеческой жизни	1	1
54	или иной степени	1	1
55	мало как и	2	1
56	в значительной мере	1	1
57	в тех случаях	1	1
58	в значительной степени	1	1
59	в данном случае	2	1
60	но в то	2	1
61	но в процессе	1	1
62	в течение которого	1	1
63	смысле этого слова	1	1
64	так и в	2	1
65	и в этом	4	1
66	не могут быть	1	1
67	во всяком случае	3	1
68	качестве одной из	1	1
69	во всех этих	1	1
70	в свою очередь	2	1
71	говорили в предыдущем	1	1
72	та или иная	1	1
73	то есть в	1	1
74	в качестве одной	1	1
75	же мало как	2	1
76	но в отношении	1	1
77	так же мало	2	1
78	и ту же	1	1
79	о которых мы	1	1
80	друг с другом	3	1
81	в себе не	1	1
82	так и по	1	1
83	одну и ту	1	1
