N	3gram	Propp_Isto_2	UchenyiS
1	не может быть	2	4
2	с другой стороны	2	3
3	до сих пор	6	2
4	в том что	5	2
5	они до сих	1	1
6	другой стороны в	1	1
7	так или иначе	1	1
8	в этом случае	5	1
9	по существу то	1	1
10	и не только	1	1
11	сам по себе	1	1
12	все же остается	1	1
13	с тем что	3	1
14	но это не	1	1
15	и прежде всего	1	1
16	часто бывает что	1	1
17	мы имеем в	5	1
18	на то что	2	1
19	то что было	1	1
20	только в этом	1	1
21	а как живой	1	1
22	друг с другом	1	1
23	не только в	4	1
24	этого сложного и	1	1
25	с одной стороны	3	1
26	в отдельности и	1	1
27	он прежде всего	1	1
