N	2gram	Bakhtin_sl_1	BTomashe
1	у нас	2	3
2	и не	16	2
3	все это	5	2
4	в ней	4	2
5	можно было	2	2
6	крайней мере	1	1
7	художественного произведения	1	1
8	же не	1	1
9	за пределы	4	1
10	не укладывается	2	1
11	тем более	1	1
12	и в	41	1
13	и о	2	1
14	со всем	1	1
15	выходит за	3	1
16	что все	2	1
17	с другой	5	1
18	в своей	7	1
19	своей книге	1	1
20	без понимания	1	1
21	на самом	2	1
22	как некоторого	1	1
23	и нет	1	1
24	было бы	3	1
25	все же	7	1
26	всяком случае	5	1
27	кроме того	4	1
28	о художественной	1	1
29	установка на	6	1
30	между ними	2	1
31	точке зрения	2	1
32	еще не	4	1
33	и на	14	1
34	выпадают из	1	1
35	в пределах	14	1
36	одной из	3	1
37	в значительной	1	1
38	прежде всего	8	1
39	в данном	3	1
40	и во	3	1
41	так и	11	1
42	не было	3	1
43	его не	1	1
44	совершенно не	2	1
45	далеко не	5	1
46	всего в	1	1
47	до конца	12	1
48	стиля и	7	1
49	а не	15	1
50	другой стороны	4	1
51	и ее	3	1
52	не все	1	1
53	по крайней	1	1
54	таким образом	9	1
55	и более	1	1
56	и потому	4	1
57	не только	16	1
58	значительной степени	1	1
59	во всяком	7	1
