N	2gram	Tiupa_Narr_1	EvropaiC
1	таким образом	1	32
2	в том	18	31
3	и в	19	24
4	том что	14	20
5	все эти	2	19
6	не может	10	18
7	то что	11	17
8	все же	7	15
9	может быть	25	15
10	точки зрения	10	13
11	в этом	17	12
12	сих пор	1	12
13	самом деле	2	12
14	до сих	1	12
15	в своем	2	12
16	между тем	3	11
17	отношению к	6	10
18	так и	9	10
19	во всех	1	10
20	по отношению	7	10
21	культуры в	1	10
22	как бы	4	10
23	как и	7	9
24	того же	1	9
25	друг с	1	9
26	что в	3	9
27	с другом	1	9
28	при этом	9	9
29	в результате	2	9
30	так же	2	8
31	и все	2	8
32	не в	14	8
33	если бы	1	8
34	в самом	1	8
35	с точки	2	8
36	о том	6	7
37	о котором	1	7
38	не менее	3	7
39	по существу	2	7
40	приобщение к	2	7
41	по своей	3	7
42	на самом	1	7
43	к тому	7	7
44	и не	20	7
45	из этих	3	7
46	в силу	4	7
47	но и	23	7
48	или менее	2	7
49	более или	2	7
50	что он	6	7
51	еще не	7	6
52	тогда как	12	6
53	отличается от	4	6
54	должна быть	2	6
55	с ним	1	6
56	от друга	1	6
57	что касается	2	6
58	того что	1	6
59	друг от	1	6
60	и при	1	6
61	только в	4	6
62	в этой	5	6
63	что и	1	6
64	и на	3	6
65	в мире	9	6
66	несмотря на	2	6
67	с другой	8	6
68	в общем	1	6
69	мы можем	1	6
70	в себе	8	5
71	и с	4	5
72	так называемого	1	5
73	ничем не	1	5
74	не будет	3	5
75	и для	2	5
76	что это	3	5
77	у него	4	5
78	его в	2	5
79	но все	4	5
80	потому что	1	5
81	и от	1	5
82	тому же	5	5
83	и к	1	5
84	между двумя	5	5
85	в целом	1	5
86	лишь в	1	5
87	в то	3	5
88	что все	1	5
89	по своему	1	5
90	другой стороны	4	5
91	в его	9	5
92	именно в	6	5
93	как к	2	5
94	далеко не	5	5
95	быть и	1	5
96	но в	6	5
97	столь же	3	5
98	как будто	3	5
99	не только	32	5
100	одним из	2	4
101	в состоянии	1	4
102	тех кто	1	4
103	связи с	4	4
104	иначе говоря	6	4
105	и конец	1	4
106	хотя бы	4	4
107	не так	1	4
108	в конце	1	4
109	в области	2	4
110	та же	2	4
111	отношение к	2	4
112	в их	1	4
113	между собой	2	4
114	совершенно не	2	4
115	в таком	2	4
116	никогда не	3	4
117	хотя и	3	4
118	то же	4	4
119	из которых	4	4
120	и сейчас	2	4
121	а с	3	4
122	данный момент	1	4
123	тем не	3	4
124	ни один	1	4
125	и т.д	7	4
126	мы уже	1	4
127	том же	1	4
128	как сказано	1	4
129	что как	1	4
130	не могут	1	4
131	он не	3	4
132	и то	1	4
133	признать что	1	4
134	и у	1	4
135	из них	3	4
136	не есть	3	4
137	что по	2	3
138	может не	3	3
139	каждый из	2	3
140	для нас	1	3
141	и наконец	1	3
142	данном случае	4	3
143	в связи	2	3
144	прежде всего	4	3
145	может служить	1	3
146	культуры как	1	3
147	случаях когда	1	3
148	в нем	4	3
149	и вообще	1	3
150	даже в	2	3
151	и того	1	3
152	а в	11	3
153	а лишь	1	3
154	является ли	1	3
155	же не	4	3
156	не то	2	3
157	от тех	1	3
158	в тех	1	3
159	в начале	1	3
160	национальной и	1	3
161	это не	2	3
162	как для	1	3
163	в совершенно	1	3
164	отличие от	5	3
165	от него	1	3
166	одного и	1	3
167	что если	1	3
168	у нас	1	3
169	тот же	1	3
170	то ни	3	3
171	даже если	1	3
172	можно назвать	1	3
173	и потому	2	3
174	очевидно что	1	3
175	и может	1	3
176	же как	3	3
177	от того	1	3
178	как у	1	3
179	подлежит сомнению	1	3
180	с одной	7	3
181	как известно	2	3
182	мы будем	1	3
183	то они	2	3
184	на земле	1	3
185	тем более	2	3
186	но по	1	3
187	не подлежит	1	3
188	этой истории	1	3
189	таким же	1	3
190	есть начало	1	3
191	так или	2	3
192	что оно	1	3
193	или иначе	3	3
194	что мы	2	3
195	и по	1	3
196	в данном	5	3
197	и там	1	2
198	сводится к	3	2
199	в них	1	2
200	себя и	2	2
201	между людьми	1	2
202	это может	1	2
203	но не	5	2
204	не знает	1	2
205	же время	4	2
206	в другом	1	2
207	что несмотря	1	2
208	говорить о	2	2
209	мы и	1	2
210	на том	3	2
211	что они	3	2
212	в один	1	2
213	никто не	1	2
214	и ее	2	2
215	приобщения к	1	2
216	этого слова	2	2
217	не было	2	2
218	вовсе не	1	2
219	есть в	2	2
220	при отсутствии	1	2
221	к нему	5	2
222	быть признана	1	2
223	отнюдь не	5	2
224	к двум	1	2
225	тем самым	6	2
226	если это	1	2
227	то есть	19	2
228	стоят в	1	2
229	только то	1	2
230	что на	2	2
231	между ними	2	2
232	в ней	3	2
233	то в	6	2
234	ни для	7	2
235	те же	4	2
236	по его	1	2
237	одно из	2	2
238	этом что	1	2
239	независимо от	2	2
240	и только	2	2
241	все то	2	2
242	с этой	1	2
243	для него	2	2
244	как не	1	2
245	в себя	6	2
246	но как	2	2
247	мы видели	1	2
248	и сам	1	2
249	на него	3	2
250	и более	1	2
251	они не	2	2
252	как мы	3	2
253	то и	1	2
254	в свою	3	2
255	что у	2	2
256	жизни и	3	2
257	свою очередь	3	2
258	в сущности	3	2
259	бы то	3	2
260	культуры с	1	2
261	но на	1	2
262	имеет место	4	2
