N	3gram	Bakhtin_Pr_2	PoTuStor
1	с точки зрения	8	6
2	на самом деле	1	4
3	в этом смысле	2	3
4	до сих пор	7	3
5	по крайней мере	1	3
6	во всяком случае	1	3
7	не может быть	4	3
8	можно сказать что	1	3
9	в большинстве случаев	8	3
10	нам кажется что	2	2
11	друг на друга	2	2
12	в самом деле	4	2
13	в сознание и	1	2
14	о том что	1	2
15	мы можем сказать	1	2
16	во всех его	1	2
17	если бы он	1	1
18	я и мир	1	1
19	при всей ее	1	1
20	прежде всего на	1	1
21	уже не может	1	1
22	дело в том	1	1
23	из этих трех	2	1
24	если б я	1	1
25	то же самое	1	1
26	же как и	1	1
27	как мы сказали	2	1
28	бы то ни	1	1
29	и та же	2	1
30	сознание и в	1	1
31	а может быть	1	1
32	в другом человеке	2	1
33	можно было бы	3	1
34	рано или поздно	1	1
35	как и всегда	1	1
36	остановимся прежде всего	1	1
37	со всеми его	1	1
38	и со всеми	1	1
39	это творчество как	1	1
40	то ни было	1	1
41	что может быть	1	1
42	с одной стороны	1	1
43	ничего общего не	1	1
44	в связи с	1	1
45	как один из	1	1
46	каких бы то	1	1
47	с нею и	1	1
48	самом деле в	1	1
49	в том что	1	1
50	нельзя сказать о	1	1
51	этой точки зрения	1	1
52	так как его	1	1
53	еще не стали	1	1
54	так и в	1	1
55	одна и та	2	1
56	в известной степени	1	1
57	и ту же	1	1
58	есть прежде всего	1	1
59	таким образом и	1	1
60	и что он	1	1
61	друг с другом	4	1
62	одну и ту	1	1
63	можем сказать что	1	1
64	может быть даже	1	1
65	мы увидим что	1	1
66	как мы знаем	1	1
67	той или иной	3	1
68	только себя и	1	1
69	он прежде всего	1	1
