N	3gram	Vinokur_St_1	VeschiIm
1	и т д	21	20
2	не может быть	5	18
3	бы то ни	1	9
4	т д и	2	7
5	т е в	2	7
6	д и т	1	7
7	по крайней мере	2	6
8	в том что	17	6
9	на то что	4	6
10	содержит в себе	1	5
11	значит что мы	1	5
12	тем не менее	2	5
13	т е не	1	4
14	с точки зрения	8	4
15	и то что	2	4
16	не только в	4	4
17	то же время	4	4
18	в то же	4	4
19	в самом деле	5	3
20	и в то	1	3
21	можно было бы	8	3
22	но если это	2	3
23	только то что	1	3
24	не может не	1	2
25	дело в том	4	2
26	а есть только	1	2
27	но то что	1	2
28	но даже и	1	2
29	как бы ни	1	2
30	о том как	1	2
31	ни о каком	1	2
32	то что оно	1	2
33	в данном случае	6	2
34	того что именно	1	2
35	которая была бы	1	2
36	и таким образом	1	2
37	нужно было бы	1	2
38	заключается в том	3	2
39	и в и	3	2
40	и даже не	2	2
41	к тому что	1	2
42	так что в	1	2
43	так или иначе	2	2
44	в отношении данной	1	1
45	т е уже	1	1
46	а не в	1	1
47	далеко не все	1	1
48	как и во	1	1
49	с самого же	1	1
50	когда речь идет	2	1
51	в этом смысле	1	1
52	том что он	1	1
53	должно было бы	1	1
54	быть и речи	1	1
55	е не только	1	1
56	в этом случае	2	1
57	более для него	1	1
58	почему же мы	1	1
59	что с точки	1	1
60	до сих пор	7	1
61	и не может	1	1
62	в зависимости от	1	1
63	сами по себе	1	1
64	в той же	2	1
65	самом деле не	1	1
66	что он не	1	1
67	также и то	1	1
68	как к чему-то	1	1
69	та и другая	1	1
70	не при чем	4	1
71	и говорить о	1	1
72	не могла бы	1	1
73	с полной определенностью	1	1
74	в то или	1	1
75	и можно ли	1	1
76	и не в	1	1
77	может быть и	2	1
78	хотя бы и	2	1
79	что бы то	1	1
80	как раз в	2	1
81	потому что он	1	1
82	в применении к	3	1
83	что я в	1	1
84	то время как	1	1
85	так же как	3	1
86	самого же начала	1	1
87	то что для	1	1
88	в том чтобы	1	1
89	но в то	2	1
90	ответ на вопрос	1	1
91	с одной стороны	2	1
92	в конце концов	1	1
93	это вовсе еще	1	1
94	смысле этого слова	1	1
95	и в этом	3	1
96	во втором случае	2	1
97	даже и в	1	1
98	не в том	2	1
99	той и другой	1	1
100	в каком случае	1	1
101	потому что она	1	1
102	это не значит	3	1
103	словами не только	1	1
104	с другой стороны	6	1
105	вовсе еще не	1	1
106	речь идет о	2	1
107	то что у	2	1
108	может быть никакого	1	1
109	на вопрос о	2	1
110	значит что в	1	1
111	а в том	1	1
112	ни в каком	1	1
113	во всяком случае	6	1
114	но также и	4	1
115	том смысле что	1	1
116	в то время	2	1
117	совершенно не при	2	1
118	о том что	11	1
119	если бы оно	1	1
120	хотя бы в	1	1
121	вопрос о том	2	1
122	но тот же	1	1
123	как можно было	1	1
124	но все же	3	1
125	с этой стороны	1	1
126	нужно сказать что	4	1
127	для того чтобы	10	1
128	в настоящем смысле	1	1
129	она не могла	1	1
130	в том смысле	2	1
131	не значит что	3	1
132	в результате этого	1	1
133	может быть ни	1	1
134	так как по	1	1
135	это может быть	1	1
136	ближе к истине	1	1
137	и та и	1	1
138	свидетельствует о том	1	1
139	т д в	1	1
140	что и в	4	1
141	и только в	3	1
