N	3gram	Vinokur_St_2	VelikijI
1	за то что	2	3
2	к тому что	5	3
3	а между тем	1	2
4	том что он	5	2
5	вместо того чтобы	1	2
6	это еще не	1	2
7	в том что	16	2
8	и т д	6	2
9	но все же	2	1
10	и теперь еще	1	1
11	было не по	1	1
12	не к тому	1	1
13	бы то ни	2	1
14	если оно не	1	1
15	вместе с тем	5	1
16	в конце концов	1	1
17	потому что оно	1	1
18	в известном смысле	1	1
19	и в этом	2	1
20	а к тому	1	1
21	в этих словах	2	1
22	с другой стороны	3	1
23	по сравнению с	1	1
24	против того что	1	1
25	так и в	2	1
26	и вместе с	1	1
27	и все это	1	1
28	самого себя и	1	1
29	после того как	4	1
30	все это имеет	1	1
