N	2gram	Berdyaev_M_2	Freidism
1	и не	18	23
2	– это	2	21
3	не может	15	20
4	точки зрения	2	19
5	прежде всего	12	18
6	к отцу	1	16
7	в этом	20	15
8	в его	5	15
9	это –	22	14
10	может быть	21	13
11	и его	5	12
12	к матери	2	12
13	все эти	1	11
14	как и	13	11
15	с точки	1	11
16	– в	2	11
17	как бы	8	11
18	то что	5	11
19	самом деле	1	10
20	но в	10	10
21	его в	3	10
22	с ним	3	10
23	так и	4	10
24	и потому	7	10
25	с его	4	9
26	во всех	2	9
27	по отношению	2	9
28	и в	46	9
29	то же	5	8
30	не только	18	8
31	он не	10	8
32	в своей	5	8
33	что он	7	8
34	только в	3	8
35	так как	8	8
36	все это	1	8
37	и все	5	8
38	отношению к	2	8
39	все что	4	8
40	в самом	5	7
41	отношение к	8	7
42	ни в	3	7
43	те же	5	7
44	к нему	2	7
45	один из	5	7
46	тот же	2	7
47	что же	2	7
48	– не	3	7
49	сказать что	3	7
50	в ней	11	6
51	за пределы	1	6
52	все те	1	6
53	и с	3	6
54	на протяжении	1	6
55	и ее	1	6
56	– все	2	6
57	того что	6	6
58	для него	18	6
59	никогда не	18	6
60	хотя бы	7	6
61	я и	2	5
62	культурного творчества	1	5
63	на самом	1	5
64	и на	3	5
65	он сам	6	5
66	в чем	3	5
67	и к	7	5
68	в этой	7	5
69	что такое	1	5
70	не в	9	5
71	мы должны	1	5
72	для этого	4	5
73	для того	5	5
74	и прежде	1	5
75	а в	2	5
76	но и	15	5
77	связь с	1	5
78	с этим	1	5
79	в свою	4	5
80	что в	4	5
81	смысле слова	3	4
82	и за	2	4
83	той же	3	4
84	мы не	1	4
85	в которой	2	4
86	говорить о	1	4
87	я не	5	4
88	совсем не	5	4
89	не было	11	4
90	в пределах	1	4
91	в нем	22	4
92	на этом	2	4
93	человека –	3	4
94	об этом	1	4
95	в жизни	4	4
96	нигде не	1	4
97	в основе	2	4
98	потому что	12	4
99	и для	7	4
100	– с	1	4
101	к тому	5	4
102	того чтобы	4	4
103	– и	1	4
104	которой мы	1	4
105	уже не	4	4
106	не дает	1	4
107	в котором	1	4
108	от того	3	4
109	на которые	1	4
110	себя и	3	4
111	все позволено	1	4
112	в более	2	4
113	сознания и	2	4
114	в этих	2	4
115	между ними	1	4
116	человека и	7	3
117	он хотел	1	3
118	и есть	8	3
119	смерти отца	1	3
120	на себя	1	3
121	он был	9	3
122	с отцом	1	3
123	как в	7	3
124	и той	2	3
125	человек на	1	3
126	и как	1	3
127	между двумя	1	3
128	и тот	2	3
129	в себе	10	3
130	и те	2	3
131	этот процесс	2	3
132	и вот	5	3
133	одной и	2	3
134	всех своих	1	3
135	что все	5	3
136	было бы	1	3
137	отца и	1	3
138	и чувств	1	3
139	отцом и	1	3
140	тому что	4	3
141	чем не	2	3
142	мыслей и	1	3
143	в сознании	1	3
144	к себе	2	3
145	не могут	1	3
146	бы он	1	3
147	она не	8	3
148	и этим	2	3
149	приводит к	1	3
150	если бы	3	3
151	вражда к	1	3
152	и что	2	3
153	во втором	1	3
154	и она	3	3
155	со всеми	1	3
156	человека к	8	3
157	себя в	4	3
158	у него	22	3
159	в них	3	3
160	вместе с	2	3
161	по своему	1	3
162	сознания –	1	3
163	и от	3	3
164	но это	8	3
165	сам человек	1	3
166	когда он	1	3
167	не знает	9	3
168	от всех	1	3
169	жизни и	6	3
170	ни на	1	3
171	ее в	2	3
172	по поводу	1	3
173	отношения к	2	2
174	чтобы не	3	2
175	в такой	3	2
176	и то	1	2
177	это и	3	2
178	когда человек	2	2
179	высшей степени	3	2
180	большую роль	1	2
181	как не	1	2
182	того же	1	2
183	в ее	1	2
184	и религия	3	2
185	себе и	2	2
186	значение для	1	2
187	в своем	8	2
188	сознания в	1	2
189	от этого	2	2
190	что это	6	2
191	в нашем	7	2
192	или во	1	2
193	человек не	7	2
194	что она	5	2
195	из этой	2	2
196	есть та	1	2
197	истерии и	1	2
198	их в	1	2
199	– очень	1	2
200	но все	1	2
201	сознание и	1	2
202	в глубине	3	2
203	это не	5	2
204	на почве	3	2
205	жизни то	1	2
206	этого не	1	2
207	всю жизнь	3	2
208	и уже	1	2
209	которой он	1	2
210	и становится	1	2
211	том что	4	2
212	но если	1	2
213	во второй	1	2
214	не подозревает	1	2
215	его отношение	4	2
216	сих пор	3	2
217	в отношении	5	2
218	но для	2	2
219	правда в	2	2
220	к этим	1	2
221	в самых	1	2
222	для всего	1	2
223	и теперь	1	2
224	только с	3	2
225	этом отношении	1	2
226	в момент	1	2
227	же что	2	2
228	отличается от	1	2
229	должны быть	4	2
230	они и	4	2
231	оно не	2	2
232	для себя	1	2
233	и самое	2	2
234	роль в	1	2
235	– говорит	4	2
236	вещи и	1	2
237	я –	1	2
238	в прошлое	1	2
239	сознание не	1	2
240	в другом	1	2
241	и поэтому	2	2
242	до сих	3	2
243	что и	4	2
244	всего этого	1	2
245	также в	1	2
246	человека как	1	2
247	и об	1	2
248	мир в	1	2
249	как ее	2	2
250	быть и	2	2
251	каждого человека	3	2
252	мы видим	2	2
253	в какой	1	2
254	– есть	2	2
255	окружающей его	1	2
256	гармонии и	5	2
257	душу человека	1	2
258	и у	1	2
259	уже в	2	2
260	и они	1	2
261	его и	1	2
262	человека на	2	2
263	в я	1	2
264	а потому	1	2
265	потому и	1	2
266	в прошлом	1	2
267	в конце	5	2
268	в высшей	3	2
269	с другой	1	2
270	человека в	14	2
271	а с	1	2
272	до конца	4	2
273	связано с	3	2
274	а не	13	2
275	так же	6	2
276	самого себя	4	2
277	в развитии	1	2
278	другого человека	2	2
279	и часто	1	2
280	не существует	3	2
281	формы и	1	2
282	в силах	1	2
283	конце концов	1	2
284	он –	8	2
285	все они	1	2
286	да и	2	2
287	есть и	3	2
288	влечет к	3	2
289	в своих	3	2
290	к этому	1	2
291	как на	1	2
292	они не	4	2
293	же как	3	1
294	чувствовать себя	3	1
295	бы для	1	1
296	– внутренняя	2	1
297	человеческой души	1	1
298	права и	1	1
299	в мыслях	1	1
300	не имеют	2	1
301	ведь и	1	1
302	когда это	1	1
303	с таким	2	1
304	на явление	1	1
305	их и	1	1
306	человека все	1	1
307	вопрос о	6	1
308	ответить на	1	1
309	но она	2	1
310	как то	2	1
311	в будущем	1	1
312	в целом	1	1
313	не способен	5	1
314	жизни это	4	1
315	и самого	3	1
316	вывод что	1	1
317	оценок и	1	1
318	не был	2	1
319	бытия а	1	1
320	там и	6	1
321	соединиться с	1	1
322	к которой	3	1
323	только потому	1	1
324	друг на	1	1
325	для сведения	1	1
326	как со	1	1
327	нет и	1	1
328	в свои	1	1
329	что они	3	1
330	которые не	1	1
331	человеческой личности	7	1
332	его я	1	1
333	в центре	2	1
334	независимо от	1	1
335	и нет	3	1
336	это был	1	1
337	кто не	1	1
338	себя под	1	1
339	сторона в	1	1
340	его к	1	1
341	любви есть	1	1
342	но эта	2	1
343	лежит на	1	1
344	та же	10	1
345	бы и	5	1
346	говорили что	1	1
347	он в	3	1
348	бы не	2	1
349	сознания он	1	1
350	по преимуществу	5	1
351	только один	1	1
352	говорят о	1	1
353	о других	1	1
354	как он	3	1
355	на то	1	1
356	если он	2	1
357	дальше и	2	1
358	что было	3	1
359	от его	2	1
360	стихии которая	1	1
361	всего должен	1	1
362	все другие	1	1
363	природной и	1	1
364	и социальной	1	1
365	начала его	1	1
366	идеи и	3	1
367	– на	1	1
368	страдания и	3	1
369	в человеческой	1	1
370	и вечно	1	1
371	находит себе	1	1
372	в нее	1	1
373	жизни поэтому	1	1
374	борьбы и	1	1
375	им как	1	1
376	ли это?	1	1
377	этого отношения	1	1
378	входит в	1	1
379	человека только	2	1
380	свою противоположность	2	1
381	связанная с	1	1
382	и тем	1	1
383	любви в	1	1
384	для них	1	1
385	на друга	1	1
386	этой борьбы	1	1
387	не всегда	2	1
388	отказывается и	1	1
389	чем в	2	1
390	не мог	3	1
391	из сферы	1	1
392	сознания но	1	1
393	нас не	2	1
394	не интересует	1	1
395	он должен	1	1
396	и без	1	1
397	что всякий	3	1
398	– лишь	1	1
399	степени не	1	1
400	не к	2	1
401	себе а	1	1
402	жизни с	1	1
403	сознание –	1	1
404	душу и	3	1
405	которые в	2	1
406	труден но	1	1
407	в религиозных	1	1
408	любовь к	8	1
409	так называемого	1	1
410	же такое	1	1
411	нас к	1	1
412	тянется в	1	1
413	новых и	1	1
414	иной раз	1	1
415	– последний	1	1
416	любви так	1	1
417	можно ли	3	1
418	человека есть	3	1
419	что-то до	1	1
420	до известной	1	1
421	это чувство	1	1
422	человека но	1	1
423	и должно	3	1
424	этого нужно	1	1
425	друг друга	12	1
426	тогда когда	2	1
427	на два	1	1
428	– его	2	1
429	словами о	1	1
430	не по	1	1
431	без остатка	1	1
432	него было	1	1
433	это с	1	1
434	на путях	1	1
435	человека от	2	1
436	почему так	2	1
437	и культурной	1	1
438	человек как	1	1
439	или как	1	1
440	нее нет	1	1
441	к ней	2	1
442	он хочет	3	1
443	один путь	1	1
444	она хочет	1	1
445	я человека	2	1
446	со всякой	1	1
447	хочет быть	1	1
448	этого необходимо	3	1
449	это один	1	1
450	что на	1	1
451	бытия не	1	1
452	и здесь	6	1
453	истории не	1	1
454	представляется нам	1	1
455	из глубины	2	1
456	страсть и	2	1
457	нет ни	2	1
458	его для	1	1
459	что отец	1	1
