N	3gram	Vygotskiy__7	Hudozhes
1	по отношению к	5	10
2	в отличие от	2	7
3	в то же	1	6
4	с другой стороны	1	5
5	той или иной	1	5
6	в том что	13	5
7	состоит в том	3	4
8	с точки зрения	21	3
9	одно и то	3	3
10	и то же	3	3
11	в конечном счете	2	3
12	тем не менее	3	3
13	можно сказать что	3	3
14	в этом смысле	1	3
15	мы имеем дело	1	2
16	как бы не	1	2
17	в том и	3	2
18	с одной стороны	5	2
19	приводит к тому	2	2
20	в свою очередь	2	2
21	внутренней и внешней	1	2
22	для того чтобы	18	2
23	том числе и	1	2
24	по сути дела	1	2
25	в том числе	1	2
26	к тому что	6	2
27	в силу своей	1	2
28	сама по себе	1	2
29	по своей природе	4	1
30	что иное как	1	1
31	в этой фразе	1	1
32	мы видим в	1	1
33	прежде всего в	2	1
34	одним и тем	2	1
35	друг другу и	1	1
36	подобно тому как	1	1
37	каждой из них	1	1
38	в своей внутренней	1	1
39	в этом случае	14	1
40	в одной из	1	1
41	сводится до минимума	1	1
42	в зависимости от	1	1
43	природу каждой из	1	1
44	по своей структуре	2	1
45	что он не	1	1
46	внутренней речи от	2	1
47	вследствие того что	1	1
48	из того что	2	1
49	деятельностью а не	1	1
50	у нее нет	2	1
51	заключает в себе	1	1
52	с которыми он	1	1
53	точки зрения не	1	1
54	точно так же	2	1
55	во всей своей	1	1
56	субъективной и объективной	1	1
57	с этой точки	4	1
58	из этих двух	1	1
59	именно в этом	2	1
60	в его мысли	1	1
61	как раз в	2	1
62	едва ли не	2	1
63	в самом начале	3	1
64	во внутренней речи	2	1
65	содержит в себе	3	1
66	не совпадает с	3	1
67	отличием внутренней речи	1	1
68	и том же	1	1
69	в этом состоит	1	1
70	в той мере	2	1
71	в известном смысле	2	1
72	во втором случае	3	1
73	не могут быть	1	1
74	не только к	1	1
75	имеет место слияние	1	1
76	в первую очередь	1	1
77	на этом пути	1	1
78	так же как	7	1
79	речи от внешней	1	1
80	что несмотря на	1	1
81	по ту сторону	1	1
82	в то время	2	1
83	есть не что	1	1
84	состоит как раз	1	1
85	в одном случае	1	1
86	не содержит в	1	1
87	в нашем примере	1	1
88	это и есть	1	1
89	что по своему	1	1
90	о том что	4	1
91	этой точки зрения	4	1
92	и тем самым	4	1
93	включает в себя	1	1
94	он еще не	1	1
95	мере в какой	2	1
96	может и не	1	1
97	друг от друга	2	1
98	речи хотя и	1	1
99	больше и больше	2	1
100	таким образом с	1	1
101	только о том	1	1
102	не что иное	1	1
103	в котором по	1	1
104	той мере в	2	1
105	и тем же	2	1
106	одном и том	1	1
107	в соответствии с	1	1
108	в себе в	2	1
109	том что он	2	1
110	по одним и	1	1
111	не может быть	4	1
112	всей своей полноте	1	1
113	как и в	3	1
114	не по отношению	1	1
115	в ее внутренней	1	1
116	так же точно	3	1
