N	2gram	Propp_Isto_1	Analitik
1	не только	12	22
2	и в	28	18
3	как и	4	14
4	так и	9	14
5	в этом	8	14
6	и его	3	13
7	но и	10	13
8	том что	7	12
9	в качестве	5	12
10	и не	9	12
11	в частности	2	12
12	при этом	3	11
13	а в	7	10
14	как бы	2	10
15	что в	12	9
16	в тексте	1	9
17	может быть	25	9
18	со стороны	2	9
19	а не	15	9
20	в том	9	9
21	со своей	1	8
22	своего рода	1	8
23	и даже	4	8
24	по отношению	3	7
25	в русской	2	7
26	как раз	2	7
27	в его	5	7
28	с другой	6	7
29	но не	5	7
30	отношению к	3	7
31	еще не	7	6
32	в этой	6	6
33	он не	2	6
34	в их	3	6
35	не в	9	6
36	к тому	6	6
37	для него	2	6
38	о том	9	6
39	в начале	3	6
40	мы имеем	13	5
41	как правило	4	5
42	как нам	1	5
43	однако в	2	5
44	что и	6	5
45	между тем	2	5
46	уже не	3	5
47	в конце	1	5
48	никогда не	14	5
49	прежде всего	10	5
50	такого рода	1	5
51	в результате	1	5
52	другой стороны	5	5
53	представляет собой	4	5
54	и на	4	4
55	столь же	2	4
56	что он	10	4
57	отнюдь не	1	4
58	в своем	5	4
59	и как	2	4
60	по пути	1	4
61	и к	1	4
62	таким образом	8	4
63	приводит к	2	4
64	по себе	3	4
65	в одном	5	4
66	имеем дело	1	4
67	ли не	1	4
68	не менее	6	4
69	в пределах	4	4
70	внимание на	1	4
71	себя в	2	4
72	не есть	2	4
73	однако что	1	4
74	все же	10	4
75	перед нами	3	4
76	едва ли	1	3
77	по его	2	3
78	его не	1	3
79	который в	1	3
80	мы не	10	3
81	говорить о	1	3
82	в целом	2	3
83	здесь не	4	3
84	о смерти	6	3
85	но как	1	3
86	ответ на	2	3
87	что они	5	3
88	в рамках	2	3
89	как в	2	3
90	с этим	4	3
91	из этих	1	3
92	тому же	1	3
93	ключ к	3	3
94	подобно тому	1	3
95	в году	1	3
96	то же	12	3
97	его в	6	3
98	все это	4	3
99	до известной	1	3
100	в то	3	3
101	дело не	5	3
102	ничего не	2	3
103	указывает на	2	3
104	в ее	2	3
105	так в	4	3
106	мысль о	2	3
107	восходит к	5	3
108	путь к	1	3
109	именно в	3	3
110	было бы	7	3
111	дело с	2	3
112	во всем	3	3
113	однако с	1	3
114	этом отношении	1	3
115	были бы	2	3
116	в особенности	2	3
117	еще и	2	3
118	что не	2	3
119	не было	1	3
120	не всегда	8	3
121	вступает в	2	3
122	его как	2	3
123	как это	3	3
124	к жизни	1	3
125	пока еще	1	3
126	известной степени	1	3
127	и героем	1	3
128	к этому	2	3
129	отношения к	2	2
130	например в	5	2
131	в первом	1	2
132	уже по	1	2
133	есть не	1	2
134	а для	2	2
135	на себя	1	2
136	власть над	1	2
137	и он	3	2
138	в ней	7	2
139	во всех	2	2
140	ними в	1	2
141	отличие от	2	2
142	это и	1	2
143	не видно	1	2
144	когда он	6	2
145	могли бы	3	2
146	как уже	2	2
