N	3gram	Voloshinov_1	VrazhdaK
1	то же время	1	4
2	в то же	1	4
3	в связи с	1	3
4	с точки зрения	5	2
5	но в то	1	2
6	в этот момент	1	2
7	не может быть	4	2
8	в том что	2	2
9	но не менее	1	1
10	равно как и	1	1
11	и не может	1	1
12	он и не	1	1
13	не было бы	1	1
14	в этом отношении	1	1
15	может быть и	1	1
16	одно и то	3	1
17	так же как	1	1
18	все равно не	1	1
19	и то же	2	1
20	быть и речи	1	1
21	с другой стороны	2	1
22	тем не менее	1	1
23	и уж конечно	1	1
24	что в ней	1	1
25	и никогда не	1	1
26	на то что	1	1
