N	2gram	Losev_Vlad_1	Formalny
1	и в	31	38
2	в этом	14	27
3	может быть	6	23
4	и его	7	21
5	и пр	1	21
6	таким образом	3	20
7	и не	17	20
8	в самом	2	16
9	не в	5	15
10	прежде всего	1	15
11	и т	2	14
12	не может	6	14
13	в нем	4	13
14	связи с	1	13
15	но и	19	13
16	с его	11	11
17	с тем	2	11
18	в том	11	11
19	вовсе не	5	11
20	с другими	1	10
21	в его	12	10
22	в связи	3	10
23	с помощью	1	10
24	не только	24	9
25	при этом	2	9
26	и с	14	9
27	как и	4	9
28	на почве	1	9
29	самом деле	1	8
30	отнюдь не	3	8
31	все же	3	8
32	точки зрения	2	8
33	так и	6	8
34	что и	5	8
35	тем что	2	8
36	как мы	9	7
37	лишь в	2	7
38	для него	7	7
39	в своей	4	7
40	уже не	3	7
41	этом отношении	1	7
42	в других	1	7
43	не могут	1	7
44	по существу	2	7
45	что в	14	7
46	в ней	1	6
47	в истории	4	6
48	все эти	3	6
49	в этой	4	6
50	то же	6	6
51	было бы	2	6
52	он не	10	6
53	в их	1	6
54	только в	9	6
55	то что	18	6
56	не было	5	6
57	вместе с	3	6
58	а не	1	6
59	как раз	7	6
60	в результате	2	6
61	хотя бы	2	6
62	а в	9	6
63	это и	2	5
64	в первый	1	5
65	всего этого	1	5
66	во всех	1	5
67	в общем	3	5
68	т д	2	5
69	в то	8	5
70	же время	4	5
71	если бы	1	5
72	сводится к	1	5
73	и только	1	5
74	говорит в	1	5
75	что он	12	5
76	всяком случае	2	5
77	и речи	3	5
78	именно в	1	5
79	что же	5	5
80	и для	2	5
81	бы в	1	5
82	во всяком	2	5
83	формализма в	1	4
84	литературы и	1	4
85	в сторону	1	4
86	что они	3	4
87	как в	3	4
88	и к	6	4
89	не следует	1	4
90	не как	1	4
91	его от	1	4
92	от нее	2	4
93	в высшей	1	4
94	не столько	2	4
95	раз и	3	4
96	как о	1	4
97	ничего не	3	4
98	к тому	3	4
99	здесь не	3	4
100	в дальнейшем	8	4
101	но в	12	4
102	по учению	2	4
103	и теперь	4	4
104	что не	1	4
105	из них	2	4
106	так как	8	4
107	даже и	9	4
108	в особенности	4	4
109	и даже	15	4
110	другой стороны	3	4
111	известной степени	1	4
112	совершенно не	2	4
113	к этому	6	4
114	и до	2	3
115	из всего	1	3
116	мы не	1	3
117	между этими	1	3
118	и на	3	3
119	бы она	1	3
120	значение и	1	3
121	материалом для	1	3
122	как к	2	3
123	хотя и	4	3
124	и как	4	3
125	не приходится	1	3
126	в целом	3	3
127	из этих	2	3
128	роль в	1	3
129	только на	3	3
130	так сказать	1	3
131	время и	2	3
132	главным образом	4	3
133	это было	6	3
134	для них	1	3
135	он и	6	3
136	место в	2	3
137	однако и	1	3
138	она ни	1	3
139	в области	1	3
140	но все	1	3
141	не есть	1	3
142	того чтобы	2	3
143	так в	1	3
144	в годы	2	3
145	особенно в	1	3
146	все дело	1	3
147	и здесь	3	3
148	одного из	1	3
149	в значительной	1	3
150	к нему	4	3
151	того что	2	3
152	то и	2	3
153	менее всего	1	3
154	мы знаем	2	3
155	для того	2	3
156	с другой	3	3
157	а наоборот	1	3
158	все это	5	3
159	на самом	1	3
160	или в	1	3
161	и все	4	3
162	жизни и	5	3
163	можно говорить	1	2
164	и то	10	2
165	едва ли	3	2
166	был и	1	2
167	это время	3	2
168	он был	14	2
169	первый план	2	2
170	столь же	1	2
171	совсем не	4	2
172	но не	3	2
173	но как	5	2
174	отношение к	3	2
175	он пишет	3	2
176	в одной	1	2
177	кроме того	7	2
178	то в	1	2
179	со своей	3	2
180	в которой	4	2
181	уже в	7	2
182	он в	3	2
183	важное место	1	2
184	не к	1	2
185	и более	1	2
186	и философской	1	2
187	из него	1	2
188	и по	8	2
189	на этом	2	2
190	то ни	1	2
191	для нее	2	2
192	и тем	1	2
193	ни в	2	2
194	от него	2	2
195	место и	1	2
196	том что	14	2
197	на первый	2	2
198	в этих	1	2
199	во второй	1	2
200	представление о	1	2
201	от его	1	2
202	их в	1	2
203	даже в	2	2
204	тому что	1	2
205	она не	1	2
206	тем самым	2	2
207	с теми	1	2
208	этими двумя	1	2
209	не по	2	2
210	никогда не	9	2
211	правда в	1	2
212	этих двух	1	2
213	есть только	1	2
214	что на	2	2
215	и это	2	2
216	и о	2	2
217	на нем	1	2
218	в в	3	2
219	и от	5	2
220	с самого	1	2
221	и совершенно	1	2
222	было в	1	2
223	сам он	1	2
224	в эпоху	1	2
225	с ним	5	2
226	и нужно	1	2
227	произведения как	1	2
228	во всей	1	2
229	это не	1	2
230	если это	1	2
231	этом смысле	4	2
232	один из	4	2
233	с ними	2	2
234	по этому	2	2
235	не будет	1	2
236	потому что	11	2
237	в качестве	6	2
238	и других	2	2
239	в известной	1	2
240	в котором	6	2
241	в конце	9	2
242	как его	1	2
243	нее не	1	2
244	не просто	1	2
245	со стороны	2	2
246	даже не	2	2
247	а именно	2	2
248	между ними	1	2
249	что для	4	2
250	до конца	1	2
251	конце концов	3	2
252	его как	1	2
253	к его	3	2
254	как это	7	2
255	в тех	2	2
256	из этого	2	2
257	как предмет	1	2
258	но это	3	2
259	в чем	2	2
260	к другим	1	2
261	а все	1	2
262	а к	22	2
263	сказать что	7	2
264	частным случаем	1	2
265	ее в	1	2
266	и другие	1	2
267	именно здесь	1	2
268	в таком	1	2
269	которых не	1	1
270	как известно	1	1
271	и а	2	1
272	самостоятельность и	1	1
273	и хотя	1	1
274	и через	3	1
275	того же	6	1
276	и без	1	1
277	своей основной	1	1
278	к своей	2	1
279	нам кажется	1	1
280	значение эти	1	1
281	мировоззрения и	1	1
282	из его	4	1
283	ведь и	1	1
284	и больше	1	1
285	он стоит	1	1
286	и литературы	1	1
287	поэзии и	1	1
288	той же	2	1
289	их и	1	1
290	есть не	1	1
291	самые разнообразные	1	1
292	и была	1	1
293	том насколько	1	1
294	эти факты	1	1
295	мы имеем	1	1
296	семейной жизни	2	1
297	что если	1	1
298	рассказывается о	1	1
299	на место	1	1
300	нам в	1	1
301	реальной жизнью	1	1
302	этом не	2	1
303	этот был	1	1
304	но она	3	1
305	что иное	1	1
306	не вполне	1	1
307	но даже	2	1
308	столько же	1	1
309	которые он	1	1
310	работы в	1	1
311	ней как	1	1
312	иное как	1	1
313	бы то	1	1
314	в различных	1	1
315	выдвинуть на	1	1
316	то он	6	1
317	мы будем	2	1
318	с трудом	1	1
319	в эти	7	1
320	его развития	1	1
321	что во	1	1
322	дает нам	1	1
323	и критикой	1	1
324	встречи с	1	1
325	в своем	4	1
326	в одних	1	1
327	всей этой	2	1
328	и есть	1	1
329	не отрицал	2	1
330	и всецело	1	1
331	даже просто	1	1
332	более или	3	1
333	в этот	4	1
334	и глубокой	1	1
335	так или	1	1
336	в нашем	4	1
337	то я	1	1
338	которые в	1	1
339	выражение в	1	1
340	знаем в	1	1
341	что к	3	1
342	им в	1	1
343	и тот	2	1
344	был не	2	1
345	но он	5	1
346	столько с	1	1
347	как он	4	1
348	на то	5	1
349	если он	1	1
350	но на	3	1
351	всей его	2	1
352	не могла	1	1
353	выходя за	1	1
354	истины в	1	1
355	от всяких	1	1
356	больше всего	2	1
357	вера в	2	1
358	остались в	1	1
359	тем не	2	1
360	творца и	1	1
361	и еще	2	1
362	нее и	1	1
363	и которые	1	1
364	том чтобы	2	1
365	всех своих	1	1
366	именно это	1	1
367	говоря в	1	1
368	он об	1	1
369	от других	1	1
370	смысле в	1	1
371	другого человека	1	1
372	же касается	4	1
373	в виде	3	1
374	который и	1	1
375	верховной цели	2	1
376	например с	1	1
377	и единственным	1	1
378	сколько с	1	1
379	из первых	1	1
380	кажется что	2	1
381	в них	2	1
382	ни одной	1	1
383	период его	1	1
384	слово было	1	1
385	были в	2	1
386	в самую	1	1
387	дела и	1	1
388	в данном	1	1
389	убеждения и	1	1
390	чем в	1	1
391	всех не	1	1
392	остается в	1	1
393	этой области	2	1
394	или менее	3	1
395	можно только	1	1
396	но если	1	1
397	и тут	2	1
398	каким был	1	1
399	и понятия	1	1
400	знаем что	2	1
401	что уже	1	1
402	в частном	1	1
403	вопрос о	1	1
404	строго говоря	1	1
405	однако от	1	1
406	есть его	1	1
407	не будем	2	1
408	для которых	1	1
409	в россии	4	1
410	никак нельзя	2	1
411	эта эволюция	1	1
412	любовь к	1	1
413	не для	1	1
414	и вся	1	1
415	эти направления	1	1
416	как будет	1	1
417	указаний на	1	1
418	и против	1	1
419	не менее	2	1
420	не раз	4	1
421	а а	4	1
422	о значении	1	1
423	иной раз	6	1
424	который был	2	1
425	дело в	4	1
426	одной плоскости	1	1
427	и притом	3	1
428	на него	3	1
429	к изучению	2	1
430	родился в	1	1
431	бытия и	1	1
432	о них	1	1
433	чем не	2	1
434	не могло	1	1
435	делать из	1	1
436	вообще существует	1	1
437	близкий к	1	1
438	учения о	1	1
439	к ней	4	1
440	и учение	1	1
441	за исключением	1	1
442	во всем	4	1
443	далеко не	1	1
444	бы по	1	1
445	только с	1	1
446	многие из	1	1
447	одним из	2	1
448	у нас	6	1
449	настоящего времени	1	1
450	и глубину	1	1
451	которых он	2	1
452	уже о	1	1
453	самостоятельный и	1	1
454	относиться к	1	1
455	и вполне	1	1
456	и такие	2	1
457	только еще	1	1
458	этого и	1	1
459	слова с	1	1
460	в каждом	1	1
461	для себя	2	1
462	вовсе без	1	1
463	и оценивает	1	1
464	свою очередь	1	1
465	говоря уже	1	1
466	учении о	1	1
467	как отрицание	1	1
468	уже с	1	1
469	первого же	3	1
470	только то	1	1
471	в произведении	1	1
472	правильно но	1	1
473	из воспоминаний	2	1
474	и сам	6	1
475	то как	2	1
476	направления так	1	1
477	те же	1	1
478	ясно что	2	1
479	с самим	1	1
480	во многом	2	1
481	она была	2	1
482	ли и	1	1
483	на них	1	1
484	можно сказать	6	1
485	связанная с	1	1
486	образом в	2	1
487	очень важен	1	1
488	только потому	1	1
489	в порядке	1	1
490	слова из	1	1
491	вот почему	1	1
492	она уже	1	1
493	о том	11	1
494	и поэтому	1	1
495	настоящее время	1	1
496	и являются	1	1
497	с одной	1	1
498	на что	2	1
499	что его	4	1
500	роль принадлежит	1	1
501	время не	1	1
502	и во	1	1
503	все в	1	1
504	всего на	2	1
505	и всю	1	1
506	вся эта	3	1
507	этому поводу	1	1
508	и хорошо	1	1
509	для той	1	1
510	и ни	2	1
511	что бы	1	1
512	совсем в	1	1
513	говорить только	1	1
514	и мы	2	1
515	содержания но	1	1
516	оказалось что	1	1
517	он стал	2	1
518	представляют собою	1	1
519	тот же	3	1
520	согласиться с	1	1
521	мы увидим	3	1
522	что даже	1	1
523	в себе	4	1
524	и действительно	3	1
525	и так	3	1
526	жить и	1	1
527	от них	1	1
528	так что	10	1
529	для всех	1	1
530	конечно не	2	1
531	предмета он	1	1
532	этому вопросу	1	1
533	не из	2	1
534	г и	1	1
535	последних своих	1	1
536	который как	1	1
537	пока не	1	1
538	и навсегда	1	1
539	и деловой	1	1
540	с этими	3	1
541	ему принадлежит	1	1
542	но что	3	1
543	не выходя	1	1
544	по тем	1	1
545	без того	1	1
546	или иначе	1	1
547	за пределы	3	1
548	естественно и	1	1
549	по своим	3	1
550	в свою	1	1
551	один и	2	1
552	ранний период	1	1
553	дать более	1	1
554	перешли к	1	1
555	говорит о	1	1
556	из тех	1	1
557	был в	3	1
558	на этот	6	1
559	поскольку она	1	1
560	именно так	2	1
561	в руках	1	1
562	было ему	2	1
563	на эту	1	1
564	которые так	1	1
565	если не	3	1
566	связь с	1	1
567	так же	1	1
568	он уже	4	1
569	в историю	1	1
570	и иной	1	1
571	к своему	3	1
572	где же	2	1
573	до настоящего	1	1
574	о чем	1	1
575	без другого	1	1
576	одной стороны	1	1
577	такого рода	4	1
578	смысле этого	1	1
579	пишет в	1	1
580	не удалось	1	1
581	в литературе	1	1
582	факты и	1	1
583	не что	1	1
584	да и	4	1
585	этого слова	1	1
586	л в	1	1
587	о его	2	1
588	под влиянием	3	1
589	в более	1	1
590	это новое	1	1
591	процесса или	1	1
592	не существует	1	1
593	с позитивизмом	2	1
594	показать как	1	1
595	в настоящее	1	1
596	о нем	7	1
597	для нас	4	1
598	особого рода	2	1
599	собственно говоря	3	1
600	то о	1	1
601	для его	2	1
602	вообще в	1	1
603	мы должны	2	1
604	несмотря на	4	1
605	или не	1	1
606	же в	1	1
607	хотя в	1	1
608	е в	7	1
609	его к	2	1
610	одной из	2	1
611	не своим	1	1
612	это все	1	1
613	не говоря	1	1
614	отношением к	2	1
615	жизни а	1	1
616	можно утверждать	1	1
617	по которой	1	1
618	значение не	1	1
619	в каком	2	1
620	и отрицание	1	1
621	как на	2	1
622	в своих	5	1
623	и эта	1	1
624	и особенно	4	1
