N	4gram	Losev_Prob_1	Morfolog
1	в связи с этим	1	4
2	как мы увидим ниже	2	3
3	в то время как	1	2
4	это не значит что	1	2
5	действующих лиц в этой	1	1
6	не имеет ничего общего	2	1
7	в настоящее время уже	1	1
8	что бы то ни	1	1
9	и т д здесь	1	1
10	и в других случаях	1	1
11	же в этих случаях	1	1
12	одно и то же	1	1
13	не что иное как	2	1
14	и т д все	1	1
15	точно так же и	2	1
16	иметь в виду следующее	1	1
17	то это значит что	1	1
18	во всех этих случаях	1	1
19	во что бы то	1	1
20	прежде чем перейти к	2	1
21	бы то ни стало	1	1
22	есть не что иное	2	1
