N	2gram	Berdyaev_N_1	Narrotol
1	не только	5	31
2	но и	3	27
3	и не	11	23
4	может быть	7	15
5	как и	7	13
6	а не	17	13
7	а в	2	13
8	в этом	7	12
9	только в	1	12
10	и в	16	11
11	своего рода	1	10
12	и его	1	10
13	такого рода	2	10
14	времени и	2	9
15	во времени	1	9
16	то что	4	9
17	не может	16	8
18	в том	8	8
19	уже не	2	8
20	и т.п	2	8
21	но в	2	7
22	том что	2	7
23	на протяжении	2	7
24	у него	2	7
25	в самом	1	6
26	не в	6	6
27	в этой	1	6
28	в себе	2	6
29	к тому	3	6
30	в его	1	6
31	а также	1	6
32	жизни и	8	6
33	и на	2	5
34	так и	2	5
35	в своей	3	5
36	потому что	4	5
37	можно сказать	1	5
38	на себя	1	4
39	еще не	3	4
40	истории в	5	4
41	с его	6	4
42	но не	2	4
43	как в	3	4
44	хотя и	2	4
45	из этих	1	4
46	в нем	5	4
47	в мире	3	4
48	из них	1	4
49	по себе	1	4
50	в то	2	4
51	одна из	2	4
52	не по	1	4
53	того чтобы	2	4
54	никогда не	6	4
55	к себе	1	4
56	в ней	5	4
57	о том	4	4
58	а во	1	4
59	к нему	1	4
60	слова в	1	4
61	прежде всего	4	4
62	или не	1	4
63	мы не	2	3
64	в центре	2	3
65	в своем	1	3
66	к чему	1	3
67	он не	8	3
68	для того	1	3
69	подобно тому	3	3
70	и с	2	3
71	это не	4	3
72	в жизни	5	3
73	не всегда	1	3
74	их в	1	3
75	не менее	4	3
76	как будто	2	3
77	у нас	1	3
78	истории не	3	3
79	еще в	1	3
80	лишь в	6	3
81	что он	1	3
82	не было	4	3
83	как это	2	3
84	тому как	3	3
85	быть не	1	3
86	но для	2	3
87	это уже	1	3
88	не существует	3	3
89	и все	4	3
90	жизни а	1	3
91	что в	9	3
92	и через	1	2
93	переход от	1	2
94	в зависимости	1	2
95	героя но	1	2
96	и для	4	2
97	в сущности	1	2
98	жизни как	2	2
99	более не	2	2
100	зависимости от	1	2
101	в чем	1	2
102	отличие от	1	2
103	в той	1	2
104	истории он	1	2
105	в известном	1	2
106	роль в	2	2
107	не могла	2	2
108	и еще	1	2
109	заключает в	1	2
110	человека в	1	2
111	не будет	7	2
112	а по	1	2
113	это было	3	2
114	для них	1	2
115	этого не	1	2
116	он и	1	2
117	и того	1	2
118	в этих	1	2
119	в отличие	1	2
120	сих пор	1	2
121	войне и	1	2
122	она не	3	2
123	не имеет	4	2
124	истории как	1	2
125	к жизни	3	2
126	оно не	1	2
127	с ее	5	2
128	другой стороны	2	2
129	и про	1	2
130	с ним	1	2
131	то они	1	2
132	до сих	1	2
133	с другой	3	2
134	времени в	2	2
135	это была	1	2
136	и только	1	2
137	известном смысле	1	2
138	всяком случае	1	2
139	который в	2	2
140	себя в	2	2
141	сами по	1	2
142	в конце	1	2
143	к ним	3	2
144	друг друга	1	2
145	и даже	2	2
146	в области	1	2
147	на ее	1	2
148	было и	1	2
149	что не	1	2
150	а на	1	2
151	зависит от	2	2
152	человеческой жизни	1	2
153	что мы	1	2
154	вместе с	2	2
155	по своему	4	2
156	и от	2	2
157	которая в	1	2
158	хотя бы	2	2
159	к ее	3	2
160	жизни в	3	2
161	сказать что	3	2
162	в свою	1	2
163	все что	1	2
164	во всяком	1	2
165	обращена к	1	1
166	же как	2	1
167	не имел	1	1
168	только потому	1	1
169	это и	2	1
170	и есть	10	1
171	что платон	1	1
172	и до	1	1
173	мы уже	1	1
174	из всех	1	1
175	христианской культуры	1	1
176	мир не	1	1
177	и другая	1	1
178	жизни это	1	1
179	же мере	1	1
180	быть в	2	1
181	без обращения	1	1
182	значение и	1	1
183	которую она	2	1
184	с этим	2	1
185	обращения к	1	1
186	далеко ушла	1	1
187	и к	5	1
188	в которой	1	1
189	тоже не	1	1
190	ни одна	2	1
191	приводит к	1	1
192	особое место	1	1
193	мира но	1	1
194	но ведь	1	1
195	человек не	1	1
196	что она	2	1
197	одному из	1	1
198	в силу	1	1
199	людей и	1	1
200	существенным моментом	1	1
201	в нее	1	1
202	но все	1	1
203	значительной степени	1	1
204	жить в	1	1
205	может остаться	1	1
206	в одну	2	1
207	значение в	1	1
208	чего он	1	1
209	том случае	1	1
210	них не	1	1
211	с другими	1	1
212	это одна	1	1
213	он есть	1	1
214	лишь на	1	1
215	есть время	1	1
216	все слова	1	1
217	в ее	3	1
218	с тем	3	1
219	и было	2	1
220	может идти	1	1
221	во время	1	1
222	она сама	1	1
223	и всеми	1	1
224	в котором	1	1
225	что вся	1	1
226	часто не	1	1
227	в обнаружении	1	1
228	мир и	2	1
229	но во	1	1
230	обращение к	2	1
231	что этот	1	1
232	нас к	1	1
233	так как	1	1
234	из их	1	1
235	к подлинному	2	1
236	для всех	1	1
237	жизни не	3	1
238	они являются	1	1
239	по своей	1	1
240	во всем	1	1
241	не останется	1	1
242	как не	8	1
243	так называемый	1	1
244	человека так	1	1
245	ему не	1	1
246	иного мира	1	1
247	в мировой	2	1
248	могут быть	2	1
249	понять что	1	1
250	еще при	1	1
251	должен быть	5	1
252	в виду	1	1
253	в более	1	1
254	слова а	1	1
