N	3gram	Berdyaev_V_1	NovoeSre
1	во имя свободы	3	3
2	никогда не было	1	2
3	в нем нет	2	2
4	вместе с тем	1	2
5	с другой стороны	1	2
6	в нашу эпоху	1	2
7	в платоновском смысле	1	1
8	я думаю что	1	1
9	не верят в	3	1
10	и в жизни	1	1
11	в существе своем	2	1
12	одна из сторон	1	1
13	есть прежде всего	1	1
14	ни в социализме	1	1
15	но и в	2	1
16	свободы от бога	2	1
17	не будет уже	2	1
18	зла в будущем	1	1
19	истина должна быть	1	1
20	в известном смысле	1	1
21	не могут быть	1	1
22	царства божьего и	1	1
23	о религиозном смысле	1	1
24	бог не есть	1	1
25	и вместе с	1	1
26	имя свободы и	1	1
27	не в силах	2	1
28	не имеет никакой	1	1
29	если нет бога	1	1
30	никогда еще не	2	1
31	в мир и	1	1
32	от бога и	1	1
33	в том что	2	1
34	как и в	1	1
