N	2gram	Bakhtin_KF_1	Vladivir
1	и в	24	40
2	то что	7	28
3	не только	5	25
4	и не	26	25
5	то есть	1	24
6	теоретической философии	1	20
7	том что	4	18
8	в том	6	18
9	но и	9	18
10	также и	1	17
11	что в	4	17
12	в этом	14	16
13	в его	40	14
14	не может	27	14
15	в виде	2	13
16	точки зрения	12	13
17	вовсе не	7	13
18	только в	16	13
19	а именно	1	12
20	едва ли	2	11
21	теоретическая философия	1	11
22	никогда не	5	11
23	потому что	2	11
24	о том	3	11
25	не просто	1	10
26	ни в	12	10
27	тем не	2	10
28	и его	17	10
29	не есть	20	10
30	прежде всего	2	10
31	как раз	1	10
32	и потому	2	10
33	это есть	2	10
34	и то	2	9
35	уже не	7	9
36	что это	3	9
37	в себе	21	9
38	и с	1	9
39	в своей	10	9
40	не менее	3	9
41	есть только	1	9
42	в своем	16	8
43	в этой	2	8
44	он не	6	8
45	не был	1	8
46	раз и	2	8
47	для него	8	8
48	может быть	45	8
49	а не	17	8
50	а только	1	7
51	же с	1	7
52	хотя и	1	7
53	и как	2	7
54	что все	1	7
55	с тем	2	7
56	как и	5	7
57	несмотря на	1	7
58	в то	3	7
59	что и	7	7
60	того что	3	7
61	так как	1	7
62	вместе с	1	7
63	к тому	1	7
64	а в	4	7
65	в своих	3	7
66	смысле слова	1	6
67	и на	3	6
68	свое бытие	2	6
69	не будет	2	6
70	не мог	1	6
71	с точки	9	6
72	по себе	2	6
73	в смысле	6	6
74	во всем	7	6
75	и это	12	6
76	и от	1	6
77	так и	2	6
78	об этом	1	6
79	и здесь	7	6
80	значит что	1	6
81	и даже	1	6
82	если не	2	6
83	это значит	1	6
84	но это	6	6
85	хотя бы	4	6
86	отношения к	1	5
87	мы уже	1	5
88	в ней	3	5
89	совсем не	2	5
90	отнюдь не	6	5
91	в истории	1	5
92	все эти	10	5
93	содержит в	1	5
94	должно быть	6	5
95	в отношении	1	5
96	дело в	2	5
97	тем что	3	5
98	для нас	4	5
99	ничего не	3	5
100	ничего общего	2	5
101	для себя	5	5
102	что он	2	5
103	только на	1	5
104	в одном	4	5
105	не было	8	5
106	в данном	2	5
107	между прочим	1	5
108	в самом	1	4
109	то же	5	4
110	и о	1	4
111	вопрос о	2	4
112	философии но	2	4
113	еще не	4	4
114	но не	12	4
115	все же	5	4
116	но в	5	4
117	бы и	3	4
118	на то	1	4
119	оно должно	1	4
120	было бы	8	4
121	ведь если	1	4
122	чем в	1	4
123	такой же	1	4
124	в котором	24	4
125	тому что	2	4
126	не имеет	5	4
127	или как	2	4
128	в каком	4	4
129	только при	1	4
130	не с	1	4
131	мог бы	1	4
132	и можно	1	4
133	если мы	1	4
134	от того	3	4
135	здесь в	1	4
136	а с	2	4
137	до конца	3	4
138	и все	7	4
139	него в	1	4
140	как это	1	4
141	если оно	1	4
142	поскольку он	2	4
143	в результате	1	4
144	мы должны	1	4
145	на самом	3	3
146	мы имеем	5	3
147	на первом	2	3
148	и тут	1	3
149	я не	6	3
150	здесь не	3	3
151	бы то	2	3
152	в чем	4	3
153	независимо от	3	3
154	в нем	28	3
155	при этом	4	3
156	но все	5	3
157	то ни	2	3
158	том случае	1	3
159	в качестве	2	3
160	это было	2	3
161	это не	10	3
162	этом смысле	3	3
163	бытие и	3	3
164	этого не	1	3
165	первом плане	2	3
166	нисколько не	4	3
167	не в	12	3
168	в философии	1	3
169	что этот	3	3
170	что есть	2	3
171	того чтобы	2	3
172	сводится к	2	3
173	в духе	1	3
174	отличается от	1	3
175	оно не	2	3
176	него как	1	3
177	в виду	3	3
178	истории философии	1	3
179	философия в	1	3
180	жизнь и	2	3
181	философии жизни	2	3
182	если бы	8	3
183	настоящее время	1	3
184	к нему	12	3
185	но нельзя	1	3
186	и тем	3	3
187	и чисто	1	3
188	был бы	3	3
189	всяком случае	1	3
190	само по	1	3
191	и только	6	3
192	истина и	1	3
193	именно в	5	3
194	но о	1	3
195	его теоретической	1	3
196	как бы	9	3
197	же самое	1	3
198	но для	2	3
199	и для	9	3
200	в настоящее	1	3
201	или не	1	3
202	же в	1	3
203	ее в	1	3
204	и эта	2	3
205	во всяком	1	3
206	в этот	1	2
207	не имеют	1	2
208	должна быть	4	2
209	и этот	3	2
210	и за	2	2
211	и само	1	2
212	мы не	3	2
213	вся система	1	2
214	не нужно	2	2
215	быть в	4	2
216	за свое	4	2
217	но как	5	2
218	ни только	1	2
219	в теоретической	2	2
220	себе и	3	2
221	есть просто	1	2
222	и могло	1	2
223	с этим	1	2
224	и наконец	1	2
225	и к	1	2
226	от этого	2	2
227	в которой	1	2
228	в целом	10	2
229	в нашем	1	2
230	что она	1	2
231	он ни	2	2
232	а скорее	1	2
233	как с	1	2
234	не к	1	2
235	не как	4	2
236	и по	1	2
237	всех своих	4	2
238	же не	1	2
239	в другом	3	2
240	должен был	1	2
241	в жизни	2	2
242	в это	2	2
243	но уже	1	2
244	были в	1	2
245	этого факта	1	2
246	философии в	2	2
247	в этих	1	2
248	в их	8	2
249	все и	1	2
250	можно ли	1	2
251	тем самым	4	2
252	что эта	2	2
253	она не	1	2
254	но только	1	2
255	же время	2	2
256	к добру	1	2
257	ровно ничего	1	2
258	по своей	1	2
259	здесь же	1	2
260	точке зрения	1	2
261	той или	3	2
262	философии это	1	2
263	не существует	1	2
264	всей своей	2	2
265	в мире	6	2
266	здесь нет	2	2
267	можно только	1	2
268	и всякого	1	2
269	возможна только	1	2
270	но мы	1	2
271	не содержит	1	2
272	его в	5	2
273	когда оно	1	2
274	познания в	2	2
275	в каких	1	2
276	быть и	3	2
277	но с	1	2
278	одной из	1	2
279	в какой	1	2
280	и так	1	2
281	мы будем	1	2
282	не можем	1	2
283	а то	1	2
284	само это	1	2
285	себе в	1	2
286	могло бы	4	2
287	содержания и	2	2
288	не о	2	2
289	друг друга	1	2
290	бытия и	10	2
291	только с	3	2
292	основы жизни	1	2
293	для того	3	2
294	живой жизни	1	2
295	никогда и	1	2
296	со стороны	7	2
297	и самая	1	2
298	только к	1	2
299	больше и	1	2
300	понятие о	1	2
301	что мы	1	2
302	как не	1	2
303	но оно	1	2
304	нет ничего	1	2
305	а есть	1	2
306	на почве	1	2
307	самого себя	1	2
308	при условии	2	2
309	не является	1	2
310	которых он	1	2
311	но такой	1	2
312	и ни	3	2
313	ни к	2	2
314	только что	1	2
315	все они	1	2
316	в материальной	1	2
317	но можно	4	2
318	совершенно не	6	2
319	того же	1	2
320	к его	1	2
321	жизни а	1	2
322	с его	1	2
323	же и	1	2
324	ни на	1	2
325	к этому	2	2
326	нужно помнить	1	1
327	как просто	1	1
328	я и	2	1
329	можно говорить	1	1
330	чтобы не	2	1
331	себя как	2	1
332	мы здесь	2	1
333	и понимает	1	1
334	не делает	1	1
335	противоречие с	1	1
336	единстве и	3	1
337	это и	2	1
338	и есть	9	1
339	в чисто	1	1
340	из его	3	1
341	из всех	1	1
