N	3gram	Tiupa_Narr_2	Sovremen
1	с точки зрения	2	5
2	в зависимости от	1	4
3	не может быть	2	4
4	не может не	1	3
5	тем не менее	4	2
6	во всяком случае	1	2
7	в отличие от	5	2
8	времени и пространства	2	2
9	то же самое	1	2
10	в том как	2	1
11	что иное как	1	1
12	в известном смысле	3	1
13	одной стороны и	1	1
14	которая не может	1	1
15	в которой он	1	1
16	не в том	1	1
17	в связи с	1	1
18	в этом направлении	1	1
19	по отношению к	5	1
20	на самом деле	2	1
21	в этом смысле	1	1
22	быть в конечном	1	1
23	так же как	2	1
24	а не только	1	1
25	и все же	2	1
26	до сих пор	1	1
27	то же время	3	1
28	и в то	1	1
29	по аналогии с	1	1
30	есть не что	1	1
31	что в ней	1	1
32	но они не	1	1
33	в конечном счете	3	1
34	можно было бы	1	1
35	и не может	2	1
36	в самом деле	1	1
37	по его мнению	1	1
38	той или иной	3	1
39	может быть только	1	1
40	в то же	3	1
41	не что иное	1	1
42	в том что	8	1
43	в данном случае	6	1
44	на этот вопрос	1	1
45	и у нас	2	1
46	в обоих случаях	1	1
47	на другой день	1	1
48	с одной стороны	5	1
49	и к другому	1	1
50	если бы эти	1	1
