N	2gram	Savitsky_P_1	Psycholo
1	то что	4	37
2	и в	14	30
3	в том	9	27
4	что в	4	24
5	и что	1	23
6	потому что	3	23
7	том что	4	21
8	того чтобы	1	20
9	для того	3	20
10	как бы	4	19
11	на то	1	17
12	не только	17	16
13	и мы	2	16
14	если мы	1	16
15	в этом	10	14
16	в самом	1	14
17	как раз	2	13
18	так же	1	13
19	с одной	3	12
20	одной стороны	3	12
21	вместе с	1	12
22	может быть	5	11
23	если бы	4	11
24	что мы	3	11
25	как на	2	11
26	и то	1	9
27	никогда не	1	9
28	с другой	5	9
29	для этого	1	9
30	не может	4	9
31	что это	1	8
32	заключается в	3	8
33	с тем	3	8
34	не в	5	8
35	и это	2	8
36	того что	2	8
37	мы видим	1	8
38	а не	2	8
39	могут быть	3	8
40	и т	3	7
41	то же	9	7
42	но не	3	7
43	все же	1	7
44	и как	3	7
45	в нем	3	7
46	точки зрения	3	7
47	по себе	4	7
48	совершенно ясно	1	7
49	этих двух	1	7
50	мы можем	1	7
51	что если	1	6
52	в своем	4	6
53	и если	4	6
54	что все	1	6
55	ясно что	1	6
56	как и	1	6
57	никак не	2	6
58	что с	1	6
59	и здесь	1	6
60	о котором	1	6
61	и тем	2	6
62	уже в	1	6
63	но и	6	6
64	именно в	2	6
65	мы все	1	6
66	и не	12	6
67	что оно	1	6
68	и есть	2	5
69	еще не	1	5
70	что именно	1	5
71	в себе	3	5
72	в этой	1	5
73	было бы	6	5
74	с и	1	5
75	но в	9	5
76	сводится к	3	5
77	только в	7	5
78	именно на	1	5
79	а с	1	5
80	и потому	4	5
81	обратиться к	1	5
82	другой стороны	1	5
83	в ней	6	4
84	стороны и	2	4
85	могли бы	1	4
86	и к	4	4
87	есть не	2	4
88	в них	2	4
89	что эта	1	4
90	и именно	1	4
91	казалось бы	1	4
92	как она	1	4
93	заключает в	2	4
94	и страсти	1	4
95	по сравнению	2	4
96	мысль о	2	4
97	в его	2	4
98	только что	1	4
99	только на	1	4
100	прежде всего	3	4
101	как ни	1	4
102	там где	1	4
103	в частности	2	4
104	сравнению с	1	4
105	в результате	1	4
106	а в	4	4
107	не есть	1	4
108	тем же	1	3
109	смысл этого	1	3
110	мы не	3	3
111	и о	5	3
112	и на	1	3
113	в ее	2	3
114	в которой	1	3
115	из этих	1	3
116	не как	1	3
117	в силу	2	3
118	одно и	1	3
119	это не	3	3
120	т д	1	3
121	и уже	1	3
122	в этих	1	3
123	бы мы	1	3
124	вопрос о	1	3
125	и вся	1	3
126	есть нечто	2	3
127	одна из	2	3
128	находятся в	1	3
129	в каком	1	3
130	с другом	1	3
131	что при	1	3
132	идет речь	1	3
133	именно потому	1	3
134	что и	1	3
135	и только	1	3
136	тот же	3	3
137	из двух	1	3
138	со стороны	2	3
139	с которым	1	3
140	в данном	1	3
141	думается что	1	3
142	друг с	1	3
143	для нас	2	3
144	мы должны	4	3
145	хотя бы	8	3
146	в психологии	1	3
147	в трех	1	3
148	и другие	1	3
149	это в	1	3
150	от этой	1	2
151	же как	1	2
152	по преимуществу	1	2
153	должна быть	1	2
154	отношения к	2	2
155	которую мы	2	2
156	он был	1	2
157	с его	1	2
158	во всех	2	2
159	различия между	1	2
160	отличие от	1	2
161	с этим	2	2
162	что по	1	2
163	и вот	2	2
164	что от	1	2
