N	2gram	Trubetskoy_1	UchenyiS
1	и в	14	14
2	а не	2	10
3	не только	9	10
4	прежде всего	8	8
5	и не	19	8
6	не может	22	7
7	в этом	17	7
8	то что	13	7
9	может быть	9	6
10	то же	11	5
11	и только	5	5
12	все это	6	5
13	хотя бы	5	5
14	с другой	1	4
15	но и	10	4
16	что такое	2	4
17	в их	4	4
18	в россии	6	4
19	в этой	4	4
20	конечно не	5	4
21	то ни	4	3
22	вряд ли	3	3
23	и то	4	3
24	это не	1	3
25	было бы	5	3
26	как и	4	3
27	для этого	3	3
28	в частности	2	3
29	в своей	5	3
30	и т.д	4	3
31	бы то	4	3
32	очевидно что	1	3
33	в то	10	3
34	все же	4	3
35	но в	2	3
36	формы в	1	3
37	не следует	1	3
38	же время	10	3
39	в области	2	3
40	только к	3	3
41	по нашему	1	3
42	для него	6	3
43	ни было	1	3
44	не о	2	3
45	что все	3	2
46	а между	5	2
47	крайней мере	1	2
48	и с	7	2
49	до сих	5	2
50	самом деле	7	2
51	противном случае	1	2
52	должна быть	2	2
53	в некоторых	2	2
54	превращается в	1	2
55	мы не	1	2
56	на эту	2	2
57	если бы	6	2
58	не столько	1	2
59	если не	2	2
60	том что	9	2
61	на первый	1	2
62	материал для	1	2
63	сводится к	3	2
64	но даже	2	2
65	надо было	1	2
66	ни от	2	2
67	но не	4	2
68	в сторону	1	2
69	в его	4	2
70	по крайней	1	2
71	по существу	5	2
72	что и	3	2
73	по себе	2	2
74	конце концов	3	2
75	сих пор	5	2
76	но это	2	2
77	в противном	1	2
78	в том	17	2
79	тех или	1	2
80	работы по	1	2
81	и для	6	2
82	что он	6	2
83	в себе	9	2
84	при таком	1	2
85	в самом	3	2
86	неудивительно что	1	2
87	между тем	5	2
88	и у	1	2
89	только в	5	2
90	не в	4	2
91	для всех	6	2
92	и является	2	2
93	вопроса о	1	2
94	все они	3	2
95	не есть	3	2
96	этом отношении	1	2
97	или иных	1	2
98	приходится признать	1	2
99	конечно нет	1	2
100	его и	2	2
101	всех этих	3	2
102	их и	1	2
103	не могут	4	2
104	могут быть	1	2
105	в конце	3	2
106	смысле этого	1	2
107	а о	1	2
108	же самое	1	2
109	тем что	3	2
110	таким образом	11	2
111	даже и	2	2
112	для себя	2	1
113	и это	1	1
114	тем в	1	1
115	в последние	5	1
116	что такой	4	1
117	об этом	1	1
118	же как	1	1
119	искусство и	1	1
120	но по	1	1
121	даже не	2	1
122	без них	1	1
123	то есть	1	1
124	говорить не	1	1
125	значительной мере	2	1
126	не поднимается	1	1
127	входит в	1	1
128	данном случае	3	1
129	только при	1	1
130	с самим	2	1
131	другом не	1	1
132	и прежде	1	1
133	у тех	1	1
134	идет не	1	1
135	степени и	1	1
136	это для	1	1
137	свое место	1	1
138	к которой	6	1
139	что для	3	1
140	все черты	1	1
141	никогда не	5	1
142	к созданию	1	1
143	быть тем	1	1
144	так и	1	1
145	в сфере	1	1
146	этого не	2	1
147	столько же	1	1
148	до конца	1	1
149	у других	2	1
150	с тем	6	1
151	не простой	1	1
152	со своими	1	1
153	ничего подобного	1	1
154	а где	1	1
155	и даже	2	1
156	должно быть	3	1
157	иначе говоря	1	1
158	и форм	1	1
159	мировоззрение в	1	1
160	остается в	2	1
161	можно сказать	1	1
162	как элемент	1	1
163	или менее	4	1
164	все элементы	1	1
165	в порядке	2	1
166	как на	8	1
167	приводит к	4	1
168	о том	7	1
169	только возможно	1	1
170	в ней	2	1
171	и потому	3	1
172	в котором	2	1
173	только для	2	1
174	и что	2	1
175	он был	1	1
176	в различных	1	1
177	из которых	5	1
178	в значительной	3	1
179	чем то	1	1
180	признать что	6	1
181	он будет	4	1
182	встречается у	1	1
183	в течение	2	1
184	ее к	1	1
185	он может	1	1
186	отказ от	1	1
187	в данном	7	1
188	что же	4	1
189	и тенденция	1	1
190	бы в	1	1
191	переходит в	1	1
192	того что	3	1
193	друг другу	2	1
194	в которых	1	1
195	эта работа	2	1
196	их в	2	1
197	друг с	14	1
198	на его	1	1
199	тому чтобы	4	1
200	оно является	1	1
201	нет и	1	1
202	на то	5	1
203	быть не	1	1
204	и вся	1	1
205	отнюдь не	7	1
206	она не	2	1
207	задачи и	1	1
208	в преодолении	1	1
209	этом случае	3	1
210	первый взгляд	1	1
211	в своем	6	1
212	что с	2	1
213	но для	2	1
214	имеет свою	1	1
215	себе еще	1	1
216	и все	1	1
217	обе эти	1	1
218	что только	2	1
219	является оно	1	1
220	у кого	1	1
221	сколько и	1	1
222	более или	4	1
223	наталкиваемся на	1	1
224	и действительно	1	1
225	себя на	2	1
226	работе есть	1	1
227	в которой	1	1
228	о котором	3	1
229	больше чем	2	1
230	бы ни	2	1
231	это то	1	1
232	не было	3	1
233	это же	1	1
234	тогда когда	4	1
235	в качестве	3	1
236	тем более	1	1
237	что по	1	1
238	же остается	1	1
239	уже не	2	1
240	то и	1	1
241	в виде	3	1
242	в нем	5	1
243	на роль	1	1
244	представляется чрезвычайно	1	1
245	или даже	1	1
246	психики и	1	1
247	с другом	14	1
248	но если	3	1
249	он не	5	1
250	о которой	1	1
251	будет не	2	1
252	они в	1	1
253	исходить из	1	1
254	и материал	1	1
255	не для	1	1
256	если у	1	1
257	у него	2	1
258	этого и	1	1
259	мы можем	2	1
260	о сущности	1	1
261	ее в	2	1
262	находит себе	1	1
263	это в	2	1
264	а это	1	1
265	что при	1	1
266	отказаться от	4	1
267	к этому	1	1
268	что в	4	1
269	существование в	2	1
270	признание что	3	1
271	в таком	2	1
272	все что	4	1
273	бы это	1	1
274	от которой	1	1
