N	2gram	Propp_Russ_2	VelikijI
1	и не	1	20
2	и в	29	16
3	так как	13	9
4	то что	5	9
5	еще не	6	8
6	что они	1	7
7	на земле	5	7
8	а не	4	7
9	и потому	1	7
10	человека и	1	6
11	на себя	2	5
12	но и	8	5
13	по пути	1	5
14	того что	3	5
15	хотя и	1	5
16	все это	10	5
17	что есть	1	5
18	как бы	18	5
19	и есть	1	4
20	в образе	2	4
21	говорить о	1	4
22	в его	1	4
23	в этом	11	4
24	что он	1	4
25	потому что	5	4
26	в нем	1	4
27	так и	1	4
28	что все	1	4
29	как и	11	4
30	в котором	3	4
31	в ней	1	4
32	и все	4	4
33	это еще	1	4
34	все что	1	4
35	от этого	1	3
36	и что	5	3
37	то это	1	3
38	во всех	3	3
39	что и	2	3
40	в том	22	3
41	тот же	1	3
42	но в	5	3
43	по этому	2	3
44	все эти	3	3
45	за ним	3	3
46	в конце	1	3
47	их в	4	3
48	в своей	2	3
49	в них	4	3
50	не было	2	3
51	должно быть	2	3
52	в этих	3	3
53	в первый	1	3
54	не в	4	3
55	из первого	1	3
56	но это	1	3
57	не имеет	3	3
58	никогда не	2	3
59	превращается в	1	3
60	и для	2	3
61	что в	22	3
62	оно не	1	3
63	а между	1	2
64	и это	1	2
65	того чтобы	6	2
66	и то	2	2
67	и т	5	2
68	можно было	2	2
69	и за	1	2
70	превратились в	1	2
71	мы не	6	2
72	когда в	1	2
73	что от	3	2
74	с ним	1	2
75	ее и	2	2
76	и во	1	2
77	между тем	3	2
78	нет и	1	2
79	не с	2	2
80	его к	1	2
81	только в	1	2
82	те которые	1	2
83	уже не	4	2
84	не только	10	2
85	на этих	1	2
86	вера в	1	2
87	превращаются в	1	2
88	не так	1	2
89	для него	1	2
90	земли и	5	2
91	не к	2	2
92	тем что	3	2
93	не будет	1	2
94	в число	1	2
95	это не	5	2
96	т д	5	2
97	а с	2	2
98	с презрением	1	2
99	прежде всего	2	2
100	для них	2	2
101	с тем	6	2
102	мы и	1	2
103	один из	2	2
104	и тогда	1	2
105	мир и	1	2
106	в старой	1	2
107	над ними	1	2
108	одна из	11	2
109	происхождении и	1	2
110	том что	22	2
111	тот кто	1	2
112	а к	2	2
113	для нас	6	2
114	от него	1	2
115	в форме	2	2
116	ее в	8	2
117	есть уже	1	2
118	до того	1	2
119	людей и	2	2
120	а в	9	2
121	но не	5	2
122	в духе	1	2
123	могут быть	2	2
124	чтобы сделать	1	2
125	во всяком	1	2
126	как мы	3	1
127	в виду	2	1
128	в ее	3	1
129	и до	1	1
130	в нашу	1	1
