1	в нем нет	2	3
2	для того чтобы	1	3
3	это было бы	1	2
4	можно ли сказать	3	2
5	и в этом	1	2
6	а не в	1	2
7	ли сказать что	3	2
8	не может быть	18	2
9	и то что	4	1
10	смысле этого слова	1	1
11	до последней глубины	1	1
12	с кем и	1	1
13	в самом начале	1	1
14	в самом последнем	1	1
15	он и не	1	1
16	должна быть не	1	1
17	и не может	1	1
18	от того что	4	1
19	не в том	1	1
20	в том что	6	1
21	ни с чем	2	1
22	и ни с	2	1
23	само по себе	3	1
24	но может ли	1	1
25	есть не только	2	1
26	даже и в	1	1
27	да и то	1	1
28	ни с кем	1	1
29	друг с другом	1	1
30	но почему же	1	1
31	в самом деле	3	1
32	ни с какой	1	1
33	вместо того чтобы	1	1
34	она и не	1	1
35	и прежде всего	1	1
36	кем и ни	1	1
37	сам по себе	3	1
38	есть для него	1	1
39	о том что	1	1
40	по природе своей	1	1
41	на то что	6	1
42	это не есть	2	1
43	не только одно	1	1
44	бы и не	1	1
45	не есть просто	4	1
46	нем нет ничего	1	1
47	и все же	1	1
48	о том как	2	1
49	и все эти	1	1
50	во всяком случае	1	1
51	и не в	1	1
