N	2gram	Nazirov_Tv_2	FransuaR
1	и в	20	41
2	то есть	5	24
3	мы уже	1	18
4	во всех	1	17
5	таким образом	10	17
6	в нем	3	16
7	и с	8	16
8	и его	9	13
9	но и	8	13
10	в этом	8	12
11	как мы	1	12
12	все эти	4	11
13	уже говорили	1	11
14	все это	6	11
15	в самом	3	10
16	не только	13	10
17	так как	3	10
18	и др	3	10
19	прежде всего	8	10
20	то что	3	10
21	и на	5	9
22	во время	1	9
23	о том	5	9
24	но в	4	8
25	в этой	5	8
26	никогда не	11	8
27	и до	1	7
28	в них	1	7
29	как и	6	7
30	том что	4	7
31	в его	10	7
32	вовсе не	2	7
33	у него	6	7
34	как бы	11	7
35	этот образ	1	7
36	что в	7	7
37	например в	5	6
38	в году	16	6
39	в то	10	6
40	в образе	3	6
41	один из	3	6
42	мы видим	4	6
43	вместе с	3	6
44	сказать что	1	6
45	что он	6	6
46	и он	2	5
47	с его	1	5
48	в ее	2	5
49	что это	1	5
50	в себе	3	5
51	то же	7	5
52	той же	1	5
53	рядом с	2	5
54	еще в	1	5
55	но он	1	5
56	тем что	3	5
57	так и	6	5
58	и что	2	5
59	же время	7	5
60	в литературе	2	5
61	из них	2	5
62	в одном	2	5
63	так же	5	5
64	образов и	1	5
65	одним из	3	4
66	самом деле	2	4
67	он был	1	4
68	как в	4	4
69	и как	1	4
70	и наконец	2	4
71	а затем	3	4
72	в другом	1	4
73	не в	4	4
74	даже в	1	4
75	в основе	2	4
76	все же	5	4
77	у нас	2	4
78	роль в	2	4
79	и вообще	2	4
80	с ним	3	4
81	другом месте	1	4
82	все время	2	4
83	тот же	1	4
84	с одной	1	4
85	уже в	2	4
86	в большинстве	1	4
87	в результате	1	4
88	в котором	3	4
89	и даже	5	4
90	с другой	2	4
91	именно в	6	4
92	более того	2	4
93	и от	4	4
94	а в	4	4
95	не может	7	4
96	из этого	2	4
97	говорили о	1	3
98	не остается	1	3
99	он сам	3	3
100	в чем	4	3
101	как у	3	3
102	в одной	3	3
103	с этим	1	3
104	перед нами	1	3
105	в первом	1	3
106	при этом	8	3
107	и сам	5	3
108	характер в	2	3
109	в плане	3	3
110	с другими	2	3
111	было бы	1	3
112	в ад	1	3
113	и их	1	3
114	нас не	1	3
115	потому что	7	3
116	только с	2	3
117	в духе	4	3
118	говорили что	1	3
119	здесь он	1	3
120	до сих	3	3
121	романа в	1	3
122	одной из	3	3
123	только в	2	3
124	в начале	3	3
125	в целях	1	3
126	что не	3	3
127	связано с	1	3
128	и особенно	1	3
129	в первой	2	3
130	и не	9	3
131	с этой	3	3
132	сих пор	3	3
133	но это	5	3
134	не мог	1	3
135	в книге	1	3
136	и для	1	3
137	пор еще	1	3
138	между ними	1	3
139	в искусстве	2	3
140	как известно	2	2
141	если б	1	2
142	связана с	1	2
143	это и	1	2
144	мы не	4	2
145	говорить о	2	2
146	но уже	3	2
147	но не	5	2
148	то он	1	2
149	в наиболее	1	2
150	все ведущие	1	2
151	что они	4	2
152	в истории	2	2
153	дает нам	1	2
154	искусстве и	1	2
155	стороны и	1	2
156	хотя и	4	2
157	и отчасти	3	2
158	этот роман	1	2
159	так сказать	2	2
160	на его	4	2
161	он не	3	2
162	что все	1	2
163	значение в	1	2
164	лишь в	1	2
165	заключается в	1	2
166	был задуман	1	2
167	мы видели	1	2
168	в развитии	1	2
169	был бы	1	2
170	из этих	1	2
171	но если	2	2
172	в своей	6	2
173	представление о	7	2
174	из области	1	2
175	но эта	2	2
176	их в	2	2
177	в таких	1	2
178	как о	2	2
179	только его	1	2
180	себе самом	1	2
181	так что	2	2
182	как она	1	2
183	связи с	1	2
184	это уже	2	2
185	превращается в	3	2
186	к себе	1	2
187	не могут	1	2
188	мы узнаем	2	2
189	этой книги	1	2
190	в области	1	2
191	должен быть	1	2
192	в дело	1	2
193	характер и	1	2
194	в дальнейшем	4	2
195	литературы и	1	2
196	в романе	15	2
197	возможно что	1	2
198	образом в	1	2
199	между тем	3	2
200	сильнее и	2	2
201	из древнейших	1	2
202	в античной	3	2
203	он стал	1	2
204	себя в	2	2
205	переходит в	1	2
206	что если	1	2
207	и прежде	1	2
208	в конце	6	2
209	как его	1	2
210	может быть	8	2
211	как раз	1	2
212	человека и	3	2
213	это прежде	2	2
214	нужно сказать	1	2
215	мир а	1	2
216	а не	6	2
217	одну из	1	2
218	с образами	1	2
219	в частности	2	2
220	начиная с	2	2
221	и потому	4	2
222	как это	1	2
223	сцены и	1	2
224	не был	1	2
225	своего времени	1	2
226	для нас	1	2
227	от него	1	2
228	в эту	1	2
229	в этих	1	2
230	еще более	1	2
231	в том	8	2
232	и у	2	2
233	это все	2	2
234	другой стороны	2	2
235	от всех	1	2
236	здесь же	1	2
237	и другие	1	2
238	того времени	1	2
239	от этой	2	1
240	ту же	1	1
241	повторяются в	1	1
242	узнаем в	1	1
243	в сфере	1	1
244	части где	1	1
245	по адресу	1	1
246	и через	3	1
247	отметим что	1	1
248	то в	1	1
249	из его	1	1
250	в их	3	1
251	смотреть на	1	1
252	это совершенно	1	1
253	общества и	1	1
254	этого определения	1	1
255	что уже	1	1
256	из своих	1	1
257	в литературном	2	1
258	роман в	1	1
259	не вполне	1	1
260	эпохи в	1	1
261	жизни как	1	1
262	в самих	1	1
263	то это	1	1
264	из действительности	1	1
265	там нет	2	1
266	в xix	2	1
267	еще не	5	1
268	между собой	1	1
269	мысли и	1	1
270	это действительно	1	1
271	что его	2	1
272	в различных	1	1
273	и легенд	1	1
274	бы не	2	1
275	него далее	1	1
276	в изображении	1	1
277	этого героя	1	1
278	о смерти	1	1
279	с последними	1	1
280	духе что	1	1
281	и всякий	1	1
282	по отношению	3	1
283	менее всего	1	1
284	отношение к	1	1
285	но нас	1	1
286	не просто	1	1
287	дается еще	1	1
288	нет и	2	1
289	значение имеет	1	1
290	стал бы	1	1
291	и я	1	1
292	чем же	1	1
293	сочетается с	1	1
294	средневекового человека	1	1
295	и нет	1	1
296	там же	9	1
297	не замечая	1	1
298	от народной	1	1
299	высшей силы	1	1
300	и к	1	1
301	сатира на	1	1
302	и чуда	2	1
303	в этот	2	1
304	в письмах	3	1
305	в которой	2	1
306	точку зрения	2	1
307	в целом	6	1
308	сливается с	1	1
309	во многих	2	1
310	связанного с	1	1
311	думать что	1	1
312	того факта	1	1
313	нас на	1	1
314	романа но	1	1
315	смеха в	1	1
316	мы чувствуем	1	1
317	если он	5	1
318	и если	2	1
319	универсальное значение	1	1
320	это связано	1	1
321	при виде	2	1
322	сердце и	2	1
323	и вот	1	1
324	дает и	1	1
325	и наглядно	1	1
326	мире на	1	1
327	на земле	1	1
328	и по	2	1
329	с собой	1	1
330	я бы	3	1
331	жить в	1	1
332	традиции у	1	1
333	в каждом	1	1
334	и мотивы	1	1
335	традиции и	3	1
336	его в	3	1
337	и других	2	1
338	характер этого	1	1
339	в глазах	1	1
340	смеха и	1	1
341	античной литературе	1	1
342	должен был	1	1
343	ведь в	1	1
344	в жизни	1	1
345	и находился	1	1
346	основания для	1	1
347	вводит в	1	1
348	о болезни	1	1
349	со своими	2	1
350	которой он	2	1
351	несмотря на	1	1
352	видим как	1	1
353	очень важный	1	1
354	в церкви	1	1
355	зато в	2	1
356	и тогда	2	1
357	таким же	1	1
358	от боли	1	1
359	хроники и	1	1
360	что от	1	1
361	место в	3	1
362	не столько	2	1
363	было очень	1	1
364	он дает	1	1
365	в которых	3	1
366	своего рода	3	1
367	всякий раз	1	1
368	признать что	1	1
369	одном из	2	1
370	поэтому в	1	1
371	оно никогда	1	1
372	в iii	1	1
373	место занимает	1	1
374	подлинно человеческое	1	1
375	был не	1	1
376	и эти	1	1
377	и относительно	1	1
378	не могли	2	1
379	где нет	2	1
380	в устах	2	1
381	по себе	1	1
382	всего его	1	1
383	не менее	2	1
384	эта мысль	2	1
385	это чувство	1	1
386	что с	1	1
387	в обоих	1	1
388	дело в	1	1
389	на него	2	1
390	в идее	1	1
391	ему известны	1	1
392	родился в	2	1
393	всей их	1	1
394	и смеха	2	1
395	весь роман	2	1
396	но только	1	1
397	он с	1	1
398	не имеет	1	1
399	казалось бы	3	1
400	ничего не	4	1
401	образах романа	1	1
402	одна из	3	1
403	на землю	2	1
404	с лицом	1	1
405	он пытался	1	1
406	xix веке	2	1
407	и осмеяние	1	1
408	образа но	1	1
409	и обновление	1	1
410	особое значение	1	1
411	комического в	3	1
412	как будто	1	1
413	был назван	1	1
414	ему не	1	1
415	факта что	1	1
416	у меня	1	1
417	от их	1	1
418	ни о	1	1
419	представляется нам	1	1
420	в момент	1	1
