N	3gram	Bakhtin_Pr_3	Tragedij
1	то же время	12	5
2	в то же	12	5
3	так и в	2	3
4	по замыслу достоевского	7	2
5	в записках из	2	2
6	в отличие от	2	2
7	о чем он	1	2
8	в данном случае	1	2
9	но в то	3	2
10	и как бы	1	2
11	между этими двумя	1	2
12	не в силах	2	2
13	о том что	2	2
14	и в самом	3	2
15	но все же	1	2
16	в том что	1	2
17	с первого же	1	2
18	в этом случае	2	1
19	как и его	1	1
20	а между тем	3	1
21	вам ничего не	1	1
22	а как самоцель	1	1
23	в виде отдельных	1	1
24	понятно что в	1	1
25	потому что сам	2	1
26	и до конца	1	1
27	ориентацией в мире	1	1
28	же время он	1	1
29	и то в	1	1
30	у него нет	1	1
31	и не может	2	1
32	хотя бы и	2	1
33	он вообще не	1	1
34	что он не	1	1
35	мы бы сказали	1	1
36	и то что	1	1
37	и т п	6	1
38	за то что	1	1
39	что все это	2	1
40	это как бы	1	1
41	может быть не	1	1
42	записках из подполья	2	1
43	во всяком случае	5	1
44	в высшей степени	3	1
45	в конце концов	3	1
46	смысле этого слова	2	1
47	и если б	1	1
48	в чем же	1	1
49	но при этом	1	1
50	и в этом	2	1
51	тем не менее	2	1
52	и пусть пусть	1	1
53	петра верховенского с	1	1
54	то что он	1	1
55	в мире достоевского	3	1
56	и с другим	2	1
57	и петра верховенского	1	1
58	не может быть	6	1
59	если б я	1	1
60	но в конце	1	1
61	как и все	2	1
62	и вместе с	1	1
63	же время с	1	1
64	с самого начала	8	1
65	не только не	1	1
66	к ивану карамазову	1	1
67	в самом деле	3	1
68	быть по замыслу	1	1
69	я не хочу	2	1
70	в самом тоне	1	1
71	на всем протяжении	1	1
72	в братьях карамазовых	3	1
73	к тому что	1	1
74	в исповеди ставрогина	1	1
75	как и в	1	1
