N	3gram	Bakhtin_Fr_7	EvropaiE
1	с точки зрения	3	16
2	в то же	9	15
3	то же время	9	14
4	в том что	3	6
5	не только в	1	4
6	и в этом	1	4
7	в этом смысле	1	3
8	в этом отношении	2	3
9	можно было бы	2	3
10	в применении к	1	3
11	во всяком случае	1	3
12	северной америки и	1	3
13	и прежде всего	1	3
14	нужно заметить что	1	2
15	прежде всего в	4	2
16	то что в	2	2
17	в данном случае	1	2
18	но в то	3	2
19	так и в	3	2
20	в свою очередь	3	2
21	в одном из	1	2
22	есть не только	1	2
23	друг от друга	1	2
24	во второй половине	1	2
25	в большинстве случаев	2	2
26	как мы видели	4	2
27	около этого времени	1	1
28	как и его	1	1
29	в этом мире	1	1
30	что в этом	1	1
31	чем в других	1	1
32	дело в том	2	1
33	более или менее	2	1
34	в том же	1	1
35	гораздо большей степени	1	1
36	и не в	1	1
37	же время в	1	1
38	а также в	1	1
39	но и в	1	1
40	с тем что	1	1
41	том числе и	2	1
42	мы увидим что	1	1
43	в гораздо большей	1	1
44	на этот вопрос	1	1
45	то мы увидим	1	1
46	в этом процессе	1	1
47	степени чем в	1	1
48	вовлекает в свой	1	1
49	в значительной степени	2	1
50	а также и	1	1
51	и в отношении	1	1
52	превосходят все что	1	1
53	в связи с	1	1
54	большей степени чем	1	1
55	о котором мы	1	1
56	не имеет значения	1	1
57	но от этого	1	1
58	то есть в	4	1
59	и тем самым	1	1
60	но и для	1	1
61	выходит за пределы	1	1
62	именно потому что	1	1
63	по своему положению	1	1
64	в том числе	4	1
65	в себе в	1	1
66	при помощи которого	1	1
67	к тому же	1	1
