N	3gram	Tiupa_Vved_1	KFilosof
1	по отношению к	7	21
2	не может быть	3	11
3	может быть только	1	6
4	на самом деле	3	3
5	в котором он	1	3
6	в этом смысле	1	3
7	не было бы	1	3
8	и в этом	1	3
9	мира в котором	3	2
10	в соответствии с	6	2
11	только по отношению	1	2
12	на первом плане	1	2
13	есть на самом	1	2
14	во всей его	1	2
15	здесь мы имеем	1	2
16	бы и не	2	2
17	один и тот	1	2
18	то же время	3	2
19	в котором мы	1	2
20	не со стороны	1	2
21	той или иной	2	2
22	в то же	4	2
23	тем не менее	3	2
24	в том что	3	2
25	а не в	1	2
26	и тот же	1	2
27	ни о каких	1	1
28	на то что	1	1
29	оба эти момента	1	1
30	в этом мире	1	1
31	никогда не было	1	1
32	и того же	1	1
33	же не может	1	1
34	бы быть и	1	1
35	не зависит от	1	1
36	гарантирует возможное смысловое	1	1
37	в настоящее время	1	1
38	в том же	1	1
39	как если бы	1	1
40	смысловое единство возможных	1	1
41	а не к	1	1
42	не было и	1	1
43	возможное смысловое единство	1	1
44	в зависимости от	1	1
45	и та же	1	1
46	вследствие того что	1	1
47	но это не	1	1
48	здесь не в	1	1
49	того мира в	1	1
50	не само по	1	1
51	могло бы возникнуть	1	1
52	в основе своей	1	1
53	в противном случае	1	1
54	случае мы имеем	1	1
55	в данном контексте	1	1
56	и в то	1	1
57	и смысловой значимости	1	1
58	не превращается в	1	1
59	в первом случае	1	1
60	а не как	1	1
61	не в том	1	1
62	в нем не	1	1
63	во всяком случае	1	1
64	одна и та	1	1
65	и т.п но	1	1
66	на этом пути	1	1
67	вместо того чтобы	1	1
68	и все же	4	1
69	мы не можем	1	1
70	в значительной степени	1	1
71	пространство и время	1	1
72	в свою очередь	4	1
73	само по себе	1	1
74	и тем самым	2	1
75	в своих поступках	1	1
76	эстетического субъекта автора	1	1
77	единство возможных суждений	1	1
78	в конечном счете	1	1
79	но в этом	1	1
80	но и от	1	1
81	между жизнью и	1	1
82	могла бы и	3	1
83	и вследствие этого	2	1
84	одного и того	1	1
85	но не в	1	1
86	всей его полноте	1	1
87	ли это что	1	1
88	в этом последнем	1	1
89	действительной жизни и	1	1
90	не только от	1	1
91	во всех его	1	1
92	могло бы быть	1	1
93	то же самое	1	1
94	времени и пространства	1	1
