N	2gram	Bakhtin_Pr_2	Vvedenie
1	и в	45	32
2	в том	8	31
3	в этом	20	30
4	том что	7	26
5	может быть	18	26
6	не только	16	22
7	для того	1	21
8	того чтобы	1	20
9	таким образом	11	19
10	то что	5	16
11	потому что	8	15
12	так как	5	15
13	не может	24	14
14	в самом	13	13
15	в нем	20	13
16	о том	3	13
17	со стороны	4	13
18	в их	4	12
19	в его	22	12
20	того что	3	12
21	только в	9	12
22	и не	42	12
23	как на	2	12
24	как мы	8	11
25	в ее	3	11
26	ясно что	1	11
27	в данном	1	11
28	что в	6	10
29	то же	5	9
30	в истории	2	9
31	и как	2	9
32	но в	6	9
33	по себе	8	9
34	в той	3	9
35	этом смысле	5	9
36	а только	2	8
37	это не	3	8
38	не в	8	8
39	тем не	1	8
40	не менее	2	8
41	с другой	1	8
42	именно в	3	8
43	самом деле	4	7
44	но не	6	7
45	все же	4	7
46	было бы	4	7
47	точки зрения	19	7
48	уже и	1	7
49	можно было	2	7
50	прежде всего	11	7
51	смысле этого	2	7
52	о котором	1	7
53	в большей	1	7
54	из этих	1	6
55	как он	4	6
56	его в	3	6
57	как и	14	6
58	вовсе не	7	6
59	в то	5	6
60	же время	3	6
61	тем что	2	6
62	не могут	1	6
63	один из	2	6
64	этот вопрос	4	6
65	и его	8	6
66	и даже	3	6
67	до сих	2	6
68	но и	15	6
69	а именно	3	6
70	сих пор	2	6
71	все это	5	6
72	хотя бы	5	6
73	одним из	3	5
74	мере в	1	5
75	а как	4	5
76	в целом	5	5
77	с их	4	5
78	так например	1	5
79	об этом	3	5
80	на почве	4	5
81	данном случае	1	5
82	в них	4	5
83	но если	1	5
84	в которых	1	5
85	сказать что	5	5
86	могут быть	4	5
87	быть в	2	5
88	так что	2	5
89	уже в	4	5
90	не есть	2	5
91	что не	5	5
92	на этот	1	5
93	а не	10	5
94	она есть	1	5
95	как бы	15	5
96	той мере	1	5
97	другой стороны	1	5
98	есть и	3	5
99	в какой	1	5
100	вместе с	1	5
101	связана с	1	4
102	как это	2	4
103	связи между	1	4
104	в чисто	2	4
105	в первом	1	4
106	той же	1	4
107	мы имеем	2	4
108	по отношению	8	4
109	независимо от	1	4
110	от этого	1	4
111	уже не	6	4
112	в себе	5	4
