1	и с	2	3
2	оба они	1	2
3	ничего не	1	2
4	в этом	16	2
5	должен быть	1	2
6	что в	5	2
7	и не	15	2
8	самого себя	1	2
9	он не	3	2
10	и в	16	1
11	все это	2	1
12	а для	1	1
13	о ней	1	1
14	как о	1	1
15	по отношению	4	1
16	своего исследования	1	1
17	же это	1	1
18	вплоть до	1	1
19	а в	2	1
20	и сам	1	1
21	жизни и	3	1
22	для него	5	1
23	и еще	1	1
24	и со	1	1
25	первую очередь	2	1
26	могло бы	1	1
27	и др	1	1
28	тем что	1	1
29	того что	1	1
30	никогда не	2	1
31	в первую	2	1
32	не случайно	1	1
33	тех же	1	1
34	а с	5	1
35	в значительной	1	1
36	не дает	1	1
37	с другой	5	1
38	бы его	1	1
39	более чем	2	1
40	стало быть	1	1
41	с рассказчиком	1	1
42	себя в	6	1
43	все эти	3	1
44	так и	9	1
45	а позднее	2	1
46	а также	8	1
47	в основе	4	1
48	человеке и	1	1
49	странное и	1	1
50	говорить о	2	1
51	в них	3	1
52	я не	1	1
53	отношению к	4	1
54	пушкина и	1	1
55	в целом	2	1
56	того же	2	1
57	другой стороны	2	1
