N	2gram	Savitsky_P_1	Psycholo
1	то что	4	32
2	и в	14	31
3	в том	9	30
4	и т	3	26
5	что в	4	23
6	может быть	5	22
7	совершенно ясно	1	19
8	ясно что	1	19
9	не может	4	17
10	как и	1	16
11	и не	12	16
12	том что	4	16
13	точки зрения	3	15
14	только в	7	14
15	что и	1	13
16	а не	2	13
17	не только	17	13
18	так же	1	12
19	в этом	10	12
20	мы не	3	12
21	если мы	1	12
22	не в	5	11
23	в области	11	11
24	в самом	1	11
25	могут быть	3	11
26	на то	1	10
27	того что	2	10
28	потому что	3	10
29	по себе	4	9
30	во всяком	1	8
31	т д	1	8
32	все это	2	8
33	вместе с	1	8
34	никогда не	1	8
35	и что	1	8
36	что мы	3	8
37	есть в	2	7
38	того чтобы	1	7
39	на основании	1	7
40	заключается в	3	7
41	в психологии	1	6
42	вслед за	3	6
43	что это	1	6
44	отнюдь не	2	6
45	а в	4	6
46	в его	2	6
47	для того	3	6
48	из этих	1	6
49	всяком случае	1	6
50	одной стороны	3	6
51	было бы	6	6
52	если бы	4	6
53	все же	1	5
54	для нас	2	5
55	в какой	1	5
56	само по	1	5
57	в ее	2	5
58	тогда когда	1	5
59	в то	7	5
60	то же	9	5
61	другой стороны	1	5
62	с одной	3	5
63	мы видим	1	5
64	она не	1	5
65	с и	1	5
66	с другой	5	5
67	и есть	2	5
68	как бы	4	5
69	в которой	1	4
70	прежде всего	3	4
71	в котором	4	4
72	в себе	3	4
73	там где	1	4
74	и другие	1	4
75	же как	1	4
76	в этих	1	4
77	те же	1	4
78	между тем	3	4
79	и о	5	4
80	отличие от	1	4
81	со стороны	2	4
82	чтобы понять	1	4
83	формы в	1	4
84	мы можем	1	4
85	и если	4	4
86	в результате	1	4
87	столь же	3	4
88	никак не	2	4
89	одна из	2	4
90	что по	1	3
91	точек зрения	2	3
92	и вот	2	3
93	вопрос о	1	3
94	в собственном	1	3
95	что при	1	3
96	как на	2	3
97	не было	2	3
98	должна быть	1	3
99	т е	3	3
100	что эта	1	3
101	или его	1	3
102	с тем	3	3
103	стороны и	2	3
104	но не	3	3
105	и только	1	3
106	например в	2	3
107	но в	9	3
108	собственном смысле	1	3
109	хотя и	3	3
110	исторического материализма	3	3
111	и других	2	3
112	и к	4	3
113	в силу	2	3
114	с этим	2	3
115	но к	2	3
116	у каждого	1	3
117	представить себе	1	3
118	что все	1	3
