N	3gram	Berdyaev_V_1	Problema
1	в конце концов	1	7
2	то что мы	3	7
3	по крайней мере	1	6
4	и т д	2	6
5	с другой стороны	1	5
6	есть прежде всего	1	4
7	в том что	2	4
8	хотя бы и	1	3
9	но и в	2	3
10	и в этом	1	3
11	и есть то	1	2
12	для себя своего	1	2
13	да и то	1	2
14	бы то ни	1	2
15	есть то что	1	2
16	то ни стало	1	1
17	во что бы	1	1
18	все тот же	2	1
19	с тем чтобы	1	1
20	если оно не	1	1
21	и можно ли	1	1
22	то и другое	1	1
23	вместе с тем	1	1
24	и для человеческого	1	1
25	не могли бы	1	1
26	что бы то	1	1
27	все что было	1	1
28	в этих словах	1	1
29	того что он	1	1
30	все равно не	1	1
31	в известном смысле	1	1
32	тем что они	1	1
33	уже и не	1	1
34	оно не имеет	1	1
35	так и в	1	1
36	мы же говорим	1	1
37	сознания так и	1	1
38	но все же	1	1
39	самого себя и	1	1
40	в вопросе о	2	1
41	свою роль в	1	1
42	и в вопросе	1	1
